blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
28431,308,113,31588,28301,364,100,30980,25,7,1,0,0,0,0,0,0,13,15,15,25,5,0,1,0,0,0,0,0,15,20,13,1632800820824,blue,NA1_4055383427
24828,290,90,29098,31460,344,86,31707,23,3,0,0,0,0,0,0,0,11,14,17,22,8,1,0,1,0,3,1,0,17,12,11,1632976458445,red,NA1_4057406180
24602,339,73,28353,26703,312,101,29450,25,9,0,0,0,0,0,0,0,8,12,10,26,3,0,1,1,0,2,1,0,10,5,8,1632065033232,blue,NA1_4046672195
28884,330,93,31023,22544,300,77,28142,29,7,0,0,1,0,1,0,0,14,12,5,26,3,0,1,0,0,0,0,0,5,4,14,1623003317397,blue,NA1_3934407192
23100,321,96,28898,26735,333,100,31111,23,13,0,1,0,0,1,0,0,6,5,10,26,5,1,0,0,0,0,0,0,10,10,6,1636506877862,red,NA1_4097734592
24314,318,87,28459,29772,313,63,29429,25,11,0,1,0,0,0,1,0,9,9,20,35,4,0,0,0,1,2,0,0,20,23,9,1636136363557,red,NA1_4092344843
25627,311,71,27992,27367,282,76,29859,23,2,0,0,1,1,1,0,0,10,6,16,22,4,0,0,0,0,1,0,0,16,25,10,1631930480285,red,NA1_4045323566
24858,319,84,30867,28041,303,90,31516,23,6,0,0,0,0,0,0,0,11,8,15,23,3,0,0,0,1,1,1,0,15,13,11,1631934465834,red,NA1_4045392987
24438,322,82,29394,23783,352,89,28916,28,5,0,1,0,0,1,1,0,5,6,4,21,4,0,0,0,0,0,0,0,4,2,5,1636167438855,blue,NA1_4092747266
25309,314,66,28513,26109,287,124,29596,26,6,0,1,0,0,0,1,0,10,14,10,20,5,0,0,0,1,0,0,0,10,16,10,1632978144708,red,NA1_4057431527
33187,353,119,34886,24606,302,60,27503,26,5,1,0,1,0,2,1,0,19,25,10,21,2,0,0,0,0,0,0,0,10,12,19,1636140440730,blue,NA1_4092381520
29598,361,112,32708,22130,334,88,26669,26,7,1,0,0,1,1,1,0,14,18,3,23,9,0,0,0,0,0,0,0,3,2,14,1636122163709,blue,NA1_4092176760
23588,291,80,26388,31530,328,98,33345,21,6,1,0,0,0,0,1,0,6,6,21,28,6,0,1,0,0,2,0,0,21,15,6,1636308036201,red,NA1_4094880314
