blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
25691,250,72,27821,19835,231,59,24814,28,2,0,0,0,1,1,1,0,13,10,6,20,2,0,0,0,0,0,0,0,6,4,13,1634867567884,blue,NA1_4078001101
25076,262,69,25826,28182,257,55,29093,22,4,0,1,0,0,0,0,0,17,15,19,17,5,0,0,0,0,2,1,0,19,14,17,1636825025208,blue,NA1_4101915154
20127,246,64,26263,26342,268,97,29256,20,2,0,0,0,0,0,0,0,5,4,14,24,1,0,1,0,1,1,1,0,14,10,5,1634820716873,red,NA1_4077583193
26113,237,84,29261,25074,238,68,29710,18,2,1,0,1,0,1,1,0,15,9,15,15,3,0,0,0,0,0,0,0,15,13,15,1624056777808,blue,NA1_3948304495
23854,243,70,26088,24050,291,90,29026,21,3,0,0,0,0,0,0,0,7,6,9,23,1,0,1,1,0,0,1,0,9,6,7,1624560077188,red,NA1_3954960882
22307,237,76,27187,29122,288,76,30223,30,6,0,0,0,0,0,1,0,10,4,20,29,6,0,0,1,1,0,0,0,20,20,10,1632618844406,red,NA1_4053081334
22768,349,46,29855,22172,298,72,28704,23,8,0,0,0,0,0,0,0,8,4,5,25,10,0,0,1,1,0,0,0,5,8,8,1623798606331,blue,NA1_3945080016
22911,278,52,26280,23928,250,68,27779,27,2,1,0,0,0,0,0,0,9,11,12,21,2,0,0,0,1,0,0,0,12,17,9,1632789779608,red,NA1_4055173904
24394,257,52,27594,25682,311,77,29587,28,4,0,0,0,0,0,0,0,13,19,12,24,4,0,1,0,0,0,0,0,12,14,13,1623864845806,red,NA1_3946152285
19112,229,68,22194,27837,308,88,30502,19,1,0,0,0,1,0,0,0,3,2,9,25,2,1,0,0,0,3,1,0,9,11,3,1624842316746,red,NA1_3958912154
26553,191,59,25458,32863,284,94,31380,22,1,1,0,0,1,0,0,0,16,15,22,20,2,0,0,0,0,3,1,0,22,16,16,1635380908889,red,NA1_4083626254
22864,275,66,25615,25821,268,90,26647,26,2,0,1,0,0,0,0,0,7,7,11,25,3,0,0,1,0,1,1,0,11,13,7,1633815131055,red,NA1_4066603947
23722,255,82,26503,25058,254,78,27654,27,6,0,0,0,0,1,1,0,7,4,15,25,6,0,1,0,0,0,0,0,15,10,7,1623947729254,blue,NA1_3947034475
23472,274,95,28443,22475,216,64,29405,21,3,0,0,0,0,0,0,0,9,3,11,18,3,1,0,0,0,0,1,0,11,8,9,1624283493836,red,NA1_3951465014
26814,270,44,29753,25041,197,81,26565,25,6,0,1,1,0,2,0,0,14,10,17,19,5,0,0,0,0,0,0,0,17,10,14,1633908905327,red,NA1_4067576700
26002,310,60,28851,23726,258,75,27904,18,5,0,0,0,0,0,0,0,14,10,12,18,5,0,1,1,0,0,1,0,12,8,14,1624379440144,blue,NA1_3952571196
