blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
25471,287,64,28546,25463,261,80,29084,27,8,0,1,1,0,0,0,0,14,18,12,29,3,0,0,0,0,0,1,0,12,13,14,1636645607612,blue,NA1_4099699091
26713,228,91,28221,29507,257,84,30225,26,3,1,1,0,0,0,0,0,15,17,20,26,5,0,0,0,0,1,1,0,20,22,15,1636622758540,red,NA1_4099528434
18637,248,63,24062,24940,241,80,29224,21,1,0,0,0,1,0,0,0,1,2,13,34,2,0,0,0,0,1,1,0,13,11,1,1634920320937,red,NA1_4078388547
25532,265,72,28577,24400,221,80,25739,23,3,1,1,0,0,1,2,0,14,12,12,18,3,0,0,0,0,1,0,0,12,14,14,1635030847943,blue,NA1_4079809424
25046,260,84,29637,23148,253,72,27608,20,0,0,1,0,0,1,1,0,11,11,9,13,1,1,0,0,0,0,0,0,9,9,11,1636290516645,blue,NA1_4094686543
20453,253,68,25820,21596,301,72,26010,29,8,0,0,0,0,0,0,0,5,4,7,25,8,0,0,1,0,0,1,0,7,4,5,1636834159260,red,NA1_4102027911
23913,230,52,24382,23819,211,56,24949,31,2,0,0,0,1,0,1,0,12,13,14,23,5,1,0,0,0,0,0,0,14,12,12,1635091379265,red,NA1_4080449251
28501,295,56,29589,26282,261,56,28061,24,4,1,0,0,0,1,1,0,17,17,13,28,8,0,0,0,0,0,0,0,13,15,17,1635964749504,red,NA1_4090331193
28725,293,69,32129,20345,238,71,24525,22,6,0,0,1,1,2,1,0,19,15,4,19,1,0,0,0,0,0,0,0,4,3,19,1633362890630,blue,NA1_4061487996
19426,206,78,24129,27825,309,72,30187,20,2,0,0,1,0,0,1,0,4,2,17,24,6,0,0,0,1,1,0,0,17,11,4,1636730623803,red,NA1_4100844277
24641,308,76,28838,21825,211,63,26139,23,4,1,0,0,0,0,0,0,11,14,10,28,3,0,0,0,1,0,0,0,10,12,11,1635784960661,blue,NA1_4088142458
27171,262,64,28896,22992,256,60,26863,19,4,0,0,0,0,0,0,0,15,18,10,21,2,1,0,1,0,0,1,0,10,13,15,1636056778723,red,NA1_4091336675
25087,244,96,28230,20798,220,53,26013,19,4,0,0,0,0,0,0,0,13,9,6,25,2,0,0,0,1,0,0,0,6,4,13,1634940709711,blue,NA1_4078622094
22311,246,52,27225,25094,286,72,28254,19,2,0,0,0,0,0,0,0,8,7,12,18,1,1,1,0,0,1,1,0,12,7,8,1635702897594,blue,NA1_4087320241
25478,283,68,27793,26017,348,92,29539,23,3,0,1,0,0,2,1,0,9,12,14,20,3,1,0,0,0,1,0,0,14,14,9,1636740475603,blue,NA1_4100914838
26218,251,92,28841,26080,250,64,27628,26,2,0,1,0,1,0,0,0,17,11,16,19,3,0,0,0,0,0,0,0,16,20,17,1634937937876,blue,NA1_4078570132
24479,284,88,28118,23129,222,56,25911,17,0,1,0,0,1,1,0,0,10,8,11,14,1,0,0,0,0,0,1,0,11,18,10,1633373776357,blue,NA1_4061606720
26010,238,92,28098,20882,226,48,22357,26,1,0,1,0,1,0,0,0,18,12,6,16,3,0,0,0,0,0,1,0,6,9,18,1633183558563,blue,NA1_4059357713
25090,248,60,25848,26864,262,81,29508,22,3,0,0,0,0,1,1,0,13,13,18,21,4,0,0,1,1,0,0,0,18,16,13,1635705444740,red,NA1_4087315528
26202,268,100,29421,20015,253,60,26814,22,4,0,0,0,1,2,1,0,13,12,4,23,3,0,0,0,0,0,0,0,4,2,13,1634393582774,blue,NA1_4072790641
21323,251,68,27294,24275,220,84,26980,19,1,0,0,0,0,0,0,0,9,4,11,20,0,1,0,1,0,0,1,0,11,15,9,1634931744805,red,NA1_4078560276
25464,207,62,24483,26583,260,74,28997,23,3,0,1,0,0,1,1,0,13,16,16,29,5,0,0,0,1,0,0,0,16,14,13,1636670667974,blue,NA1_4100019844
21608,218,32,21946,27294,299,96,28690,22,3,0,0,0,0,0,0,0,11,6,14,21,5,1,0,0,1,2,1,0,14,6,11,1636223480193,red,NA1_4093732233
24087,334,93,30091,20189,287,52,27012,17,6,1,0,0,1,1,0,0,7,7,3,27,2,0,0,0,0,0,1,0,3,3,7,1635711720708,blue,NA1_4087395157
29395,270,80,28954,24705,199,72,25790,20,3,0,1,0,0,1,1,0,19,19,16,14,3,0,0,1,0,0,0,0,16,14,19,1635625931274,blue,NA1_4086332662
25506,290,48,26767,24886,215,92,26829,24,6,0,0,0,0,2,0,0,10,6,14,22,3,0,1,1,0,0,1,0,14,12,10,1636684670119,red,NA1_4100244153
24150,264,56,28021,25059,286,68,26584,18,9,0,0,1,0,0,0,0,13,15,12,22,5,0,0,0,1,0,1,0,12,15,13,1636667567240,red,NA1_4099945027
21281,304,60,26284,23788,312,83,30666,27,2,0,0,0,0,0,1,0,4,5,9,24,6,0,1,0,1,0,0,0,9,8,4,1636059561271,red,NA1_4091420578
21664,223,60,25860,28120,270,100,30491,22,0,0,0,0,0,0,0,0,12,8,22,22,1,0,1,1,0,0,1,0,22,4,12,1634935333914,red,NA1_4078525931
27085,244,48,26030,24824,230,76,27502,21,4,0,0,0,1,2,0,0,15,19,13,15,2,0,0,0,0,0,1,0,13,15,15,1634400373990,red,NA1_4072756301
23360,261,62,28963,24705,271,90,30261,18,1,0,0,0,0,0,0,0,11,6,12,23,0,0,0,1,1,0,0,0,12,9,11,1633460037790,red,NA1_4062500198
25410,241,96,29876,24423,305,76,26681,21,2,0,0,0,0,0,0,0,13,16,9,20,3,1,0,1,0,1,0,0,9,7,13,1636812788750,blue,NA1_4101841558
20447,237,60,26975,26593,291,72,29772,18,2,0,0,0,0,0,0,0,6,5,17,24,1,1,0,0,1,1,1,0,17,9,6,1634933417176,red,NA1_4078543205
24623,305,67,28324,24599,328,80,29077,24,6,0,0,0,1,1,1,0,11,14,8,26,4,0,0,0,0,1,0,0,8,6,11,1636746767678,red,NA1_4100935831
24396,251,84,26452,28841,262,84,31902,17,0,0,0,1,0,0,0,0,9,8,20,23,1,1,0,0,0,0,0,0,20,16,9,1635623652790,red,NA1_4086271352
24922,335,64,28009,21333,284,56,27022,24,4,0,1,0,1,0,1,0,10,10,5,22,4,0,0,0,0,0,0,0,5,5,10,1636673951783,blue,NA1_4100036089
25316,196,60,25598,23567,201,92,25319,25,4,0,0,0,1,0,0,0,20,22,13,16,3,0,0,0,0,0,0,0,13,12,20,1634948141444,blue,NA1_4078694318
27328,211,89,29383,24753,212,76,26582,18,2,0,0,1,0,1,1,0,19,20,15,23,1,0,0,0,0,0,0,0,15,9,19,1635708139393,blue,NA1_4087377342
25277,272,68,28659,21670,239,60,24268,25,4,0,0,1,0,0,0,0,13,16,9,22,3,0,0,0,0,0,0,0,9,11,13,1635630628121,blue,NA1_4086342948
25561,215,54,23853,26675,231,68,24051,22,2,0,0,1,0,1,1,0,14,21,18,19,2,0,0,0,1,1,0,0,18,20,14,1633371534637,red,NA1_4061594374
26483,272,65,29058,24564,259,72,26298,23,6,0,0,0,0,0,0,0,14,15,14,24,6,0,1,1,0,0,0,0,14,14,14,1635617252654,blue,NA1_4086169465
23615,275,88,28475,21739,301,59,29186,25,5,0,1,1,0,0,0,0,9,12,7,28,4,0,0,0,0,0,1,0,7,5,9,1636049518222,red,NA1_4091325215
27499,282,56,29012,23606,237,76,26750,25,1,0,0,0,0,1,1,0,17,12,10,16,2,1,0,0,0,0,0,0,10,10,17,1635018862596,blue,NA1_4079688498
22481,242,64,27364,21368,192,80,24636,20,2,0,0,0,1,0,1,0,11,14,9,22,3,1,0,0,0,0,0,0,9,8,11,1634924092181,red,NA1_4078470916
25174,272,64,28147,25888,269,68,28663,19,1,0,0,1,0,0,1,0,12,8,13,15,3,1,0,0,0,1,0,0,13,12,12,1633376065771,blue,NA1_4061660122
22633,277,64,28167,22967,249,68,27321,24,2,0,0,0,0,0,0,0,9,5,10,22,5,0,0,0,1,0,0,0,10,9,9,1636665006289,blue,NA1_4099927752
25186,169,56,24040,25321,221,40,23800,28,3,0,0,0,1,0,1,0,18,18,16,18,5,0,0,0,0,0,0,0,16,19,18,1635967350024,blue,NA1_4090334547
23577,242,50,26966,22445,257,74,27406,10,2,0,1,0,0,0,0,0,13,11,8,22,1,0,0,0,0,0,0,0,8,6,13,1636750143758,red,NA1_4100949244
28029,255,77,31793,26224,245,69,28549,22,4,0,1,0,0,1,1,0,19,19,13,24,0,0,0,0,1,1,0,0,13,12,19,1635716396335,blue,NA1_4087501756
28077,290,72,27774,24416,249,76,26761,25,0,1,0,0,0,1,0,0,18,17,15,23,1,0,0,0,0,0,1,0,15,14,18,1635632610325,blue,NA1_4086394087
20567,228,54,24605,24769,246,80,28515,16,2,0,0,0,0,0,0,0,4,5,12,19,2,0,0,0,1,1,1,0,12,6,4,1633178359401,red,NA1_4059345369
24637,312,76,29794,22506,250,84,28199,21,4,0,0,1,0,0,0,0,11,8,7,22,4,0,0,0,0,0,1,0,7,10,11,1635093431286,blue,NA1_4080492773
23618,274,48,26035,27329,274,88,30882,20,1,0,0,0,0,1,1,0,8,5,18,29,0,0,0,0,1,0,0,0,18,15,8,1636795160049,blue,NA1_4101715299
25822,240,80,28525,25507,237,72,27775,20,2,0,1,1,0,0,1,0,15,12,12,20,5,0,0,0,0,1,0,0,12,8,15,1634396447394,red,NA1_4072801873
21911,248,73,26312,23364,276,64,26771,21,4,1,0,0,0,0,0,0,8,9,8,25,4,0,0,1,0,1,1,0,8,7,8,1635697798241,red,NA1_4087164060
22426,289,52,27945,23299,269,76,28877,21,2,0,0,0,0,0,0,0,7,6,7,17,1,1,0,0,0,0,1,0,7,5,7,1636219507638,blue,NA1_4093672718
24130,266,72,26386,23426,279,56,26698,24,5,0,0,1,0,0,1,0,11,19,8,20,3,0,0,0,0,0,0,0,8,16,11,1636637785071,blue,NA1_4099712536
25561,288,56,27532,22781,280,51,26589,21,2,0,0,1,0,1,1,0,9,11,10,27,3,1,0,0,0,0,0,0,10,10,9,1635799652807,blue,NA1_4088218431
22542,187,52,25171,28232,324,73,31437,19,3,0,0,1,0,0,0,0,11,9,20,23,5,0,0,0,0,1,1,0,20,9,11,1636892165175,red,NA1_4103192444
24375,281,91,30212,20450,262,52,25591,18,1,0,0,0,1,0,1,0,13,8,5,25,2,1,0,0,0,0,0,0,5,8,13,1636662396953,blue,NA1_4099924878
26144,275,56,29080,23616,248,79,26820,27,1,0,0,1,1,1,0,0,18,13,8,22,3,0,0,0,0,1,0,0,8,10,18,1635971482332,blue,NA1_4090362188
26198,303,72,28081,19283,220,72,24763,24,3,0,0,0,0,2,1,0,11,12,4,22,5,0,1,0,1,0,0,0,4,5,11,1635714147079,blue,NA1_4087457882
26191,276,68,27379,19275,241,73,24505,13,3,1,0,1,0,2,1,0,12,11,4,9,2,0,0,0,0,0,0,0,4,2,12,1633379732703,blue,NA1_4061617562
30092,298,84,30753,18917,220,72,23248,22,1,0,1,0,1,2,1,0,23,23,2,18,2,0,0,0,0,0,0,0,2,2,23,1636225950330,blue,NA1_4093746261
27557,265,52,27841,20975,213,67,24914,23,1,0,0,0,0,1,1,0,20,17,9,18,3,0,1,0,0,0,0,0,9,4,20,1636619945469,blue,NA1_4099524705
30602,293,84,34433,21595,186,83,25196,22,1,0,0,0,0,1,0,0,27,14,7,20,1,0,0,0,1,0,1,0,7,2,27,1635788182191,blue,NA1_4088154820
23154,256,68,26427,24413,250,80,27354,21,3,0,0,1,0,0,0,0,10,13,15,14,3,0,0,0,1,0,1,0,15,8,10,1634929230506,blue,NA1_4078467377
27956,239,67,27916,21959,221,68,24160,21,2,1,0,0,1,1,0,0,18,20,7,20,1,0,0,0,0,0,1,0,7,8,18,1635620985871,blue,NA1_4086254816
22844,245,80,28396,21087,274,52,27610,18,1,1,0,1,0,1,1,0,10,3,6,21,2,0,0,0,0,0,0,0,6,3,10,1634944520745,blue,NA1_4078638612
25441,220,40,27383,27987,281,80,31100,20,1,0,0,1,0,0,0,0,17,15,18,10,2,1,0,0,0,0,0,0,18,15,17,1633361170982,blue,NA1_4061533073
26438,303,88,30434,20780,243,71,26502,18,2,1,0,0,0,2,1,0,12,8,7,19,5,0,0,0,0,0,0,0,7,5,12,1636755566876,blue,NA1_4101110251
24421,254,57,25808,17981,204,70,21963,26,0,0,1,0,0,1,1,0,11,14,3,16,3,0,0,0,1,0,0,0,3,2,11,1633181296058,red,NA1_4059317398
23967,242,84,28740,22714,273,56,25856,23,2,0,0,1,1,0,0,0,12,8,8,22,1,0,0,0,0,0,1,0,8,10,12,1636753182158,red,NA1_4100995705
25725,270,76,27427,29057,326,72,30242,18,3,0,0,0,0,0,0,0,13,11,17,21,3,0,1,0,1,2,1,0,17,13,13,1634951391541,blue,NA1_4078731887
24556,279,80,28322,26659,245,91,30198,18,1,0,0,0,0,0,0,0,14,9,15,17,1,0,1,1,0,1,1,0,15,15,14,1636138567059,red,NA1_4092327298
25323,234,52,25995,22767,215,60,24888,16,7,1,1,0,0,0,0,0,15,18,11,26,2,0,0,0,0,0,0,0,11,9,15,1633365719306,blue,NA1_4061570142
24689,243,70,27089,26605,278,67,28426,13,2,0,1,0,0,1,0,0,12,10,17,18,1,0,0,0,1,0,1,0,17,11,12,1636896388707,blue,NA1_4103223929
22007,257,64,24946,22116,257,59,25465,21,3,0,0,0,0,0,1,0,7,8,10,23,3,1,0,0,1,0,0,0,10,12,7,1633368539102,red,NA1_4061562235
30134,274,88,30858,26044,210,64,28257,23,7,0,0,1,0,1,1,0,25,17,19,23,0,1,0,0,0,0,0,0,19,14,25,1636213673143,red,NA1_4093555549
30486,240,96,32003,23499,225,68,26936,19,3,0,0,1,1,1,1,0,25,25,11,16,2,0,0,0,0,0,0,0,11,10,25,1636681687602,blue,NA1_4100206956
24312,233,72,25278,28980,237,68,24513,27,1,1,1,0,0,1,0,0,12,17,20,17,1,0,0,0,0,1,1,0,20,29,12,1635673726955,red,NA1_4086887468
25625,230,80,27264,22255,228,63,23938,26,4,0,0,1,0,0,0,0,14,19,7,17,5,0,0,0,0,1,1,0,7,9,14,1636677370459,blue,NA1_4100134448
22644,230,52,23867,29125,277,92,29889,17,4,0,0,0,0,1,0,0,10,8,19,22,1,0,1,1,0,2,1,0,19,15,10,1633186984818,red,NA1_4059383157
23422,265,64,25386,29347,298,87,31133,26,3,0,1,0,0,0,0,0,9,9,20,18,4,0,0,0,1,1,1,0,20,17,9,1636679959047,red,NA1_4100153597
21608,238,56,25050,21402,251,91,24117,18,2,0,0,0,0,0,0,0,8,10,6,25,1,0,1,1,0,0,1,0,6,10,8,1635022720028,red,NA1_4079754888
27701,253,56,30445,19471,247,60,24930,18,1,0,1,0,0,2,1,0,18,13,5,16,0,0,0,1,0,0,0,0,5,2,18,1635026047606,blue,NA1_4079821425
27913,253,72,29173,18445,201,56,23215,19,4,1,1,0,0,2,0,0,18,15,4,12,1,0,0,0,0,0,0,0,4,5,18,1635013952897,blue,NA1_4079631902
21735,222,60,25376,24396,248,80,28080,24,6,0,0,0,0,0,0,0,9,13,15,26,5,0,1,0,0,0,1,0,15,8,9,1636735378004,red,NA1_4100819157
23420,276,60,28833,22446,282,76,27325,23,6,0,1,0,1,0,0,0,10,13,6,24,6,0,0,0,0,1,1,0,6,3,10,1635801732826,blue,NA1_4088271860
32289,316,72,32753,24215,253,52,27155,23,3,1,0,0,0,2,0,0,23,22,10,22,1,0,0,0,0,0,1,0,10,6,23,1636221723334,blue,NA1_4093688261
23317,253,60,27162,21495,264,64,25573,22,8,0,1,0,1,0,0,0,11,10,6,30,3,0,0,0,0,0,1,0,6,6,11,1635016023986,blue,NA1_4079654294
22926,235,84,26144,21892,230,74,27780,22,1,0,1,0,1,1,2,0,8,6,7,26,1,0,0,0,0,1,0,0,7,2,8,1635028789952,blue,NA1_4079824919
17007,219,59,21914,20557,336,84,26337,15,0,0,0,0,0,0,1,0,2,0,1,19,2,0,1,1,0,0,0,0,1,0,2,1635676595124,red,NA1_4087010145
20619,250,64,26353,26966,236,76,29088,15,2,0,0,0,0,0,0,0,5,1,18,23,3,0,1,0,1,1,0,0,18,23,5,1635969348896,red,NA1_4090288409
21884,226,48,24826,26062,312,84,28608,26,4,0,1,0,0,0,1,0,10,13,12,22,5,0,0,0,1,1,0,0,12,17,10,1636641687303,red,NA1_4099715181
23420,227,73,24849,30360,229,88,31533,20,3,0,0,0,0,0,0,0,10,12,24,22,6,1,0,0,0,2,1,0,24,13,10,1634926879966,red,NA1_4078495016
25729,244,55,26830,27669,259,91,29295,22,3,1,0,0,0,0,1,0,17,15,17,22,2,0,0,0,0,0,0,0,17,11,17,1635681354594,red,NA1_4087003539
25054,218,52,28201,25147,269,60,29417,22,3,0,0,0,0,0,1,0,14,17,18,17,5,0,1,0,0,0,0,0,18,9,14,1633457114100,red,NA1_4062379241
25984,250,60,26899,21756,227,60,24494,23,4,0,0,0,0,1,0,0,13,15,6,18,5,0,0,0,1,0,0,0,6,11,13,1632680970116,blue,NA1_4053716043
27906,300,88,31141,21354,252,88,26201,16,1,0,1,1,0,1,1,0,15,17,3,18,1,0,0,0,0,0,0,0,3,3,15,1632675542987,blue,NA1_4053649347
24711,261,84,31449,25815,268,100,30781,24,0,0,0,1,1,0,0,0,11,9,13,18,9,0,0,0,0,0,1,0,13,10,11,1632691776268,blue,NA1_4053826890
32885,332,93,33049,17943,185,64,24113,25,6,0,1,0,0,6,1,0,20,18,3,19,0,0,0,0,0,0,0,0,3,1,20,1632688904914,blue,NA1_4053832462
24723,295,76,28785,22813,281,71,26608,19,2,0,0,1,0,2,0,0,6,7,10,24,2,1,0,0,0,0,0,0,10,9,6,1613406383149,blue,NA1_3789213614
21369,264,53,27586,24962,298,106,32063,25,0,0,0,0,0,0,0,0,7,6,9,18,3,0,1,0,0,1,0,0,9,4,7,1614788345305,red,NA1_3810402783
22638,267,56,25227,24609,261,37,28229,23,5,0,0,0,0,1,0,0,6,5,17,28,2,0,1,0,1,1,0,0,17,5,6,1632866693359,blue,NA1_4055913838
28569,303,89,30654,17419,210,60,23710,22,1,1,0,0,0,2,1,0,17,13,1,13,2,0,1,0,0,0,0,0,1,1,17,1632673034789,blue,NA1_4053626480
24079,208,44,24593,26740,254,56,26049,29,5,0,0,1,0,0,0,0,13,14,17,27,7,0,1,0,0,0,1,0,17,16,13,1614765088843,red,NA1_3809990077
26950,287,79,28963,20663,242,49,24757,21,3,0,1,0,0,0,0,0,14,15,6,25,2,0,0,0,0,0,1,0,6,4,14,1632950589801,blue,NA1_4056761570
26355,288,56,28230,24701,237,88,26783,25,3,0,0,0,0,0,0,0,14,15,13,19,2,0,1,0,0,0,1,0,13,10,14,1627760439950,blue,NA1_3995908688
24126,265,65,28640,23397,255,48,28682,25,3,0,0,1,0,0,1,0,14,12,12,24,4,0,0,0,0,0,0,0,12,8,14,1632859078799,blue,NA1_4055871194
24740,255,80,27180,23676,298,60,28676,22,6,1,0,1,0,0,1,0,16,19,9,26,3,0,0,0,0,0,0,0,9,3,16,1633039906585,red,NA1_4057837472
22734,234,52,27233,21746,278,72,27203,16,2,0,1,0,0,1,1,0,10,9,7,16,0,0,0,0,0,0,0,0,7,3,10,1615660390519,blue,NA1_3823964419
23798,265,66,25681,24934,279,62,26792,26,4,0,0,1,0,0,0,0,10,13,13,19,4,0,0,0,1,0,1,0,13,15,10,1615680449794,red,NA1_3824332920
