blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
27299,265,76,31405,23904,225,68,27181,21,2,0,1,1,0,0,0,0,22,11,13,16,5,0,0,0,0,0,0,0,13,11,22,1630952833462,blue,NA1_4034312441
25928,272,80,29451,22168,212,32,24364,21,1,0,0,1,0,0,0,0,18,13,10,21,3,0,0,0,1,0,1,0,10,7,18,1630842169437,blue,NA1_4033183483
24149,241,80,25422,21428,257,66,24696,17,3,0,1,0,0,0,0,0,14,16,7,17,2,0,0,1,0,0,0,0,7,11,14,1629515672516,blue,NA1_4017581650
27980,283,72,29780,23936,295,59,26886,22,2,0,0,1,0,1,1,0,16,20,9,23,2,1,0,0,0,0,0,0,9,7,16,1629545975073,blue,NA1_4017954820
27276,250,72,29453,23319,230,80,27410,13,2,0,0,0,0,0,0,0,19,14,10,18,1,0,0,1,0,0,0,0,10,6,19,1631835874941,blue,NA1_4044156321
21722,230,60,24848,25394,267,72,26163,14,0,0,0,0,0,0,0,0,9,10,17,20,0,0,0,1,1,0,1,0,17,20,9,1630950607201,red,NA1_4034266967
28054,310,90,32674,23225,244,68,28396,24,2,0,0,1,0,1,1,0,16,9,11,27,4,0,0,0,0,0,0,0,11,7,16,1629585336033,blue,NA1_4018576729
20392,219,52,22593,22580,179,68,24100,16,6,0,0,0,0,0,0,0,7,4,12,24,1,1,0,0,0,1,0,0,12,10,7,1628068223846,red,NA1_4000065953
19648,241,92,26068,24152,261,80,29097,15,7,0,0,0,0,0,0,0,3,1,13,27,2,1,0,0,1,0,1,0,13,12,3,1633927373477,red,NA1_4067920550
26980,199,84,28396,23505,290,64,27115,23,0,0,0,0,0,2,1,0,15,7,10,25,1,0,0,1,1,0,0,0,10,6,15,1631750534158,blue,NA1_4043403995
23673,272,56,27288,28177,261,107,31309,16,3,0,0,0,0,0,1,0,9,6,18,15,3,1,1,0,0,0,0,0,18,9,9,1628238553155,red,NA1_4002042838
27195,312,68,28746,19338,230,60,22732,23,5,0,1,1,0,2,1,0,15,14,3,20,4,0,0,0,0,0,0,0,3,3,15,1628074071639,blue,NA1_4000201570
28151,317,60,30099,20532,162,64,25124,13,2,0,0,1,1,1,0,0,18,15,9,16,1,0,0,0,0,0,0,0,9,7,18,1630833356205,blue,NA1_4033087398
25151,252,60,27891,21463,203,86,24413,18,0,0,1,0,0,1,1,0,12,10,10,21,1,0,0,1,0,0,0,0,10,6,12,1633925134231,blue,NA1_4067846278
27309,310,89,33211,20128,250,71,27605,18,3,0,1,0,1,1,1,0,14,9,4,16,1,0,0,0,0,0,0,0,4,4,14,1630957557438,blue,NA1_4034360862
23154,256,60,30632,25992,294,92,32620,20,2,0,0,0,0,1,1,0,9,1,14,20,1,0,1,0,1,0,0,0,14,11,9,1630651260758,red,NA1_4031011236
20109,220,63,26628,23419,293,61,27426,17,2,0,0,0,0,0,0,0,8,3,7,18,0,0,0,0,1,0,0,0,7,8,8,1630759691854,blue,NA1_4032053624
25662,244,72,27269,27206,279,68,30038,22,0,1,0,1,0,1,0,0,15,17,15,21,5,0,0,0,0,1,1,0,15,9,15,1629624859622,blue,NA1_4019126684
26985,300,69,31191,22827,230,64,26518,18,8,1,0,0,0,0,1,0,15,8,12,24,4,0,0,0,0,0,0,0,12,15,15,1630780618740,blue,NA1_4032277186
26579,244,73,27511,21086,241,69,24676,22,4,0,0,0,0,2,1,1,14,9,5,21,2,0,1,0,1,0,0,0,5,9,14,1631490067572,blue,NA1_4040664049
22513,244,48,26549,24192,236,72,26885,20,4,0,0,0,0,1,1,0,9,3,14,31,4,1,0,1,0,0,0,0,14,14,9,1630564648276,red,NA1_4030163890
25284,261,72,28930,26656,295,80,29623,20,4,0,0,0,0,1,0,0,12,10,14,18,5,0,1,0,1,0,1,0,14,9,12,1634437877126,red,NA1_4073206075
22240,239,52,28647,22908,283,67,27263,22,5,0,1,0,0,0,0,0,9,6,14,24,4,1,0,0,0,0,0,0,14,14,9,1630941643554,blue,NA1_4034167390
24672,324,80,31364,19971,278,64,27237,26,3,0,0,0,0,1,0,0,9,1,3,19,2,1,0,0,0,0,1,0,3,0,9,1629874746156,blue,NA1_4022148857
25728,290,82,28712,23818,257,48,27976,21,3,1,0,0,0,1,0,0,11,9,13,19,3,0,0,0,1,0,0,0,13,11,11,1629597403585,red,NA1_4018729796
25805,256,49,28704,25121,234,88,29915,22,5,1,0,0,0,1,0,0,13,12,17,21,0,0,1,0,0,0,0,0,17,16,13,1628241612692,blue,NA1_4002055462
29481,281,70,30705,18249,152,60,22825,20,2,0,0,0,0,2,0,0,24,13,5,13,3,0,1,0,0,0,0,0,5,4,24,1635036519955,blue,NA1_4079940105
22299,279,64,26408,24475,283,88,29897,15,1,0,0,0,1,0,0,0,6,8,12,17,2,0,0,0,0,0,0,0,12,5,6,1632865252772,red,NA1_4055901759
24624,195,76,27290,22904,259,16,25777,13,0,0,1,0,0,1,0,0,13,15,8,21,0,1,0,0,0,1,0,0,8,6,13,1630782727052,blue,NA1_4032430202
22732,273,72,26163,26916,245,80,29658,18,4,0,0,0,0,0,0,0,7,10,19,27,1,0,0,1,0,0,1,0,19,15,7,1629610017113,red,NA1_4018980928
23076,237,60,23442,31646,229,54,29688,23,4,0,0,0,0,0,0,0,10,7,27,25,5,1,0,0,1,3,1,0,27,25,10,1629525019513,red,NA1_4017746675
23812,242,72,24983,25518,272,55,26192,22,0,1,1,0,0,0,0,0,15,19,10,17,4,0,0,0,0,2,1,0,10,8,15,1631748435862,red,NA1_4043390099
24963,316,81,29899,20059,294,60,25198,24,1,0,0,0,1,0,1,0,11,6,4,20,1,0,0,0,0,0,0,0,4,3,11,1631308503205,blue,NA1_4038401787
26274,294,92,29639,20813,276,60,27137,24,3,0,0,1,0,0,0,0,11,10,5,15,2,0,0,0,0,0,1,0,5,3,11,1632601650879,blue,NA1_4052757501
29761,246,84,28633,23113,198,64,25603,25,0,0,1,0,0,3,1,0,18,11,14,13,2,1,0,0,0,0,0,0,14,17,18,1629518245273,blue,NA1_4017610616
23637,267,92,28495,20054,254,56,24334,26,2,0,0,0,0,0,1,0,10,8,6,20,5,1,0,0,0,0,0,0,6,6,10,1634435001881,blue,NA1_4073190114
25851,275,84,29175,23230,283,68,26880,24,4,1,0,0,0,0,1,0,14,9,6,25,3,0,0,0,0,1,0,0,6,7,14,1630948244676,blue,NA1_4034205650
22222,294,62,29381,25884,284,60,29158,15,3,0,0,0,0,0,0,0,9,3,12,12,1,0,0,0,1,1,1,0,12,11,9,1630646824596,red,NA1_4030943462
21737,256,60,26451,22536,293,40,27732,24,1,1,0,0,0,1,0,0,6,3,11,18,0,0,0,0,0,0,0,0,11,12,6,1629612350168,blue,NA1_4018996287
22902,263,84,27062,24912,246,84,30791,20,4,0,1,0,0,0,1,0,7,4,13,22,3,0,0,0,1,0,0,0,13,12,7,1629436157858,red,NA1_4016820671
23534,272,72,27847,22649,254,64,25945,20,4,0,1,0,0,0,0,0,11,6,10,24,2,0,0,1,0,1,1,0,10,9,11,1631746359254,blue,NA1_4043306019
26298,258,100,31292,24035,296,52,29815,18,2,0,0,0,1,0,0,0,14,12,13,20,3,0,0,0,0,0,1,0,13,7,14,1628064751620,blue,NA1_4000008981
28835,304,48,30351,23602,204,63,25554,11,4,0,0,0,0,2,0,0,23,24,13,21,2,0,0,0,1,0,0,0,13,13,23,1628236314350,blue,NA1_4002020524
26902,295,57,27471,26093,211,68,28812,21,3,0,1,0,0,2,1,0,13,12,18,25,0,0,0,0,0,0,0,0,18,16,13,1630955407450,blue,NA1_4034326916
21916,243,63,27355,26998,300,88,30456,20,1,0,0,0,0,0,1,0,9,8,15,24,6,1,0,0,0,1,0,0,15,8,9,1633921734326,red,NA1_4067786527
23941,244,60,27268,27623,212,80,30346,18,3,0,0,0,0,0,0,0,14,7,20,22,1,0,0,1,1,1,1,0,20,10,14,1632177570306,blue,NA1_4048002008
