blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
22503,264,68,25211,27616,263,68,30569,19,2,0,0,0,0,0,0,0,8,8,17,19,4,0,0,0,1,1,1,0,17,13,8,1634595073721,red,NA1_4074956091
23743,311,56,29039,22732,272,64,25823,23,2,0,0,0,1,0,0,0,9,7,5,21,4,0,0,0,0,1,1,0,5,4,9,1634013224548,red,NA1_4069070646
20827,290,71,25675,23237,293,80,27942,20,1,0,0,0,0,0,0,0,3,3,5,16,6,1,0,1,0,1,1,0,5,7,3,1634010038810,red,NA1_4068963450
24652,295,61,28705,22001,234,72,26729,22,4,1,0,0,1,1,0,0,11,13,11,22,2,0,0,0,0,0,1,0,11,5,11,1633975890128,blue,NA1_4068320335
25153,259,76,28720,25556,322,88,29058,24,6,0,1,0,1,0,1,0,14,15,12,26,4,0,0,0,0,0,0,0,12,5,14,1633376255354,blue,NA1_4061609348
21794,254,40,26233,28495,288,92,28165,23,0,1,0,0,0,0,0,0,7,10,17,18,4,0,1,0,0,2,1,0,17,14,7,1636518856155,red,NA1_4098011394
19152,212,52,23601,27757,258,80,30070,14,2,0,0,0,0,0,1,0,6,3,15,18,4,0,0,1,1,2,0,0,15,17,6,1633987975712,red,NA1_4068389605
20146,267,83,27095,19860,234,66,25420,20,2,0,0,1,0,0,0,0,4,4,5,23,2,0,0,0,0,0,1,0,5,2,4,1633927760561,red,NA1_4067961118
26864,254,112,31836,20294,207,68,26649,25,1,0,0,0,0,1,1,0,15,8,5,17,3,0,0,0,1,0,0,0,5,7,15,1633321485786,blue,NA1_4061223620
22905,262,76,27188,24573,295,73,27064,20,6,1,0,1,0,0,1,0,8,5,10,23,4,0,0,0,0,0,0,0,10,7,8,1633574517791,red,NA1_4064073969
24069,251,68,26172,28363,321,72,31212,18,2,1,1,0,0,0,1,0,12,13,20,20,2,0,0,0,0,1,0,0,20,11,12,1636520864110,red,NA1_4098025464
21249,245,60,27550,24161,243,88,28659,23,5,0,0,0,0,0,0,0,5,3,13,23,2,1,0,0,1,0,0,0,13,18,5,1633754016175,red,NA1_4065786503
24894,239,56,26508,22886,262,76,26588,26,4,0,1,0,0,1,1,0,10,11,10,23,1,1,0,0,0,0,0,0,10,6,10,1633406331293,red,NA1_4061987193
21484,258,96,28461,22912,245,63,26719,24,0,0,0,0,0,0,0,0,5,3,10,25,2,0,0,1,1,0,0,0,10,13,5,1636303603135,red,NA1_4094762778
19520,225,68,24300,25655,261,80,28830,20,2,1,0,1,0,0,0,0,4,4,15,21,2,0,0,0,0,1,1,0,15,12,4,1634587685275,blue,NA1_4074857050
24122,304,76,30215,19581,245,72,27558,22,1,0,0,0,0,0,1,0,10,7,3,11,6,1,1,0,0,0,0,0,3,2,10,1636401898419,blue,NA1_4096039012
20484,259,64,25278,27022,316,70,30940,21,2,0,1,0,0,0,0,0,5,2,15,20,1,0,0,0,0,1,0,0,15,14,5,1634489726958,red,NA1_4073924015
26193,295,68,29078,23106,305,88,30023,21,3,1,0,0,0,2,1,0,11,10,8,18,3,0,1,0,0,0,0,0,8,2,11,1636341294245,blue,NA1_4095441105
24200,250,68,29658,27485,313,92,29732,14,1,0,0,0,1,1,0,0,13,8,12,18,4,1,0,0,0,2,1,0,12,10,13,1636331555656,red,NA1_4095211923
28395,286,72,30671,21727,230,76,26608,21,2,1,1,0,0,1,0,0,19,15,7,22,3,0,0,0,0,0,0,0,7,4,19,1633982562310,blue,NA1_4068369909
24017,275,67,29191,22090,271,67,27643,22,8,0,0,1,1,0,1,0,12,7,6,24,7,0,0,0,0,0,0,0,6,3,12,1633384067850,blue,NA1_4061702500
22784,304,58,28477,23551,332,81,28517,24,1,0,1,0,0,0,0,0,8,7,7,19,2,1,0,0,0,0,1,0,7,8,8,1636959130225,red,NA1_4104075944
19397,288,14,24432,25393,249,72,28921,14,5,0,0,1,0,0,0,0,5,2,9,27,1,0,1,0,0,2,1,0,9,10,5,1633993414076,red,NA1_4068495505
25786,292,120,31692,19946,247,54,26914,21,1,0,0,1,1,0,0,0,12,5,5,12,1,0,0,0,0,0,1,0,5,2,12,1636685461455,blue,NA1_4100238921
