blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
28446,336,91,30242,28109,357,86,29914,31,7,0,0,0,1,1,1,0,13,17,11,33,6,0,1,0,0,0,0,0,11,17,13,1636508154123,blue,NA1_4097766361
27715,341,76,28316,30487,359,79,30122,31,4,1,0,0,0,1,0,0,12,24,16,30,9,0,0,0,0,2,1,0,16,20,12,1636586025371,red,NA1_4098647968
26397,348,83,29207,33469,368,110,32720,26,7,0,0,0,0,0,0,0,7,9,20,28,10,0,1,0,1,3,1,0,20,24,7,1636510853775,red,NA1_4097824085
27653,360,99,30723,25671,354,110,29299,38,11,0,1,0,0,0,1,0,12,12,8,32,13,0,0,0,0,0,0,0,8,7,12,1634154474428,blue,NA1_4070188041
31500,363,96,29950,25471,335,81,26943,30,9,0,1,0,1,2,0,0,17,22,9,24,6,0,0,0,0,1,1,0,9,12,17,1632972735534,blue,NA1_4057335985
28091,358,84,29884,24538,357,83,28829,27,14,0,1,0,0,1,1,0,13,19,7,34,5,0,0,0,0,0,0,0,7,12,13,1633809157953,blue,NA1_4066565640
26853,363,72,29788,27185,370,115,30565,22,9,0,0,1,0,1,0,0,11,7,12,35,6,0,0,0,0,0,0,0,12,15,11,1634591570880,red,NA1_4074932342
23803,343,80,28036,25326,366,108,30571,26,8,0,0,0,0,0,0,0,6,6,9,24,7,1,0,0,0,0,0,0,9,9,6,1634849563606,blue,NA1_4077669188
25561,360,74,27452,29996,348,76,31863,27,8,0,0,0,0,0,1,0,10,12,18,34,9,0,0,1,0,1,0,0,18,18,10,1633914869765,red,NA1_4067700055
26698,358,73,27726,29304,330,96,30160,25,10,0,1,0,0,0,0,0,11,19,16,30,8,0,0,0,0,1,1,0,16,16,11,1636931012280,blue,NA1_4103590453
