blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
26199,344,70,28398,31752,367,99,34352,21,8,0,0,0,0,0,1,0,12,18,22,24,2,0,1,0,1,1,0,0,22,27,12,1635477262276,red,NA1_4084929541
29008,347,57,29681,24854,385,104,30059,31,3,0,0,0,0,1,1,0,16,18,8,21,9,0,0,0,1,0,0,0,8,9,16,1634877470206,blue,NA1_4078115121
26833,343,91,29884,28244,365,92,30675,26,5,0,0,0,0,1,0,0,8,9,14,26,3,0,0,1,1,1,0,0,14,14,8,1635737767371,red,NA1_4087755067
30265,358,122,33703,25909,337,77,27962,25,5,0,0,0,0,0,0,0,17,17,10,30,5,1,0,0,0,1,1,0,10,17,17,1632115088138,blue,NA1_4047579960
26867,309,66,27969,28542,342,98,30559,24,5,0,0,0,0,1,1,0,13,11,14,30,3,0,0,1,0,0,0,0,14,19,13,1636960549177,red,NA1_4104139683
25771,328,98,30845,28903,340,101,31399,24,6,1,0,0,0,0,0,0,12,11,17,28,5,0,0,0,0,1,1,0,17,13,12,1636794324107,blue,NA1_4101703986
24259,300,67,27596,29224,373,133,32511,25,5,0,0,0,0,1,1,0,6,9,13,30,4,0,0,0,1,1,0,0,13,11,6,1635992180979,blue,NA1_4090696552
28880,332,84,31532,29035,376,79,31480,24,5,0,0,0,0,1,1,0,15,19,16,23,7,0,0,1,0,1,0,0,16,15,15,1633757766531,blue,NA1_4065916000
26711,401,78,30555,25426,414,124,30015,32,11,0,0,0,0,0,0,0,9,10,5,27,8,1,0,0,1,0,1,0,5,4,9,1635740453814,blue,NA1_4087849835
32045,364,96,30270,25727,367,82,28323,22,10,1,1,0,0,1,1,0,19,27,10,28,7,0,0,0,0,0,0,0,10,7,19,1630812646443,blue,NA1_4032848320
33987,340,125,32402,26310,342,79,29948,25,7,0,0,0,1,3,1,0,19,21,10,29,5,1,0,0,0,0,0,0,10,15,19,1634444896531,blue,NA1_4073316439
24541,311,100,28232,24401,327,95,29213,24,10,0,0,0,0,1,1,0,6,6,8,30,3,0,1,0,1,0,0,0,8,7,6,1632203701570,red,NA1_4048395338
29256,349,90,31192,27230,345,90,30366,44,7,1,0,0,0,0,1,0,16,26,12,23,9,0,0,0,0,1,0,0,12,13,16,1630558415399,blue,NA1_4030131207
