blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
25978,318,78,28002,30837,332,88,30176,25,1,0,0,0,0,0,0,0,10,11,19,23,5,1,0,0,0,3,1,0,19,16,10,1636316661721,red,NA1_4094927934
26917,338,97,27628,25879,356,90,28606,23,10,0,0,0,0,1,1,0,10,9,10,27,6,0,0,0,1,0,0,0,10,12,10,1635991678764,blue,NA1_4090634398
26572,366,68,28696,24698,331,102,29158,30,3,1,0,0,0,1,1,0,9,9,8,27,3,0,0,0,0,0,0,0,8,13,9,1635974512722,red,NA1_4090405098
30420,336,98,33149,25133,364,72,27207,24,9,1,0,0,0,2,1,0,17,21,10,32,2,0,0,1,0,0,0,0,10,17,17,1635978678920,blue,NA1_4090424014
30103,419,80,30734,23352,347,75,26749,26,8,1,0,0,0,2,1,0,13,22,6,30,5,0,0,0,1,0,0,0,6,9,13,1635724267641,blue,NA1_4087547932
24996,325,92,31485,25508,373,95,29807,29,4,0,0,1,0,0,1,0,7,5,7,22,4,0,0,0,1,0,0,0,7,7,7,1636609900597,blue,NA1_4099103902
26967,308,92,30161,28991,396,119,31809,27,4,1,0,0,0,0,1,0,13,17,10,22,6,0,1,0,0,1,0,0,10,12,13,1635807356937,red,NA1_4088360212
29222,387,88,30679,24924,303,63,27343,28,12,0,0,0,0,1,0,0,13,15,11,30,4,1,0,0,0,0,1,0,11,12,13,1635722676780,blue,NA1_4087535092
25263,398,70,29847,24049,394,106,29568,22,9,0,0,1,1,1,0,0,5,8,4,23,4,0,0,0,0,0,1,0,4,3,5,1636006916637,red,NA1_4090927854
29095,324,78,28957,26294,267,81,28334,33,5,0,0,1,0,1,1,0,15,23,14,32,7,0,0,0,0,0,0,0,14,28,15,1636435036587,blue,NA1_4096944824
24961,288,84,30255,29913,345,92,30748,17,5,0,0,0,0,0,0,0,11,16,15,26,4,0,0,0,1,2,1,0,15,12,11,1636085707228,red,NA1_4091835679
30006,403,87,32246,25140,372,107,29335,26,11,1,0,1,0,3,1,0,14,10,5,24,6,0,0,0,0,0,0,0,5,5,14,1636525787055,blue,NA1_4098069586
27331,361,84,30739,23937,319,84,28237,28,13,0,1,0,1,0,0,0,12,22,6,27,9,0,0,0,0,0,1,0,6,7,12,1635836674265,blue,NA1_4088774426
30119,420,81,31313,25013,366,98,29108,27,3,0,0,0,0,1,0,0,13,14,8,20,8,0,0,1,0,0,1,0,8,11,13,1635999676606,blue,NA1_4090841279
28487,331,120,29461,25014,378,94,30729,30,12,0,0,0,0,1,1,0,10,11,8,37,6,0,0,1,0,0,0,0,8,6,10,1635636179097,blue,NA1_4086411379
28719,311,59,29007,31343,373,77,29676,26,6,0,0,0,0,0,1,0,22,27,15,31,6,0,0,1,1,2,0,0,15,20,22,1636432664362,red,NA1_4096895546
28653,349,134,31742,26943,377,74,28262,28,6,0,0,0,0,0,1,0,10,17,10,23,6,0,0,0,1,1,0,0,10,15,10,1636001342895,blue,NA1_4090905631
22854,312,77,27707,29086,366,118,31370,25,7,0,0,0,0,0,0,0,6,7,13,22,4,0,1,0,0,2,1,0,13,17,6,1635965018248,red,NA1_4090302292
26207,345,87,28552,30962,407,91,32488,25,7,0,0,0,0,1,1,0,11,11,15,26,8,0,0,0,1,2,0,0,15,11,11,1635892627494,red,NA1_4089089643
24812,350,92,28039,24194,376,102,28425,27,13,0,0,0,0,1,1,0,6,10,5,29,10,0,0,0,0,1,0,0,5,8,6,1636537199381,red,NA1_4098199397
29628,343,83,30026,27439,387,64,29627,38,11,0,0,0,1,2,1,0,13,22,10,33,12,0,0,0,0,0,0,0,10,13,13,1636513011689,red,NA1_4097850976
26747,371,91,29233,28839,378,96,30242,21,2,0,0,0,0,1,1,0,11,11,11,23,5,0,0,1,0,1,0,0,11,15,11,1636501610318,red,NA1_4097670749
29127,373,117,29861,25305,377,84,28695,32,6,0,0,0,0,3,1,0,7,5,7,20,3,0,0,1,0,0,0,0,7,10,7,1636787986970,blue,NA1_4101622441
27350,386,81,30802,27500,337,92,30859,28,7,0,1,0,0,0,0,0,12,14,12,27,6,1,0,0,0,0,1,0,12,15,12,1636528391325,blue,NA1_4098183242
26687,341,92,30087,29163,369,99,29917,33,3,0,0,1,0,0,0,0,13,14,12,28,11,0,0,0,1,2,1,0,12,14,13,1635996301705,red,NA1_4090801210
25369,359,88,29993,25016,400,88,29360,28,11,0,0,0,0,0,1,0,10,12,6,32,10,0,0,0,1,0,0,0,6,5,10,1635984252329,blue,NA1_4090534273
28630,394,72,30040,26246,402,120,30949,24,10,1,1,0,0,2,0,0,11,14,5,31,5,0,0,0,0,1,1,0,5,5,11,1635795811876,blue,NA1_4088165593
28637,357,72,30243,24473,351,69,28099,19,9,0,1,0,0,2,1,0,14,20,10,23,7,1,0,0,0,0,0,0,10,10,14,1635645550668,blue,NA1_4086498848
26924,339,90,30445,29727,349,97,28860,24,1,1,0,0,0,0,0,0,11,14,14,28,3,0,0,0,0,2,1,0,14,15,11,1636446174633,blue,NA1_4097170810
22991,372,92,28324,28109,379,92,32442,28,5,0,0,0,0,0,0,0,4,5,13,31,8,1,0,0,0,1,1,0,13,11,4,1635797471807,red,NA1_4088196286
20951,297,62,23619,33140,413,102,32657,25,7,0,0,0,0,0,0,0,4,4,20,28,8,0,1,0,0,2,1,0,20,18,4,1635731453158,red,NA1_4087730697
25531,317,56,28784,28687,349,84,30902,14,7,0,0,0,0,1,0,0,10,11,17,25,2,0,0,0,1,1,1,0,17,10,10,1636414094891,red,NA1_4096271170
26329,317,71,28444,27952,357,97,30373,26,6,0,1,0,0,1,2,0,10,16,10,25,4,0,0,0,0,1,0,0,10,13,10,1636498479472,red,NA1_4097606147
29936,390,113,32480,24834,325,72,29297,25,11,1,0,1,0,1,0,0,14,19,10,29,3,0,0,0,0,0,0,0,10,15,14,1635804526775,blue,NA1_4088237761
26876,327,84,29029,26195,371,77,28516,31,7,0,1,0,0,1,0,0,12,19,10,31,7,0,0,0,0,0,1,0,10,13,12,1636411771383,blue,NA1_4096187053
24332,377,84,29080,26232,401,91,28945,28,15,0,0,0,1,0,0,0,7,9,5,33,8,0,0,0,0,1,1,0,5,6,7,1636493490689,red,NA1_4097526466
28288,326,79,30133,27800,315,58,29391,26,6,0,0,0,0,1,1,0,13,14,15,29,5,1,0,0,0,0,0,0,15,17,13,1636539510884,red,NA1_4098310475
26131,312,59,27408,31238,366,99,30976,22,8,0,0,0,0,1,1,0,10,12,19,39,4,0,0,0,1,2,0,0,19,22,10,1635997910596,red,NA1_4090826214
27694,373,96,31434,28230,377,92,31406,22,5,0,0,0,1,0,0,0,12,11,13,20,10,0,0,0,0,1,1,0,13,12,12,1635826217913,red,NA1_4088632066
23526,289,76,26622,31658,400,106,33659,22,3,0,0,0,0,1,0,0,6,6,20,31,6,1,0,0,0,2,1,0,20,18,6,1636323944522,red,NA1_4095044598
26305,319,105,27231,28907,368,88,32377,36,10,0,1,0,0,0,0,0,10,18,21,27,19,1,0,0,0,0,0,0,21,26,10,1636440063241,red,NA1_4097048095
22547,342,68,26353,29427,401,106,31204,25,7,0,0,0,0,0,0,0,6,7,13,32,7,0,0,1,1,2,1,0,13,11,6,1635633912106,red,NA1_4086397012
24600,369,106,28627,29201,374,107,30440,34,12,0,0,0,0,0,0,0,8,8,15,36,12,1,0,1,0,1,1,0,15,18,8,1635631900380,red,NA1_4086344517
23873,366,92,27933,25819,363,92,29029,33,5,0,0,0,1,0,0,0,6,11,11,26,11,0,0,0,0,0,0,0,11,18,6,1636580979829,red,NA1_4098598185
26520,363,93,28757,32464,356,102,31620,27,5,0,0,0,0,0,0,0,9,8,22,30,5,0,0,0,1,2,0,0,22,31,9,1636598784288,red,NA1_4098931289
30838,319,83,30973,28082,360,94,28744,22,5,0,0,0,0,0,1,0,22,25,13,20,2,0,0,1,0,1,0,0,13,17,22,1636604441772,red,NA1_4098995949
31366,357,80,31095,23495,357,98,27449,31,9,0,1,0,0,4,0,0,17,28,3,36,8,0,0,1,0,0,1,0,3,5,17,1636507502757,blue,NA1_4097727881
28538,349,91,29445,27580,329,68,29986,29,8,0,1,0,0,1,1,0,14,15,13,28,5,0,0,1,0,1,0,0,13,18,14,1635993911625,blue,NA1_4090712497
30210,327,84,30857,28384,331,76,29719,33,9,1,0,0,0,0,1,0,18,20,16,32,7,0,0,0,1,0,0,0,16,22,18,1636082961582,blue,NA1_4091777080
25382,383,70,31062,23056,343,107,29101,27,6,0,0,0,0,1,1,0,7,8,4,32,8,1,0,0,0,0,0,0,4,6,7,1635791647813,blue,NA1_4088138418
24265,363,81,29474,28392,421,110,32503,21,4,0,0,1,0,0,0,0,7,7,8,24,3,0,0,0,0,2,1,0,8,9,7,1636319358488,blue,NA1_4095002585
24771,350,72,29088,32031,408,124,33917,20,8,0,0,0,0,0,0,0,8,14,14,30,4,0,0,1,1,4,1,0,14,11,8,1636489446564,red,NA1_4097490553
26971,360,72,29202,32266,409,116,33972,30,5,0,0,0,0,0,0,0,11,15,17,25,5,0,1,0,0,2,1,0,17,20,11,1636409889880,red,NA1_4096192262
27013,367,77,28825,29687,355,79,30784,26,6,0,0,0,0,0,0,0,11,17,15,30,7,0,1,1,0,2,1,0,15,15,11,1635981122432,red,NA1_4090458959
24503,366,120,29669,23322,367,80,29518,27,5,0,0,0,0,0,1,0,6,5,7,27,14,1,0,0,0,0,0,0,7,9,6,1636607331247,red,NA1_4099083553
26202,338,94,28920,27971,399,115,30758,34,12,1,0,1,0,0,0,0,11,17,6,30,10,0,0,0,0,2,1,0,6,7,11,1636503815671,red,NA1_4097636973
28574,362,80,31552,25216,356,62,27049,29,6,0,0,0,0,0,1,0,16,18,8,28,8,0,0,1,0,0,0,0,8,13,16,1635894783097,blue,NA1_4089202012
32733,379,108,33339,25688,327,87,29216,25,6,1,0,0,0,1,1,0,17,18,9,23,6,0,0,0,0,0,0,0,9,14,17,1636533152154,blue,NA1_4098224239
25285,384,75,27403,24326,348,79,28114,31,8,0,0,0,1,0,0,0,7,10,8,32,7,0,0,0,0,0,1,0,8,10,7,1636423921274,blue,NA1_4096646841
28788,362,99,30581,27876,386,102,31117,24,10,0,0,0,1,1,1,0,16,16,10,26,5,1,0,0,0,1,0,0,10,6,16,1636612326159,blue,NA1_4099128874
28476,380,92,31915,25581,335,89,29434,26,10,0,0,0,0,1,1,0,11,10,8,25,3,0,1,1,0,1,0,0,8,7,11,1635801887592,red,NA1_4088290166
25528,391,125,30774,25466,375,95,29935,24,14,1,0,0,0,1,1,0,4,6,7,35,6,0,0,1,0,1,0,0,7,14,4,1636515024086,red,NA1_4097907283
25032,323,64,29393,30086,372,80,33226,24,8,0,0,0,0,0,0,0,9,13,17,27,9,0,0,1,0,2,1,0,17,11,9,1636322074639,red,NA1_4095049991
27857,378,107,30611,27341,354,86,29691,25,12,0,0,0,0,0,1,0,12,23,13,28,8,0,0,1,0,1,0,0,13,12,12,1635899680941,blue,NA1_4089240770
26325,258,71,27938,32753,346,112,31049,16,5,0,0,0,0,0,0,0,15,15,19,23,3,1,1,0,0,2,0,0,19,20,15,1636930155315,red,NA1_4103579411
26423,362,91,28633,29378,327,90,31227,25,6,0,0,0,0,0,0,0,7,12,18,26,7,0,1,0,0,1,1,0,18,22,7,1635799297605,red,NA1_4088240035
23262,368,95,26709,27717,352,104,32223,22,7,1,0,0,0,0,1,0,4,5,16,25,8,0,0,1,0,0,0,0,16,21,4,1636928570622,red,NA1_4103535530
32712,372,84,30077,21668,293,65,23844,32,7,0,0,0,1,4,1,0,19,21,5,17,1,0,0,0,0,0,0,0,5,6,19,1636534620238,blue,NA1_4098206872
26247,334,121,28671,27575,409,86,31188,23,2,0,0,0,1,1,1,0,6,8,11,24,8,0,1,0,0,1,0,0,11,12,6,1636785475982,red,NA1_4101575859
28214,331,96,29744,26224,338,100,28682,27,12,0,1,0,0,0,1,0,15,19,9,27,6,0,0,0,0,0,0,0,9,11,15,1635889799852,blue,NA1_4089124172
30336,328,91,28675,26089,323,52,27011,25,8,0,0,1,0,0,0,0,16,19,13,33,5,0,0,0,0,0,1,0,13,16,16,1635834117352,red,NA1_4088740015
26001,327,75,29809,27931,375,120,32510,26,9,0,0,0,0,1,1,0,9,7,10,30,5,0,0,0,0,0,0,0,10,10,9,1636510470820,red,NA1_4097783574
28224,383,76,30238,24701,309,100,29674,23,10,0,0,0,1,2,0,0,11,12,7,25,3,0,0,0,0,0,0,0,7,6,11,1636009942053,blue,NA1_4091004293
28134,356,91,27611,24266,316,84,27186,27,6,1,1,0,0,1,1,0,12,12,10,24,4,0,0,0,0,0,0,0,10,13,12,1635727051281,blue,NA1_4087598683
29992,372,74,28513,25012,302,84,26768,28,3,1,0,0,0,2,1,0,15,23,12,20,7,0,0,1,0,0,0,0,12,21,15,1635720808068,blue,NA1_4087570160
28087,396,103,30196,25142,359,92,29581,34,6,0,0,0,0,2,1,0,8,5,8,28,10,0,1,0,1,0,0,0,8,10,8,1636004419974,blue,NA1_4090972644
26771,299,82,27091,30487,343,96,30905,28,4,0,0,0,0,1,0,0,14,14,17,24,6,0,0,0,0,1,1,0,17,17,14,1636932198325,red,NA1_4103594055
27250,382,91,30867,22810,356,88,27845,29,14,0,0,0,0,2,1,0,10,16,5,30,9,0,0,1,0,0,0,0,5,10,10,1635880485546,blue,NA1_4089061198
30725,385,105,32294,26982,316,94,28206,31,5,0,1,1,0,2,0,0,17,17,10,29,5,0,0,0,0,1,1,0,10,14,17,1635638302835,blue,NA1_4086472586
27032,351,92,30595,25758,377,111,30635,28,8,1,0,0,0,1,1,0,11,14,9,29,6,0,0,1,0,0,0,0,9,13,11,1635821268843,blue,NA1_4088532401
29900,398,92,31544,24171,336,76,27877,26,14,0,0,1,0,1,0,0,13,15,6,32,4,0,0,0,0,0,1,0,6,11,13,1636491239277,blue,NA1_4097494318
29244,350,74,30458,29279,386,93,32289,32,2,0,0,0,0,3,1,0,13,13,14,22,12,0,0,0,0,0,0,0,14,12,13,1636059205334,red,NA1_4091440422
25942,296,63,26273,32983,355,99,33797,25,3,0,0,0,0,1,1,0,8,12,26,27,4,0,0,0,1,1,0,0,26,30,8,1635639920323,red,NA1_4086467203
33155,351,79,30519,25125,328,93,27437,32,5,0,1,0,0,2,1,0,20,27,10,24,3,0,0,0,0,0,0,0,10,15,20,1636614569129,blue,NA1_4099216440
24480,276,69,25779,28782,331,100,30049,34,7,0,1,0,0,0,0,0,9,12,14,36,9,0,0,0,1,1,1,0,14,15,9,1635812771540,blue,NA1_4088381326
28999,340,80,31923,28504,345,92,30902,27,12,0,0,1,0,1,0,0,15,17,13,32,2,0,0,0,1,1,0,0,13,14,15,1635809868749,red,NA1_4088305701
31958,353,102,32147,27128,326,70,27356,22,12,0,0,1,0,1,0,0,19,17,13,28,5,0,0,0,0,0,0,0,13,19,19,1635823691614,blue,NA1_4088547643
24673,316,53,26423,31646,323,96,29935,17,5,0,0,0,0,0,0,0,9,7,19,33,4,0,1,0,1,3,1,0,19,17,9,1635643122138,red,NA1_4086522736
22772,305,76,25070,29334,287,98,29091,28,11,0,0,0,0,0,0,0,7,10,17,35,6,0,1,0,1,0,1,0,17,27,7,1635976272131,red,NA1_4090430543
24184,326,57,25054,29687,333,122,32110,23,6,0,0,0,0,1,0,0,6,8,14,27,10,0,1,0,1,2,1,0,14,22,6,1636416080807,blue,NA1_4096255992
28450,393,98,31707,29201,336,100,33404,27,6,0,0,0,1,0,0,0,11,11,17,22,6,0,0,1,0,1,1,0,17,12,11,1635896785402,red,NA1_4089196163
22980,355,84,27761,27214,391,90,30900,24,7,0,0,1,0,0,0,0,5,6,10,27,9,0,0,0,0,0,1,0,10,15,5,1635883263354,red,NA1_4089064375
26388,356,104,30700,29839,425,72,30677,30,9,0,0,0,0,0,0,0,9,10,13,28,9,1,1,0,0,2,1,0,13,13,9,1636421668632,red,NA1_4096621107
26137,315,77,28414,34643,338,96,32069,27,8,0,0,0,0,0,0,0,12,18,24,29,8,1,1,0,0,4,1,0,24,28,12,1636505715932,red,NA1_4097712964
26290,349,72,28789,29357,347,66,29278,27,6,0,0,1,1,0,0,0,10,14,17,31,5,0,0,0,0,2,1,0,17,24,10,1636496259439,red,NA1_4097572065
31472,382,104,32276,23211,311,82,25870,27,8,0,0,0,0,3,0,0,16,18,6,27,6,0,0,0,1,0,0,0,6,10,16,1635830373422,blue,NA1_4088684716
31742,390,75,32341,25524,323,72,28811,29,1,0,0,0,1,1,1,0,17,20,10,16,13,0,0,0,0,0,0,0,10,15,17,1635886122396,blue,NA1_4089029191
26143,370,90,30411,25034,399,100,30738,22,12,0,0,1,0,1,1,0,10,12,8,23,8,0,0,0,1,0,0,0,8,18,10,1636442546042,red,NA1_4097093629
29761,352,103,30532,27120,352,92,28352,23,5,0,0,0,0,2,1,0,12,20,9,22,4,1,0,0,1,1,0,0,9,9,12,1635793819507,red,NA1_4088201196
25761,361,91,27792,22896,387,77,28216,30,4,0,0,0,0,1,0,0,7,10,3,24,4,0,0,0,1,0,1,0,3,4,7,1635536767294,blue,NA1_4085386332
25575,365,93,29913,29127,366,91,31189,27,7,0,0,0,0,1,0,0,9,6,13,25,5,0,1,0,0,1,1,0,13,12,9,1635139206523,red,NA1_4081123844
28485,388,109,30590,25637,361,79,28125,31,5,0,1,0,0,2,1,0,7,6,9,24,10,0,0,0,0,1,0,0,9,15,7,1635540984154,red,NA1_4085451988
29754,337,85,30487,23722,344,98,27763,39,5,0,0,0,1,0,0,0,19,22,6,24,5,1,0,0,0,0,0,0,6,10,19,1635134108381,blue,NA1_4081042705
24132,356,80,26842,32336,350,92,32963,30,11,0,0,0,0,1,1,0,6,5,20,32,13,0,0,0,1,3,0,0,20,18,6,1635127498042,red,NA1_4080917443
27243,344,93,31262,26202,342,85,30164,29,5,0,0,0,0,1,0,0,11,15,11,21,9,0,1,0,0,0,1,0,11,13,11,1635620229684,blue,NA1_4086206030
28340,373,108,30392,28075,403,78,30583,35,7,1,0,0,0,1,1,0,10,13,12,29,6,0,0,0,1,0,0,0,12,14,10,1635192542768,blue,NA1_4081456124
26101,420,97,30516,21835,384,100,28948,29,10,1,1,0,0,0,1,0,7,10,0,28,10,0,0,0,0,0,0,0,0,0,7,1635284303128,blue,NA1_4082637725
24950,394,98,28557,26949,368,82,28789,28,6,1,0,0,0,0,0,0,6,9,8,30,5,0,0,0,1,2,1,0,8,10,6,1635190003122,red,NA1_4081501356
26220,363,88,30379,27496,319,76,30319,34,5,0,0,0,1,0,0,0,11,10,12,29,3,0,0,0,0,1,1,0,12,10,11,1635020112284,red,NA1_4079731109
27046,314,95,27767,31860,309,80,30342,23,2,0,0,0,0,0,0,0,12,20,22,20,9,0,0,1,0,2,1,0,22,32,12,1635359128299,red,NA1_4083461345
24511,276,76,26201,33873,337,115,34305,19,4,0,0,0,0,0,0,0,8,9,26,24,4,1,0,0,1,2,1,0,26,33,8,1635035378775,red,NA1_4079868078
24453,279,82,27492,28399,356,71,28954,24,9,0,0,0,0,0,0,0,9,11,14,25,8,0,1,1,0,1,1,0,14,21,9,1635451852904,red,NA1_4084400573
24901,338,78,27704,27357,363,86,30003,26,11,1,0,0,0,0,0,0,10,10,10,28,6,0,0,1,0,2,1,0,10,17,10,1635207325301,red,NA1_4081849924
