blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
29803,397,88,29967,25144,341,79,29646,29,2,0,0,0,0,2,1,0,11,11,11,25,6,0,0,1,0,0,0,0,11,13,11,1635746609063,red,NA1_4087920949
25516,362,96,29325,26238,356,100,31157,31,10,0,0,0,0,0,0,0,9,9,11,38,10,0,0,0,0,0,1,0,11,10,9,1635576440691,blue,NA1_4085971721
30484,377,76,32335,27228,332,64,29850,25,9,0,0,1,0,1,1,0,16,14,14,24,9,0,0,0,0,1,0,0,14,10,16,1635823845047,blue,NA1_4088567810
22991,372,92,28324,28109,379,92,32442,28,5,0,0,0,0,0,0,0,4,5,13,31,8,1,0,0,0,1,1,0,13,11,4,1635797471807,red,NA1_4088196286
27360,291,79,27647,27923,353,94,28673,25,11,0,0,0,0,1,1,0,12,20,11,26,7,0,1,0,1,1,0,0,11,15,12,1636150785218,blue,NA1_4092468354
28709,333,77,29468,29471,345,71,30305,22,6,0,0,0,0,1,0,0,14,22,18,22,3,0,0,0,0,1,1,0,18,27,14,1635636142218,red,NA1_4086399633
29559,343,101,32745,23955,356,96,27738,27,6,0,0,0,1,0,0,0,17,22,7,21,8,0,1,0,0,0,0,0,7,6,17,1636332106521,blue,NA1_4095244487
24230,390,72,30118,27614,379,120,32965,28,12,0,0,0,0,0,0,0,8,7,10,31,9,1,0,0,0,1,1,0,10,8,8,1635481869452,red,NA1_4084999259
26685,339,85,28702,28709,335,89,31422,23,7,0,0,0,0,1,0,0,11,6,15,36,4,0,1,0,0,0,1,0,15,22,11,1636336930824,blue,NA1_4095307359
26524,366,102,29718,27929,351,90,31281,25,5,0,0,0,0,1,1,0,7,2,12,28,7,0,0,1,0,0,0,0,12,12,7,1636156450729,red,NA1_4092590339
28208,360,80,30818,27378,344,101,31286,27,3,1,0,0,0,1,1,0,15,13,12,29,5,0,0,0,1,0,0,0,12,11,15,1635740794532,blue,NA1_4087811691
24245,341,62,28692,24475,374,100,28753,33,9,0,0,0,0,0,0,0,9,13,6,28,7,0,1,0,1,0,0,0,6,8,9,1636070033875,blue,NA1_4091540130
26450,416,83,30319,25355,373,108,30768,30,9,0,0,0,0,0,0,0,6,9,6,27,8,0,1,0,1,0,1,0,6,5,6,1635911315358,red,NA1_4089419928
19364,230,56,19301,35435,362,108,31824,22,2,0,0,0,0,0,0,0,3,6,22,24,9,1,0,0,0,6,1,0,22,35,3,1635483755821,red,NA1_4085064591
24749,366,73,27969,28005,358,97,30714,27,9,0,0,0,0,0,0,0,8,11,12,32,2,1,0,0,0,0,0,0,12,21,8,1636354148576,red,NA1_4095668350
27674,334,81,26658,27979,377,94,31233,28,3,0,0,0,0,2,1,0,7,9,13,25,4,1,0,0,1,1,0,0,13,16,7,1635644590432,red,NA1_4086544816
24414,228,70,24316,31196,370,103,30800,27,5,0,0,0,0,0,0,0,12,18,16,25,7,1,1,0,0,3,1,0,16,16,12,1635652077723,red,NA1_4086622157
24961,288,84,30255,29913,345,92,30748,17,5,0,0,0,0,0,0,0,11,16,15,26,4,0,0,0,1,2,1,0,15,12,11,1636085707228,red,NA1_4091835679
26686,354,84,28873,31616,366,76,31181,28,5,0,0,0,0,0,0,0,11,14,20,24,9,1,0,0,0,3,1,0,20,17,11,1636168271183,red,NA1_4092759666
28324,326,71,28826,31611,381,122,30767,27,4,0,0,0,0,1,0,0,13,20,16,19,8,1,1,0,0,0,1,0,16,21,13,1636499229848,red,NA1_4097625961
24461,357,73,28927,27632,371,90,29918,30,5,0,0,0,0,0,1,0,8,8,11,20,11,0,0,0,1,0,0,0,11,14,8,1636062755817,red,NA1_4091436516
31152,345,96,30752,26056,296,80,28247,34,7,0,0,0,0,2,1,0,17,25,12,28,9,0,0,1,0,1,0,0,12,13,17,1635804698391,blue,NA1_4088266113
25692,279,76,27895,29053,323,90,32761,25,11,0,0,1,1,1,0,0,13,14,17,27,2,0,0,0,0,2,1,0,17,19,13,1635662270140,red,NA1_4086811371
33733,350,88,31608,25058,298,75,26746,27,6,0,0,0,0,5,1,0,20,26,11,26,4,0,0,0,1,0,0,0,11,21,20,1635821922352,blue,NA1_4088523887
27719,427,98,30214,27423,332,99,30721,24,7,0,0,0,0,1,1,0,8,7,14,24,11,0,0,0,1,0,0,0,14,22,8,1636144998296,red,NA1_4092447068
26176,366,78,29981,25369,372,93,29442,33,8,0,0,0,0,0,1,0,10,16,7,26,8,0,0,0,0,1,0,0,7,4,10,1636490547302,blue,NA1_4097490897
28212,352,88,29084,28525,350,86,28836,29,11,1,0,1,0,0,0,0,14,17,16,27,8,0,0,0,0,0,1,0,16,23,14,1635734536808,blue,NA1_4087706762
26955,383,115,31052,29209,391,88,32755,27,6,0,0,0,0,0,1,0,8,9,15,25,9,1,0,0,0,1,0,0,15,20,8,1636357166188,red,NA1_4095703590
22178,289,47,26712,33610,373,101,33767,24,5,0,0,0,0,0,0,0,7,9,21,31,6,0,0,0,1,2,1,0,21,19,7,1635653840402,red,NA1_4086657097
30617,361,79,31366,22933,340,84,26166,32,9,0,0,0,0,1,0,0,16,23,5,28,5,0,0,0,0,0,0,0,5,5,16,1635738134936,blue,NA1_4087775339
29505,349,71,29872,27379,393,100,30153,30,5,1,0,0,0,2,1,0,16,22,9,19,4,0,0,0,0,1,0,0,9,7,16,1636433562449,blue,NA1_4096876568
24455,321,70,26513,27821,325,76,31101,27,6,0,0,1,0,0,0,0,8,9,14,32,5,0,0,0,0,1,1,0,14,13,8,1636080023022,red,NA1_4091727962
27579,367,104,29785,23488,334,83,26102,26,3,0,1,0,0,1,1,0,10,13,5,24,3,1,0,0,0,0,0,0,5,9,10,1635629690850,blue,NA1_4086339013
22716,308,74,24728,33948,356,119,31998,27,4,0,1,0,0,0,0,0,8,8,22,26,5,0,0,1,0,2,1,0,22,26,8,1636390152321,red,NA1_4095972277
26572,366,68,28696,24698,331,102,29158,30,3,1,0,0,0,1,1,0,9,9,8,27,3,0,0,0,0,0,0,0,8,13,9,1635974512722,red,NA1_4090405098
28203,340,82,30166,31180,371,111,31734,33,11,0,0,0,0,1,1,0,15,16,17,31,12,0,1,0,1,2,0,0,17,16,15,1635989887570,red,NA1_4090641209
25753,354,81,27824,33339,348,74,31993,31,4,0,0,0,1,0,0,0,10,17,21,29,10,0,0,0,0,3,1,0,21,23,10,1636352168825,red,NA1_4095644423
23241,333,96,27531,30897,363,99,31048,27,4,0,0,0,0,0,0,0,6,5,16,26,5,0,0,1,1,3,1,0,16,23,6,1636494642620,red,NA1_4097599741
28807,344,81,29440,32624,376,78,32405,23,7,0,0,0,0,0,1,0,16,20,24,27,6,1,0,0,0,1,0,0,24,30,16,1636162238489,blue,NA1_4092711684
33134,357,91,32167,24608,304,78,27050,25,7,0,0,0,1,3,1,0,21,24,11,21,2,0,0,0,0,0,0,0,11,11,21,1635488623546,blue,NA1_4085083584
26400,388,107,30239,26026,358,103,30067,20,5,0,0,0,0,0,1,0,6,15,8,23,2,1,0,1,0,0,0,0,8,13,6,1636938676102,blue,NA1_4103719888
