blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
27936,327,88,28702,26434,344,108,29239,24,9,0,0,1,0,1,1,0,16,20,10,25,7,0,0,0,0,1,0,0,10,11,16,1636869539569,red,NA1_4102934950
27147,363,107,30759,25244,397,104,29324,22,13,0,0,0,1,0,1,0,9,14,8,34,5,1,0,0,0,0,0,0,8,9,9,1636092994324,blue,NA1_4091972264
27612,398,110,30134,26549,366,100,31284,34,4,1,0,0,0,1,1,0,7,8,9,26,11,0,0,1,0,0,0,0,9,16,7,1636600281591,red,NA1_4098913982
24515,337,83,28700,27539,368,122,31134,28,6,0,0,0,0,0,0,0,9,8,9,28,6,0,1,0,0,0,1,0,9,12,9,1636426163623,red,NA1_4096733984
28048,304,98,29612,27436,359,96,29873,29,8,0,0,0,0,1,1,0,12,12,11,30,8,0,0,1,0,0,0,0,11,20,12,1636526640589,blue,NA1_4098119385
31659,356,105,32864,22861,304,88,27163,30,3,0,0,0,0,0,0,0,17,17,6,21,6,0,0,1,0,0,1,0,6,10,17,1635570640864,blue,NA1_4085871341
23227,204,46,22327,35726,333,88,29361,22,3,0,0,0,0,0,0,0,9,11,29,32,3,0,0,1,0,5,1,0,29,38,9,1635825771736,red,NA1_4088633413
31637,362,122,32308,24244,288,87,27143,31,8,0,1,0,0,2,1,0,15,25,10,28,6,0,0,1,0,0,1,0,10,15,15,1636791380653,blue,NA1_4101739993
30580,323,74,29867,27021,286,92,28172,31,5,0,1,0,0,2,0,0,18,22,14,34,5,0,0,0,1,0,1,0,14,11,18,1635827889560,blue,NA1_4088608915
31494,349,84,31370,27943,298,95,28334,25,14,0,0,0,0,2,1,0,17,15,16,38,5,1,0,0,0,1,0,0,16,19,17,1635844757168,blue,NA1_4088842935
24422,376,75,27912,30929,389,110,33831,26,6,0,0,0,0,0,0,0,5,4,15,33,8,1,0,0,0,1,1,0,15,15,5,1636871705046,red,NA1_4102951660
24972,372,88,27812,26665,343,92,29144,29,11,0,0,0,0,1,0,0,6,8,12,33,8,1,0,0,0,1,0,0,12,22,6,1636087062740,red,NA1_4091839202
25928,304,85,27598,30498,308,97,29917,23,1,1,0,0,0,2,0,0,7,6,17,27,3,0,1,0,0,2,1,0,17,23,7,1636448187263,red,NA1_4097155104
25076,370,92,27826,25268,378,104,31976,29,4,0,0,1,1,1,1,0,4,7,7,29,5,0,0,0,0,0,0,0,7,9,4,1636430950653,red,NA1_4096920256
24439,328,90,30108,27428,390,89,31646,31,7,0,0,0,0,0,0,0,9,11,12,30,11,0,1,1,0,1,1,0,12,16,9,1636700403639,red,NA1_4100589742
27312,320,84,30252,27298,378,91,29504,27,4,0,1,0,0,0,0,0,15,25,10,26,8,0,0,0,0,1,1,0,10,11,15,1636014948370,blue,NA1_4091051843
26219,357,99,28340,25437,350,78,27446,33,8,0,0,0,0,0,1,0,11,17,6,35,9,0,1,0,0,1,0,0,6,9,11,1636005446017,red,NA1_4090955242
23305,304,89,27105,24696,319,105,29664,24,3,0,0,0,0,0,0,0,6,9,8,22,5,0,0,0,0,0,1,0,8,7,6,1636451133530,red,NA1_4097167188
27517,330,96,28359,25309,316,99,30627,29,7,0,0,0,0,1,1,0,10,8,8,28,9,0,1,0,0,0,0,0,8,13,10,1636788699393,blue,NA1_4101633987
25450,293,76,27652,30725,342,96,30857,19,3,0,0,0,0,0,0,0,11,11,18,23,5,0,0,1,0,1,1,0,18,23,11,1636619689771,blue,NA1_4099522827
28026,344,113,30869,24848,340,95,27278,28,11,1,1,0,0,1,1,0,11,13,8,30,10,0,0,0,0,0,0,0,8,13,11,1636172333077,blue,NA1_4092910853
34118,365,102,33842,23727,306,75,28377,28,3,1,0,0,0,3,1,0,22,21,8,19,8,0,0,0,0,0,0,0,8,8,22,1636182423882,blue,NA1_4093120937
30348,356,77,31840,26374,350,84,27567,25,8,0,1,0,0,2,1,0,19,13,9,28,3,0,0,0,0,1,0,0,9,9,19,1636226787824,blue,NA1_4093727283
24306,320,87,28552,27296,330,92,30880,24,5,0,0,0,0,0,0,0,8,6,12,28,6,0,0,0,1,1,0,0,12,10,8,1635993935925,red,NA1_4090743851
28730,366,73,32128,26221,354,106,29408,29,8,1,0,0,0,0,0,0,19,26,8,23,4,0,0,1,0,1,1,0,8,6,19,1635568150842,blue,NA1_4085843780
25256,333,88,28427,32294,348,83,33696,22,8,0,1,0,0,0,0,0,8,6,22,29,5,0,0,0,0,0,0,0,22,30,8,1636685102457,red,NA1_4100258444
26680,301,79,27330,28935,348,91,29541,27,3,0,0,0,0,0,0,0,15,19,14,26,8,1,1,0,0,1,0,0,14,13,15,1636796427756,red,NA1_4101727248
28808,330,91,31503,27570,330,92,28153,27,5,0,0,0,0,1,0,0,17,13,12,23,8,1,0,0,0,1,1,0,12,12,17,1636047359646,red,NA1_4091303114
25732,295,80,27301,26636,321,91,29778,33,5,0,0,0,0,0,0,0,11,16,14,29,9,0,0,1,1,0,1,0,14,19,11,1635836100635,red,NA1_4088744459
21850,313,102,28220,26710,366,94,30413,33,8,0,0,0,0,0,0,0,3,1,12,27,9,1,0,0,0,0,1,0,12,13,3,1636529566770,red,NA1_4098128233
29263,352,128,32209,26331,338,90,31284,29,3,0,0,0,0,1,1,0,12,14,10,30,6,0,0,0,1,0,0,0,10,15,12,1636224264965,blue,NA1_4093762076
23229,300,76,28201,29648,355,99,31950,27,7,0,0,1,0,0,0,0,10,8,12,24,6,0,0,0,1,1,1,0,12,10,10,1636104923388,red,NA1_4092131912
25453,367,84,29398,27440,381,99,31368,31,8,0,0,1,0,1,0,0,7,5,13,27,10,0,0,0,0,2,1,0,13,8,7,1635849872913,blue,NA1_4088807233
23413,266,64,25120,29951,344,89,31198,25,7,0,1,0,0,0,0,0,10,7,19,23,3,1,0,0,0,2,0,0,19,17,10,1636769723974,red,NA1_4101300800
31400,366,101,33734,27287,364,91,30757,32,7,0,0,0,1,1,1,0,17,13,12,29,12,0,1,0,0,0,0,0,12,18,17,1635924001915,blue,NA1_4089596423
31705,390,80,33358,22279,279,98,26562,22,4,1,0,0,1,2,1,0,19,16,4,21,7,0,0,0,0,0,0,0,4,5,19,1636095576323,blue,NA1_4091998950
26305,319,105,27231,28907,368,88,32377,36,10,0,1,0,0,0,0,0,10,18,21,27,19,1,0,0,0,0,0,0,21,26,10,1636440063241,red,NA1_4097048095
28385,366,103,32267,26472,369,92,30606,25,6,0,0,0,1,0,0,0,15,16,10,28,4,1,0,0,0,0,0,0,10,14,15,1635915060155,blue,NA1_4089468591
23963,327,113,29043,30359,388,81,33290,26,8,0,1,0,0,0,1,0,6,4,14,31,12,1,0,0,0,2,0,0,14,14,6,1636428927324,red,NA1_4096835245
25047,354,114,30323,26997,341,104,30841,27,9,0,1,0,0,0,0,0,6,10,11,30,7,0,0,1,0,1,1,0,11,3,6,1635921540236,red,NA1_4089582456
24219,322,77,28322,30574,375,103,32894,22,13,0,0,0,0,0,1,0,8,8,18,33,6,1,0,0,1,2,0,0,18,22,8,1636052417341,red,NA1_4091330684
23078,332,98,28682,29577,377,121,35122,24,5,0,0,0,0,0,1,0,4,5,15,29,9,0,1,0,1,1,0,0,15,14,4,1636054857378,red,NA1_4091354000
29446,348,108,31667,24322,339,86,27156,27,6,0,0,1,1,1,1,0,18,20,8,20,3,0,0,0,0,0,0,0,8,11,18,1636008533253,blue,NA1_4090992539
25041,322,83,27638,31251,403,108,32150,23,4,0,0,0,0,1,1,0,8,6,14,22,8,0,0,1,1,1,0,0,14,22,8,1636107618368,red,NA1_4092163820
21557,335,80,25172,31497,391,113,32679,28,11,0,0,0,1,0,0,0,4,7,12,37,9,0,0,1,0,3,1,0,12,20,4,1636434196706,red,NA1_4096941874
27367,332,127,31984,25042,343,72,30397,25,7,0,0,0,0,0,1,0,10,9,13,23,7,0,1,0,1,0,0,0,13,14,10,1635580381484,blue,NA1_4085939331
26648,362,93,29437,23752,338,73,27043,32,5,0,0,0,0,0,0,0,11,9,7,28,6,0,0,0,0,0,1,0,7,13,11,1635917562531,blue,NA1_4089534312
30532,326,72,32152,24484,317,57,26670,25,6,0,0,1,0,1,0,0,21,32,11,23,10,0,0,0,0,0,1,0,11,10,21,1635584669546,blue,NA1_4085994527
29545,382,123,32236,26029,364,76,30526,26,7,0,0,0,0,2,1,0,10,9,11,33,5,0,1,0,1,0,0,0,11,9,10,1636959712378,blue,NA1_4104087496
30263,340,119,32028,22915,338,90,28125,28,6,1,0,0,1,1,0,0,16,33,5,27,4,0,0,0,0,0,1,0,5,9,16,1636910599277,blue,NA1_4103301942
