blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
35270,378,109,35302,21987,272,71,25384,26,13,0,1,0,0,4,1,0,23,15,7,25,5,0,0,1,0,0,0,0,7,4,23,1636438512367,blue,NA1_4097006257
25368,301,96,25879,25596,299,76,28761,29,5,0,1,0,0,1,1,0,7,6,11,31,14,1,0,0,0,1,0,0,11,17,7,1635840486845,red,NA1_4088809934
23504,319,81,27209,31034,337,90,31534,19,6,0,0,0,0,0,1,0,7,9,17,29,4,1,1,0,0,3,0,0,17,15,7,1636791140157,red,NA1_4101649537
24734,350,55,26561,26156,310,113,28798,26,3,1,0,0,0,0,1,0,9,17,10,25,2,0,0,1,0,0,0,0,10,14,9,1636346448004,red,NA1_4095498482
28840,321,70,30740,26741,291,70,27701,22,5,0,0,0,0,1,0,0,17,14,15,21,2,0,0,1,0,0,1,0,15,17,17,1635808662533,blue,NA1_4088351683
28421,329,104,31422,24770,365,32,27119,30,5,1,1,0,0,1,1,0,15,12,10,31,7,0,0,0,0,0,0,0,10,6,15,1636526562473,blue,NA1_4098121475
29030,333,100,31406,26057,347,96,30199,25,9,0,1,0,1,1,1,0,15,19,11,32,5,0,0,0,0,0,0,0,11,13,15,1635811876859,blue,NA1_4088390022
23528,375,80,28094,24858,388,87,30048,26,8,0,0,0,0,0,1,0,5,8,6,25,8,1,0,1,0,0,0,0,6,7,5,1636784469901,red,NA1_4101553817
26093,334,78,28088,29369,277,100,30274,24,6,0,0,0,0,0,0,0,12,7,19,28,4,1,0,0,0,1,1,0,19,22,12,1635757782172,blue,NA1_4087965068
23427,324,104,28553,26392,397,79,30982,27,7,0,0,0,0,1,1,0,5,3,12,20,9,0,1,0,1,0,0,0,12,11,5,1636164950847,red,NA1_4092709349
29675,348,84,31311,25217,312,76,28691,24,9,1,0,0,0,2,0,0,12,15,10,33,3,0,1,0,0,0,1,0,10,10,12,1636072647375,blue,NA1_4091596499
26932,270,70,27689,28007,303,66,27455,28,7,0,1,0,1,0,0,0,16,23,17,24,3,0,0,0,0,1,0,0,17,22,16,1635925018677,blue,NA1_4089645727
29199,346,103,31936,23670,285,72,28005,28,7,0,0,1,0,0,1,0,15,11,10,26,3,0,0,0,0,0,0,0,10,11,15,1636592860900,blue,NA1_4098803419
29539,344,76,29531,22174,284,91,26580,31,6,1,0,0,1,3,1,0,14,14,4,27,4,0,0,0,0,0,0,0,4,5,14,1636087269730,blue,NA1_4091910253
22378,275,72,24919,33465,338,101,32980,22,3,1,0,0,0,0,1,0,7,11,26,21,7,0,1,0,0,1,0,0,26,30,7,1636418394178,red,NA1_4096342725
