blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
24222,331,88,29305,29009,371,84,30320,21,5,0,0,1,1,0,0,0,8,8,13,22,6,0,0,0,0,2,1,0,13,12,8,1636140785898,blue,NA1_4092390995
25127,299,65,26578,27792,332,92,30855,24,7,1,0,0,0,0,0,0,12,12,15,22,4,0,0,1,0,1,0,0,15,13,12,1635813370999,blue,NA1_4088373270
31682,340,82,32528,26860,370,72,29988,27,5,0,0,1,0,2,1,0,21,23,10,34,3,0,0,0,0,0,0,0,10,9,21,1623265889737,blue,NA1_3938258363
29272,355,112,32596,25917,272,84,27630,26,4,0,0,0,1,1,1,0,14,11,12,28,3,0,0,0,0,0,0,0,12,20,14,1636673923699,blue,NA1_4100077576
29398,372,102,30659,25839,336,92,30084,23,6,0,0,0,0,2,1,0,12,13,12,20,7,0,0,1,0,0,0,0,12,9,12,1636143230512,blue,NA1_4092404576
26195,365,79,30345,23114,347,88,27055,30,5,1,0,0,0,0,0,0,11,20,5,21,10,0,0,1,0,0,1,0,5,12,11,1636922906158,blue,NA1_4103462266
28438,363,115,32226,23510,329,69,29425,28,5,0,0,0,0,2,1,0,12,7,8,16,5,1,0,0,0,0,0,0,8,7,12,1636393266046,blue,NA1_4095956742
24811,353,78,27541,31261,368,95,30493,22,2,0,0,0,0,1,0,0,7,5,13,24,4,0,0,1,0,3,1,0,13,17,7,1635907902630,red,NA1_4089401926
26041,361,83,28238,29314,357,88,30552,22,9,0,0,0,0,0,0,0,9,9,16,27,5,0,1,0,1,0,1,0,16,21,9,1621803367177,blue,NA1_3917685575
29162,324,104,31013,29737,356,75,30341,31,6,0,1,0,0,0,1,0,15,13,17,28,9,0,0,0,1,1,0,0,17,15,15,1622926226375,blue,NA1_3933453312
28845,321,91,29203,26668,336,75,30984,22,5,0,0,0,0,2,1,0,11,16,13,24,5,0,0,1,0,1,0,0,13,17,11,1622924506654,blue,NA1_3933399525
33259,380,94,31721,24029,327,72,25194,27,7,0,1,1,0,3,1,0,18,18,9,28,6,0,0,0,0,0,0,0,9,15,18,1636063199085,blue,NA1_4091438731
30167,325,84,30951,27398,361,88,28393,21,5,0,0,0,0,2,1,0,16,18,12,19,6,1,1,0,0,1,0,0,12,9,16,1621448015286,blue,NA1_3912853058
27818,333,82,31407,27368,293,94,29304,21,6,0,0,1,0,0,1,0,15,15,14,21,4,0,0,0,0,1,0,0,14,13,15,1636669722620,blue,NA1_4099998330
28186,302,74,27240,29825,306,92,30468,28,6,0,1,1,0,1,1,0,14,12,20,24,5,0,0,0,0,0,0,0,20,27,14,1636239823751,blue,NA1_4093933703
29215,361,80,30337,22548,291,83,29490,26,3,0,0,0,0,1,0,0,15,17,8,20,4,0,0,1,1,0,0,0,8,7,15,1636068443694,red,NA1_4091536662
28191,319,78,29907,33162,311,103,33131,20,4,0,0,1,0,1,0,0,14,11,21,30,2,0,1,0,0,1,1,0,21,16,14,1622919752706,blue,NA1_3933380864
27475,358,91,29067,27767,337,52,29800,27,7,1,0,0,0,2,0,0,13,13,13,29,6,0,1,0,0,2,1,0,13,20,13,1635716538997,red,NA1_4087482758
31886,289,80,31914,29247,328,85,29794,24,10,0,0,0,0,1,0,0,26,23,18,30,6,1,0,0,0,0,0,0,18,24,26,1621706298998,blue,NA1_3916215573
29244,308,72,30585,27901,377,88,31726,26,4,0,0,0,0,0,0,0,17,21,14,27,3,0,0,0,1,0,1,0,14,7,17,1622922117299,blue,NA1_3933433611
32343,317,109,30911,26700,293,104,27321,32,9,0,0,0,1,1,1,0,23,31,13,27,5,0,0,1,0,1,0,0,13,11,23,1636330006953,blue,NA1_4095119356
