blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
23120,342,70,28067,26944,343,107,29771,26,1,0,0,0,0,0,0,0,7,6,9,25,7,0,1,0,0,1,1,0,9,11,7,1636554241544,red,NA1_4098382979
25889,280,92,29074,23399,306,72,25762,28,7,0,1,0,0,0,0,0,14,22,7,26,4,0,0,0,0,0,0,0,7,4,14,1636933686488,blue,NA1_4103586710
27012,360,80,29362,25442,309,96,30774,28,8,0,0,0,0,1,0,0,11,12,13,23,6,0,1,1,0,0,1,0,13,5,11,1636259139708,blue,NA1_4094303149
30217,340,87,30675,21536,304,82,25835,27,5,0,0,0,1,1,1,0,17,25,5,25,4,0,0,0,0,0,0,0,5,10,17,1636593037083,blue,NA1_4098794542
29635,353,108,32686,22675,332,93,28550,24,5,0,0,0,1,1,1,0,11,17,4,23,1,0,1,0,0,0,0,0,4,2,11,1636552025657,blue,NA1_4098361535
23161,330,76,28495,27670,366,114,31201,24,9,0,0,0,0,1,0,0,4,2,11,26,7,0,0,1,1,1,1,0,11,8,4,1636892107095,red,NA1_4103182183
30984,338,76,31630,26418,317,80,27135,27,2,1,0,1,0,1,0,0,22,35,13,25,4,0,0,0,0,0,1,0,13,21,22,1636408129370,blue,NA1_4096179955
24678,273,87,27586,28976,337,80,29863,22,6,1,0,0,1,0,0,0,10,11,19,26,8,0,0,0,0,1,1,0,19,17,10,1636442177679,red,NA1_4097093539
25116,354,81,27921,27045,353,88,30567,28,10,0,0,0,0,0,0,0,9,11,13,27,10,1,0,1,0,1,1,0,13,7,9,1636717411791,red,NA1_4100762852
32111,330,116,33356,23807,289,84,25989,26,5,1,1,0,0,2,0,0,21,20,7,17,3,0,0,0,0,0,1,0,7,6,21,1636572434620,blue,NA1_4098495917
29101,325,105,30614,28190,279,92,28658,21,7,1,0,1,0,1,0,0,16,15,10,29,2,0,0,0,0,3,1,0,10,13,16,1636894239773,blue,NA1_4103223056
28796,364,105,32177,27347,374,80,31203,29,7,0,1,0,0,2,0,0,8,8,12,22,6,0,0,0,0,1,1,0,12,9,8,1636526896374,blue,NA1_4098121293
30767,294,91,30299,26572,306,65,28352,31,5,0,0,1,1,0,0,0,22,24,14,28,3,0,0,0,0,0,0,0,14,12,22,1636437980123,blue,NA1_4097032529
27555,342,76,29698,26397,368,104,29693,31,3,0,1,1,0,0,0,0,15,20,8,25,8,0,0,0,0,0,1,0,8,11,15,1636579164656,red,NA1_4098555731
30630,326,102,32214,20102,263,94,25015,26,9,0,0,1,0,3,1,0,19,24,2,30,3,0,1,0,0,0,0,0,2,2,19,1636540535745,blue,NA1_4098292532
28227,325,94,30032,27298,283,84,29246,27,2,0,0,0,0,1,1,0,13,16,16,29,5,0,1,1,0,0,0,0,16,18,13,1636518344646,red,NA1_4097958139
24987,349,80,29618,26153,321,77,28354,26,10,0,0,0,0,0,0,0,8,4,16,22,8,1,1,0,0,0,1,0,16,19,8,1636569130082,red,NA1_4098480971
