blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
25042,331,63,26934,23971,355,97,29444,26,8,1,0,1,0,0,1,0,10,11,6,25,9,0,0,0,0,0,0,0,6,11,10,1635793704017,blue,NA1_4088172335
24373,275,76,28617,27190,339,81,31556,21,6,1,0,0,0,1,1,0,8,13,11,26,2,0,0,0,0,1,0,0,11,8,8,1635876564692,blue,NA1_4088947160
25649,337,83,29896,29016,396,84,32303,21,6,0,1,0,0,0,0,0,10,13,14,22,3,0,0,0,0,1,1,0,14,12,10,1635451471995,blue,NA1_4084350407
26073,334,64,28886,24630,313,56,27349,23,5,0,0,0,1,0,0,0,16,13,11,27,6,0,1,0,0,0,0,0,11,11,16,1635455749485,red,NA1_4084375938
24616,344,71,29652,26307,354,96,30239,22,10,0,0,0,1,0,0,0,10,7,10,28,9,0,0,1,0,0,0,0,10,6,10,1634430074474,red,NA1_4073111715
25269,309,76,27754,29498,306,72,30780,29,6,0,0,0,1,0,0,0,12,16,18,23,10,1,0,0,0,0,1,0,18,20,12,1635885538583,red,NA1_4089048250
24328,292,72,26158,32372,341,92,34189,23,8,0,0,1,0,0,0,0,11,9,21,28,3,1,0,0,0,2,1,0,21,17,11,1635479945465,red,NA1_4084956364
25467,287,87,27580,26167,308,88,26868,28,5,0,1,1,0,0,0,0,10,14,11,23,6,0,0,0,0,1,1,0,11,12,10,1635434900682,blue,NA1_4084182596
24003,325,103,29775,27130,363,83,30301,31,2,0,0,0,0,0,1,0,5,8,10,18,5,0,0,0,1,1,0,0,10,9,5,1635465754297,red,NA1_4084760415
35980,291,96,32212,26021,296,54,26751,20,3,0,0,1,1,4,1,0,28,24,13,19,4,0,0,0,0,0,0,0,13,19,28,1634577238322,blue,NA1_4074836732
22588,231,68,22843,40087,337,67,33932,22,1,0,0,0,0,0,0,0,8,13,37,21,4,0,1,1,0,5,1,1,37,46,8,1634583510421,red,NA1_4074873903
27129,324,68,29737,29054,312,105,32315,33,8,0,1,0,0,0,0,0,15,14,16,27,10,1,0,0,0,1,1,0,16,15,15,1634580631572,blue,NA1_4074839316
22350,262,77,24350,29564,301,73,29623,26,3,0,0,0,0,0,0,0,8,12,19,30,6,0,0,1,1,0,1,0,19,27,8,1634593868005,red,NA1_4074966855
27699,304,96,29614,25871,317,75,27552,22,5,0,1,1,0,0,1,0,14,17,11,21,3,0,0,0,0,0,0,0,11,12,14,1635220387740,red,NA1_4082191179
26738,316,88,30966,28212,309,72,30711,23,5,0,0,0,0,0,0,0,14,10,16,24,7,0,0,1,1,1,0,0,16,15,14,1635647909123,red,NA1_4086602522
31016,294,87,31895,23423,287,66,24421,24,6,0,1,1,0,1,0,0,19,27,10,26,3,0,0,0,0,0,1,0,10,13,19,1635277726884,blue,NA1_4082577541
28148,359,91,29728,24955,341,76,27526,22,2,0,0,0,0,0,1,0,12,10,8,24,4,0,0,0,1,1,0,0,8,10,12,1635784847016,red,NA1_4088150937
24058,343,84,29096,26295,337,89,32353,27,6,0,1,0,0,0,1,0,7,7,10,25,10,0,0,0,0,1,0,0,10,7,7,1635279797553,red,NA1_4082609302
25779,320,89,29037,27494,358,86,30614,25,6,0,0,1,1,1,0,0,8,8,12,26,6,0,0,0,0,1,1,0,12,16,8,1635713454270,red,NA1_4087426490
28072,317,110,30926,25750,308,55,29211,21,2,0,1,1,0,1,1,0,14,9,13,24,0,0,0,0,0,1,0,0,13,8,14,1635009469833,red,NA1_4079614453
24012,340,82,29149,24808,332,101,29003,23,8,0,0,1,1,0,0,0,8,5,7,23,3,0,0,0,0,0,1,0,7,9,8,1635868425229,red,NA1_4088928145
24866,318,83,27168,28046,365,65,30734,24,6,0,0,0,0,0,1,0,9,9,15,23,8,0,0,1,0,1,0,0,15,15,9,1635224236983,red,NA1_4082270784
26524,307,84,31151,23782,355,88,27196,19,7,0,1,0,0,0,0,0,11,12,7,24,6,1,0,0,0,0,0,0,7,6,11,1635199334246,blue,NA1_4081556335
23492,285,77,27695,29514,312,92,29441,24,4,0,0,0,0,0,0,0,8,12,13,25,3,1,0,1,0,3,1,0,13,17,8,1634434076049,red,NA1_4073149644
28460,308,134,33745,24219,341,88,27983,20,8,1,0,0,1,0,0,0,17,13,6,31,7,0,0,0,0,0,1,0,6,5,17,1635982078664,blue,NA1_4090521240
22511,300,72,26456,30126,347,103,32648,25,2,0,0,0,0,0,0,0,7,6,20,28,5,0,0,0,1,0,1,0,20,12,7,1635282084158,red,NA1_4082643839
30801,343,98,31416,22277,296,84,26503,25,8,0,1,0,1,3,0,0,14,14,7,26,1,0,0,0,0,0,0,0,7,7,14,1636075320690,blue,NA1_4091665023
26249,316,96,29693,22586,315,68,27134,23,3,0,0,0,0,0,0,0,13,10,7,24,3,1,0,0,0,0,0,0,7,4,13,1636067286098,blue,NA1_4091504089
27326,331,68,28695,27090,338,59,29583,26,8,0,0,0,0,1,1,0,16,12,14,30,5,1,0,0,0,0,0,0,14,17,16,1635379085975,red,NA1_4083649887
23925,332,71,27893,25076,367,110,29944,18,3,0,0,1,1,0,0,0,10,10,6,27,5,0,0,0,0,1,0,0,6,5,10,1635661196792,red,NA1_4086749568
26555,319,95,29706,28918,296,75,30262,24,4,0,0,0,0,0,0,0,11,13,19,26,6,0,1,1,0,0,1,0,19,27,11,1636063119544,blue,NA1_4091426550
24645,336,80,26659,23469,337,96,28932,29,5,0,1,0,0,1,0,0,7,6,7,23,4,0,0,0,0,0,0,0,7,9,7,1636504441799,red,NA1_4097666850
27656,333,100,29456,21964,326,84,27632,22,6,0,0,0,0,1,1,0,10,15,5,25,3,0,0,0,1,0,0,0,5,6,10,1635446302945,red,NA1_4084254849
28520,391,72,32587,27004,333,83,29539,32,4,0,0,1,0,1,0,0,13,10,14,26,8,0,0,0,0,0,1,0,14,17,13,1635789178254,red,NA1_4088145877
27180,336,88,30970,25081,339,96,29466,21,9,0,0,0,1,0,1,0,14,16,7,23,2,0,0,0,0,1,0,0,7,6,14,1635294140270,blue,NA1_4082783991
20494,282,84,23407,28620,358,87,31470,16,7,0,0,0,0,0,1,0,3,2,15,31,4,1,0,0,1,2,0,0,15,11,3,1636060726407,red,NA1_4091413953
26260,342,78,29059,27095,326,106,30664,31,2,0,0,0,0,0,0,0,11,6,12,24,9,1,0,1,0,1,1,0,12,12,11,1635190686787,red,NA1_4081502975
