blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
25390,230,76,27762,25875,273,104,28102,25,2,0,0,0,0,1,1,0,14,8,14,23,6,1,0,0,0,0,0,0,14,9,14,1619904793159,red,NA1_3889421544
22724,282,74,26854,28835,370,85,32219,28,6,0,0,0,0,0,1,0,8,5,14,28,6,0,1,0,0,1,0,0,14,16,8,1636060707247,red,NA1_4091443612
28179,307,88,30285,30845,339,88,32157,28,5,0,0,0,0,0,0,0,17,13,16,30,6,1,0,0,1,2,1,0,16,14,17,1636941289097,red,NA1_4103747533
23793,302,101,28727,27197,318,97,29008,17,6,0,0,0,0,1,1,0,7,7,11,30,4,1,0,1,0,1,0,0,11,16,7,1620070660212,red,NA1_3892335506
28646,356,75,29006,25677,313,85,30617,17,7,0,0,0,1,2,0,0,13,18,12,31,5,0,0,1,0,0,0,0,12,14,13,1636934615409,blue,NA1_4103589722
27493,289,68,29361,28712,260,104,29091,24,9,0,0,0,0,0,0,0,16,24,17,31,8,0,1,1,0,0,1,0,17,32,16,1627272653906,red,NA1_3989943023
26555,353,93,29452,23892,364,98,29041,21,6,0,0,0,1,1,1,0,9,15,7,22,4,0,1,0,0,0,0,0,7,8,9,1636920061521,red,NA1_4103406406
24120,247,91,26629,27147,329,70,29809,29,2,0,0,0,1,0,0,0,10,13,16,18,3,0,0,1,0,0,0,0,16,15,10,1628051378825,blue,NA1_3999694184
26172,348,84,30179,26026,334,100,30533,27,4,0,1,0,0,0,0,0,13,12,11,23,2,0,0,0,1,0,0,0,11,6,13,1619982756261,red,NA1_3890801761
28852,377,81,30360,27976,327,108,30950,29,6,0,0,0,0,1,0,0,11,16,9,23,4,0,0,1,1,2,1,0,9,7,11,1636924138248,blue,NA1_4103504349
27294,345,77,28138,26101,315,91,29252,33,4,1,0,0,0,1,1,0,11,16,10,22,10,0,0,1,0,0,0,0,10,15,11,1627874827220,red,NA1_3997613342
23661,277,56,25052,30803,315,78,30070,30,3,1,0,0,0,0,0,0,11,8,22,33,8,0,0,0,0,2,1,0,22,17,11,1635301505349,red,NA1_4082940976
31791,339,87,34088,28749,309,71,28730,26,5,1,0,0,1,0,1,0,22,13,16,22,4,0,0,0,0,1,0,0,16,12,22,1635967235897,blue,NA1_4090335400
29556,353,84,30756,25727,305,68,28814,24,2,1,0,0,0,2,1,0,16,13,10,22,2,0,1,0,0,2,0,0,10,13,16,1623643225035,blue,NA1_3943178779
28629,329,85,28397,30122,324,76,31766,25,2,0,0,0,0,2,1,0,10,9,21,28,5,1,0,0,0,0,0,0,21,26,10,1624053415369,blue,NA1_3948300337
25840,303,104,30259,23141,333,86,27802,26,4,0,1,0,0,0,1,0,9,11,7,20,0,0,0,0,1,0,0,0,7,6,9,1624765161852,blue,NA1_3957711107
22877,331,59,24963,32195,318,99,31315,22,3,0,0,0,0,0,0,0,8,11,26,28,0,0,1,0,0,3,1,0,26,27,8,1636866744096,red,NA1_4102837517
25681,265,73,26186,30533,314,85,28630,20,4,0,0,1,0,0,0,0,13,15,18,25,5,0,1,0,0,2,1,0,18,20,13,1635968981828,red,NA1_4090318272
25425,328,80,27493,23518,285,67,26675,26,6,0,0,1,1,1,1,0,7,6,9,27,3,0,0,0,0,0,0,0,9,11,7,1619931528774,blue,NA1_3890170528
24716,347,76,29889,23327,304,104,28875,27,4,0,0,0,1,0,0,0,11,9,7,27,5,1,0,0,0,0,0,0,7,4,11,1619929706897,red,NA1_3890064544
27170,293,97,29803,26671,304,84,28089,22,5,0,0,0,1,0,0,0,14,21,12,21,5,0,0,1,0,1,1,0,12,12,14,1620066214951,red,NA1_3892286445
27353,330,88,30480,23239,280,80,27283,27,2,0,0,1,1,0,0,0,15,19,9,20,2,0,0,0,0,0,1,0,9,6,15,1619986319272,blue,NA1_3890851363
27865,303,74,30161,27246,339,72,28782,23,10,1,1,0,0,0,0,0,17,15,14,24,3,0,0,0,0,0,0,0,14,14,17,1635915492328,red,NA1_4089467855
29205,324,79,30488,29161,292,67,29835,25,10,0,0,0,1,1,0,0,16,17,19,33,3,0,0,0,0,0,1,0,19,28,16,1636076282388,blue,NA1_4091654744
27359,359,81,30933,26237,319,86,28947,31,8,0,1,0,0,0,0,0,15,15,11,29,10,1,0,0,0,1,1,0,11,7,15,1636249420553,blue,NA1_4094066819
28007,306,67,29977,25622,290,76,28849,22,3,0,0,0,1,1,1,0,17,18,14,18,2,0,0,0,0,0,0,0,14,13,17,1636225924633,blue,NA1_4093716130
26547,298,84,28309,27080,236,83,29203,22,7,1,0,0,0,1,1,0,15,13,18,30,3,0,1,0,0,0,0,0,18,24,15,1635971796260,red,NA1_4090381946
26437,328,72,29618,24253,329,80,28772,27,7,0,0,1,0,2,1,0,14,18,9,29,6,0,0,0,0,0,0,0,9,9,14,1635880406702,blue,NA1_4089031940
24511,354,76,29278,27601,357,112,31032,23,4,0,0,0,0,0,0,0,8,8,12,21,3,1,0,0,1,1,1,0,12,7,8,1620441034825,red,NA1_3897856211
24923,335,77,28326,29174,333,100,30454,29,9,0,0,0,0,0,1,0,8,8,14,27,11,1,0,0,0,1,0,0,14,13,8,1635965420332,red,NA1_4090292949
25295,324,81,29322,26561,348,104,33054,18,3,0,0,0,0,0,1,0,10,10,14,21,4,1,0,0,1,1,0,0,14,11,10,1636227890821,red,NA1_4093819772
28447,357,84,31986,26774,312,100,28709,17,4,1,1,0,0,1,0,0,23,13,8,26,3,0,0,0,0,1,1,0,8,8,23,1635999849785,blue,NA1_4090890169
24031,259,68,27329,27792,250,69,29843,26,2,0,0,0,0,0,0,0,12,9,19,26,5,0,1,0,0,1,1,0,19,11,12,1627269637548,blue,NA1_3989837190
31639,294,100,30147,28767,347,64,28966,24,7,0,0,1,1,1,0,0,20,31,17,26,2,0,0,0,0,0,1,0,17,13,20,1635474263771,blue,NA1_4084872190
30038,317,115,31779,24336,343,68,27164,34,6,0,0,0,0,0,1,0,18,18,8,22,2,1,0,0,1,0,0,0,8,8,18,1628390583809,blue,NA1_4003867086
24188,291,80,27618,29371,321,79,30119,23,6,0,0,1,0,0,0,0,10,12,18,28,8,0,0,0,0,0,1,0,18,19,10,1628104515309,red,NA1_4000433189
28058,351,84,30849,27460,327,92,30884,23,9,0,0,0,1,1,0,0,13,15,15,34,8,0,0,1,0,0,1,0,15,13,13,1636002307667,red,NA1_4090856343
23213,310,70,28036,28017,334,78,30681,19,6,0,0,0,0,0,0,0,9,6,14,31,6,0,0,1,1,1,0,0,14,11,9,1636777571290,blue,NA1_4101460760
26941,327,79,30289,25074,334,72,28394,17,5,0,0,0,1,0,0,0,14,22,10,23,5,0,1,0,0,1,1,0,10,9,14,1636693213297,blue,NA1_4100479984
28036,319,80,28265,30236,341,94,30396,27,8,0,1,0,1,0,0,0,15,26,11,23,7,0,0,0,0,2,1,0,11,11,15,1636926482947,blue,NA1_4103510429
25727,315,80,29299,23571,297,86,27695,25,4,0,0,0,0,1,0,0,9,4,9,24,4,0,0,1,1,0,0,0,9,10,9,1620446338491,red,NA1_3898001827
24227,318,76,27656,27959,341,82,29380,21,2,0,0,0,0,0,1,0,10,8,14,24,4,0,1,1,0,1,0,0,14,15,10,1632626834209,red,NA1_4053201217
24367,319,72,27851,27159,352,78,31262,19,4,0,0,0,0,0,1,0,11,19,13,26,5,0,0,0,0,0,0,0,13,14,11,1636936848898,blue,NA1_4103713823
28555,347,104,30376,25210,310,84,25992,25,5,0,1,0,0,2,1,0,9,8,9,22,4,1,0,0,0,0,0,0,9,14,9,1624126470220,red,NA1_3949329483
24999,355,67,27883,27831,318,92,28467,21,2,0,0,0,1,0,0,0,9,12,15,26,3,0,0,0,0,1,1,0,15,19,9,1635902454312,blue,NA1_4089276360
31705,367,76,32077,22068,304,76,26929,20,6,0,1,1,0,1,1,0,22,18,5,25,2,0,0,0,0,0,0,0,5,4,22,1636865009280,blue,NA1_4102831340
29709,327,92,30527,24629,293,70,26565,27,6,1,0,0,0,1,1,0,19,17,11,29,4,0,1,0,0,0,0,0,11,15,19,1635963437651,blue,NA1_4090290710
31930,290,84,31929,27287,286,70,27249,25,5,1,0,0,0,1,0,0,25,31,13,29,3,0,0,0,0,1,1,0,13,9,25,1636861741342,blue,NA1_4102771293
24627,350,58,27877,30258,335,84,32837,25,6,0,0,0,0,0,1,0,9,8,17,28,5,0,1,0,0,1,0,0,17,19,9,1636771518376,red,NA1_4101303431
25257,329,81,29153,27158,314,104,29565,31,4,0,1,0,0,0,0,0,10,11,12,26,6,0,0,0,0,1,1,0,12,10,10,1636178027829,blue,NA1_4092998643
24703,332,84,27811,30168,342,74,31739,19,3,0,0,0,0,0,0,0,10,8,17,22,6,0,0,0,1,1,0,0,17,17,10,1619927469175,red,NA1_3890036066
26516,337,81,31813,26363,356,80,30068,21,5,1,0,0,0,0,0,0,15,10,10,19,8,0,1,0,0,0,0,0,10,7,15,1627871228511,blue,NA1_3997572214
25208,289,88,29601,30653,350,68,31968,22,4,0,0,0,1,0,0,0,12,7,16,22,4,0,1,0,0,1,0,0,16,15,12,1619988488659,red,NA1_3890835835
25699,366,80,30433,26288,348,100,29933,21,7,0,0,1,0,0,0,0,9,10,11,25,2,0,0,0,1,0,0,0,11,13,9,1636917711538,blue,NA1_4103372826
26729,288,84,29265,24988,319,87,28817,30,6,0,0,0,0,2,0,0,12,8,8,19,2,0,0,1,1,2,1,0,8,3,12,1619933790982,red,NA1_3890156484
21393,344,80,27102,31054,376,136,35163,28,4,0,0,0,0,0,0,0,3,3,15,25,11,1,0,0,1,2,1,0,15,15,3,1636250782000,red,NA1_4094133200
22057,353,77,27573,27466,395,106,31958,25,9,0,1,0,0,0,0,0,4,3,13,25,8,1,0,0,0,0,1,0,13,13,4,1636175752104,red,NA1_4092973610
37179,322,95,32405,19833,178,52,18046,22,3,1,1,0,0,3,0,0,30,44,8,21,1,0,0,0,0,0,0,0,8,13,30,1624848037064,blue,NA1_3958977596
27660,316,92,30777,25954,298,67,28628,25,5,0,0,0,1,1,0,0,16,13,10,16,10,0,0,0,0,1,1,0,10,6,16,1620068697547,red,NA1_3892301212
25386,289,60,25012,28631,291,60,29475,23,3,0,0,0,0,0,0,0,12,15,19,25,5,1,0,1,0,1,1,0,19,22,12,1627267374535,red,NA1_3989818153
24054,329,96,27824,29962,382,72,32078,21,8,0,0,0,1,0,0,0,8,7,18,29,6,0,0,0,0,2,1,0,18,13,8,1636766918476,red,NA1_4101222718
33313,363,94,33350,28362,313,93,30301,23,7,0,0,0,1,2,0,0,22,21,15,29,3,0,0,0,0,0,1,0,15,14,22,1636939600014,blue,NA1_4103740787
24640,378,80,28249,25647,382,96,30232,23,4,0,0,0,0,1,0,0,4,7,7,19,4,0,1,0,0,1,1,0,7,9,4,1623640902452,red,NA1_3943132674
26833,284,88,28535,26779,281,92,30691,20,7,0,0,0,0,2,1,0,10,10,16,25,3,1,0,0,1,0,0,0,16,16,10,1619984716241,red,NA1_3890787291
31162,358,96,32975,23823,289,83,26024,26,7,0,0,1,1,1,0,0,19,21,8,27,4,0,0,0,0,0,1,0,8,7,19,1635882004792,blue,NA1_4089006111
25065,325,75,27372,26886,337,74,29084,30,3,0,0,0,0,0,0,0,11,14,13,29,4,0,0,1,0,0,1,0,13,17,11,1628194440905,red,NA1_4001385644
25796,312,76,28123,23108,279,79,25465,23,3,0,1,0,0,1,1,0,12,11,10,20,6,0,0,0,0,0,0,0,10,8,12,1619902028229,blue,NA1_3889246133
24948,290,89,29842,25371,335,84,29139,25,9,0,0,1,0,1,0,0,13,8,10,31,8,1,0,0,0,0,0,0,10,7,13,1620443747598,blue,NA1_3897962051
33397,322,75,29404,26152,310,89,28086,22,4,0,0,1,0,2,1,0,19,18,14,22,4,0,0,0,1,0,0,0,14,17,19,1636059080474,blue,NA1_4091411365
24863,320,76,27240,26411,272,98,27819,25,6,0,0,0,0,0,0,0,11,18,12,20,5,0,1,1,0,1,1,0,12,11,11,1624845701397,red,NA1_3958918936
25232,335,92,28594,26347,327,72,30492,22,2,0,0,0,1,0,0,0,11,9,14,25,6,1,0,0,0,0,0,0,14,12,11,1636695179988,red,NA1_4100457282
25397,307,86,27448,26314,353,86,29894,30,5,0,0,0,0,1,1,0,7,7,12,22,7,1,0,0,1,0,0,0,12,12,7,1636768820435,red,NA1_4101267848
25008,337,88,27617,27113,341,88,29600,33,9,0,1,1,0,0,1,0,10,11,10,31,7,0,0,0,0,1,0,0,10,13,10,1635983933450,blue,NA1_4090553613
24833,323,84,30378,26956,360,106,31097,21,4,0,0,0,0,0,1,0,9,6,10,30,6,0,1,0,0,1,0,0,10,12,9,1636071422120,red,NA1_4091583592
31916,340,79,33469,27683,289,96,30966,22,7,1,0,0,0,2,1,0,22,13,16,22,7,0,1,0,0,0,0,0,16,22,22,1636869459291,blue,NA1_4102933697
31485,411,89,33103,23959,313,80,28959,23,12,1,0,0,0,2,1,0,15,9,6,24,4,0,0,0,0,0,0,0,6,11,15,1635129399440,blue,NA1_4080990053
27599,338,80,29889,25789,352,76,30420,30,7,0,0,0,0,1,0,0,12,19,11,29,5,0,0,1,0,0,0,0,11,15,12,1636773692697,blue,NA1_4101400058
29816,303,80,29711,25013,244,76,27289,27,8,0,0,1,0,2,1,0,18,16,12,26,9,1,0,0,0,0,0,0,12,14,18,1628137218790,blue,NA1_4000920677
21519,282,65,25649,28917,350,95,29921,28,6,0,0,0,0,0,0,0,5,6,12,30,8,1,0,0,1,2,1,0,12,17,5,1628211513833,red,NA1_4001624269
30748,305,96,32287,27997,318,65,31197,26,2,0,0,0,1,1,1,0,20,17,15,24,8,0,0,1,0,0,0,0,15,20,20,1635997614745,blue,NA1_4090823088
33872,359,105,31118,22474,292,69,26438,27,5,0,0,0,1,1,1,0,23,27,7,23,6,0,0,0,0,0,0,0,7,8,23,1636229355804,blue,NA1_4093803846
33925,334,118,33686,21623,240,47,24511,22,1,0,1,1,0,6,1,1,19,20,8,19,2,0,0,0,0,0,0,0,8,9,19,1636915539611,blue,NA1_4103380336
28841,350,92,31705,23462,318,70,27123,22,5,0,0,1,0,0,0,0,18,21,7,25,1,1,0,0,0,0,1,0,7,10,18,1623636897159,blue,NA1_3943101189
28250,303,86,29545,27800,313,80,29383,25,5,1,0,0,0,1,1,0,15,17,16,25,3,0,0,0,0,1,0,0,16,19,15,1635048645774,blue,NA1_4080066542
29226,328,112,31229,24739,326,76,28037,25,1,0,0,1,1,2,1,0,14,14,9,17,8,0,0,0,0,0,0,0,9,7,14,1627180507437,blue,NA1_3988437014
28171,343,70,29240,33507,371,108,33240,24,4,0,0,0,1,0,0,0,14,19,18,25,8,0,0,0,0,2,1,0,18,17,14,1635884910652,red,NA1_4089018663
29505,353,91,31760,26301,341,83,30303,26,8,0,1,0,0,1,1,0,15,12,11,22,5,0,0,0,1,1,0,0,11,9,15,1635878016784,blue,NA1_4088978496
30356,341,80,29381,24751,305,103,28666,21,6,0,0,1,1,1,1,0,14,17,8,24,4,0,0,0,0,1,0,0,8,4,14,1620096142567,blue,NA1_3892776283
27079,306,84,29298,27328,272,109,30097,28,8,0,0,1,0,1,0,0,16,10,16,35,8,0,0,0,1,0,0,0,16,16,16,1635131421319,blue,NA1_4081005087
26028,327,72,28962,29262,343,100,30584,22,8,1,0,0,0,0,0,0,13,17,12,28,1,0,0,0,0,2,1,0,12,9,13,1635133673087,red,NA1_4081040917
26467,259,76,27478,34491,319,76,32556,29,8,0,0,0,0,1,1,0,12,14,26,31,9,1,0,1,0,4,0,0,26,20,12,1635976140062,red,NA1_4090479892
26960,359,92,30643,26250,355,70,29071,20,3,1,0,0,0,0,1,0,13,14,12,28,3,0,0,0,0,0,0,0,12,14,13,1635299385338,blue,NA1_4082864796
29323,280,81,28583,32346,322,66,30759,17,5,0,0,0,0,0,0,0,20,26,24,28,3,0,0,1,0,1,0,0,24,22,20,1635973878682,red,NA1_4090415941
26967,324,96,29689,23786,291,87,29177,21,3,1,0,0,0,1,1,0,10,7,8,23,4,0,1,0,0,0,0,0,8,14,10,1635912677379,blue,NA1_4089432151
23586,326,71,28717,29424,348,92,33324,20,6,0,0,0,0,0,0,0,9,8,18,26,4,0,1,1,0,0,0,0,18,21,9,1636073682010,red,NA1_4091579160
22214,289,80,28030,25686,363,87,28804,22,3,0,0,1,0,0,0,0,7,14,6,26,5,1,0,0,0,0,1,0,6,13,7,1624761847170,red,NA1_3957662648
25324,340,107,29817,27070,331,108,32250,26,3,0,0,0,1,0,1,0,7,5,12,23,4,0,1,0,0,0,0,0,12,13,7,1635986438232,red,NA1_4090589837
27642,373,76,28037,25147,300,84,29350,21,9,0,0,0,0,3,1,0,8,8,11,24,3,1,0,0,1,0,0,0,11,12,8,1635476639384,red,NA1_4084886532
26263,378,124,31354,23342,329,75,27959,17,1,0,0,1,0,0,0,0,10,14,5,18,2,0,0,0,0,1,1,0,5,5,10,1617814700474,blue,NA1_3857397901
29244,303,88,29868,27049,327,91,30264,20,4,0,0,0,1,2,1,0,17,15,14,20,3,0,0,0,0,0,0,0,14,12,17,1619554049882,red,NA1_3883492994
23704,328,72,28830,27215,359,124,31870,26,5,0,0,1,0,0,0,0,8,10,12,28,6,0,1,0,0,0,1,0,12,8,8,1619899433231,red,NA1_3889291070
22960,278,75,25652,32857,317,118,31518,20,4,0,0,1,0,0,0,0,9,11,16,31,3,0,1,0,0,4,1,0,16,19,9,1617324611017,red,NA1_3849827926
29440,350,75,30220,23043,287,76,25874,32,6,0,0,0,1,2,1,0,14,15,7,22,6,0,0,1,0,0,0,0,7,6,14,1618927138238,blue,NA1_3874341431
25676,304,68,27101,22634,325,73,25593,22,3,0,0,1,0,1,1,0,11,21,6,25,2,0,0,0,0,0,0,0,6,7,11,1617650831210,red,NA1_3854976249
25860,338,108,30238,25897,351,111,29849,25,2,0,0,0,0,0,0,0,9,6,8,19,6,1,1,0,0,1,1,0,8,6,9,1617393103779,blue,NA1_3850969440
28784,331,70,28265,25566,267,72,27494,25,5,0,0,1,1,2,1,0,13,12,14,28,4,0,0,0,0,0,0,0,14,20,13,1619567059690,blue,NA1_3883700035
23962,354,51,29083,25959,334,72,29761,24,7,1,1,0,0,0,0,0,10,11,12,22,5,0,0,0,0,0,1,0,12,9,10,1617481993697,red,NA1_3852396615
28075,380,68,29365,29013,325,92,30642,18,9,0,0,0,0,1,0,0,13,9,17,33,6,0,1,1,0,1,0,0,17,21,13,1617480187698,red,NA1_3852352394
23006,339,98,28058,25419,313,74,28957,24,12,0,0,0,0,0,0,0,6,7,11,28,5,0,1,1,0,1,1,0,11,9,6,1619836445022,red,NA1_3888350146
23773,291,86,27907,26321,358,75,30852,21,3,0,0,0,0,0,0,0,8,8,12,20,3,1,0,0,0,0,1,0,12,7,8,1619399764263,red,NA1_3881349276
25151,335,77,29238,23512,326,90,27870,27,9,0,0,0,0,0,1,0,11,9,8,26,4,0,0,1,0,0,0,0,8,9,11,1619385318346,blue,NA1_3880905042
26955,351,78,31504,20551,340,56,26557,23,8,1,0,0,0,0,0,0,9,8,3,23,2,0,0,0,0,0,0,0,3,2,9,1618603153118,blue,NA1_3869542262
27267,338,84,28634,27179,345,112,29423,30,5,0,0,1,0,2,1,0,10,9,7,28,6,0,1,0,0,2,0,0,7,11,10,1617646882193,blue,NA1_3854980429
27925,322,98,29198,27051,320,92,27346,26,7,1,0,0,0,0,1,0,15,16,12,30,6,0,0,0,0,0,0,0,12,12,15,1617557454919,blue,NA1_3853574662
24570,334,29,26625,24991,345,85,29066,24,3,0,0,0,0,1,0,0,9,11,9,27,4,1,0,0,0,0,0,0,9,9,9,1618599484260,red,NA1_3869473490
25127,298,68,26047,31163,354,92,30685,17,6,0,0,0,0,0,1,0,11,13,20,19,9,0,0,1,0,1,0,0,20,24,11,1618605248712,red,NA1_3869555151
32748,370,79,31640,23180,312,75,26366,20,4,1,0,0,1,2,1,0,21,23,7,21,0,0,0,0,0,0,0,0,7,5,21,1617723987430,blue,NA1_3856074583
22553,271,69,25653,28733,367,68,29228,24,7,1,0,0,1,0,0,0,7,8,14,28,8,0,0,0,0,1,1,0,14,14,7,1619488626429,red,NA1_3882439352
26581,282,81,26060,31603,296,88,32458,25,3,0,0,1,0,0,0,0,15,11,24,25,5,0,0,0,0,1,1,0,24,20,15,1618331893236,blue,NA1_3865007659
29398,335,93,31182,23986,328,74,26767,19,10,0,0,1,0,2,1,0,16,20,10,26,3,1,0,0,0,0,0,0,10,10,16,1619642841699,blue,NA1_3885012135
28874,294,96,28031,31083,264,60,27885,30,4,1,0,0,0,1,0,0,12,16,21,25,4,0,1,0,0,0,1,0,21,27,12,1618026680042,red,NA1_3860561047
25071,388,75,29512,26652,332,76,28203,19,7,0,0,1,0,0,0,0,8,10,15,30,6,1,0,0,0,0,1,0,15,22,8,1618415227214,blue,NA1_3866525524
26215,297,99,29710,26327,347,72,28871,21,6,1,0,0,0,1,1,0,11,13,11,28,5,0,0,1,0,1,0,0,11,5,11,1618329135184,blue,NA1_3865042548
26576,343,84,28954,25694,338,68,27775,22,7,0,0,0,1,0,0,0,13,11,10,22,3,0,0,1,0,1,1,0,10,7,13,1618601715137,blue,NA1_3869448593
28720,398,118,32313,22534,309,82,28132,26,5,0,0,1,0,2,0,0,12,7,6,24,3,0,0,0,0,0,0,0,6,1,12,1618931064653,blue,NA1_3874336494
22593,327,64,28111,22863,372,68,27590,22,8,1,0,0,0,0,0,0,8,7,4,24,6,0,0,0,0,0,0,0,4,3,8,1617508466251,blue,NA1_3852961603
