,blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
0,24744,308,80,28413,25998,356,84,29305,24,3,1,0,0,0,0,0,0,10,19,9,28,7,0,0,1,0,0,1,0,9,6,10,1636138225121,red,NA1_4092327362
1,23874,304,75,29305,27777,335,100,32062,22,4,0,0,0,0,1,0,0,7,6,12,20,7,1,0,0,1,1,1,0,12,13,7,1634321361280,red,NA1_4071986222
2,24264,289,77,28948,30959,353,100,30762,18,4,0,0,0,0,0,0,0,12,7,16,23,3,0,1,1,0,2,0,0,16,25,12,1635475838749,red,NA1_4084885250
3,23938,340,81,28458,27468,305,78,30265,28,6,0,0,0,0,0,0,0,8,12,14,24,6,0,1,0,0,2,0,0,14,14,8,1636061634958,red,NA1_4091444858
4,30252,337,101,29812,27815,326,56,27065,24,4,1,0,0,0,0,1,0,15,16,15,24,7,0,1,0,0,1,0,0,15,18,15,1634059162810,blue,NA1_4069366888
5,28587,344,105,31228,26288,333,68,27651,22,7,0,0,1,1,0,0,0,14,23,10,23,2,0,0,0,0,1,1,0,10,6,14,1632506805609,red,NA1_4051439893
6,27704,344,73,29628,28456,344,88,32360,23,4,0,0,0,0,1,1,0,11,9,15,29,3,0,1,1,0,1,0,0,15,22,11,1634014189562,red,NA1_4069094569
7,26352,357,96,29192,24245,317,84,28499,32,5,0,0,0,0,0,1,0,9,11,9,26,6,1,0,1,0,0,0,0,9,13,9,1636833792937,blue,NA1_4102038049
8,32546,323,100,30197,25423,299,84,26891,25,2,1,0,0,0,4,1,0,22,18,13,25,8,0,1,0,0,0,0,0,13,13,22,1635746369553,blue,NA1_4087931268
9,24776,306,104,29850,27591,294,69,30444,22,3,0,1,0,0,0,0,0,10,5,16,20,6,0,0,1,0,1,1,0,16,19,10,1634522663452,red,NA1_4074402068
