,blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
0,28894,303,65,28942,31111,318,90,29271,32,7,0,0,0,0,0,0,0,18,17,20,31,9,1,0,1,0,1,1,0,20,14,18,1634058203363,red,NA1_4069316718
1,28465,332,88,31348,27249,349,104,30642,20,6,0,0,1,1,1,1,0,14,15,10,23,5,0,0,0,0,0,0,0,10,11,14,1634088035206,blue,NA1_4069599479
2,27597,322,73,28086,26645,270,73,26774,24,7,0,0,0,1,1,0,0,13,10,11,26,7,0,0,0,0,0,1,0,11,12,13,1636150411736,red,NA1_4092468225
3,26838,263,76,29858,29490,359,80,30640,21,1,0,0,0,0,1,0,0,17,19,14,22,4,0,1,1,0,2,1,0,14,10,17,1634706399541,red,NA1_4076202469
4,28723,401,114,33974,23523,352,90,30081,20,6,0,0,0,0,0,1,0,11,11,5,27,4,0,1,0,1,0,0,0,5,6,11,1635798190507,blue,NA1_4088225098
5,27096,297,68,28642,24664,285,59,26075,19,8,0,1,0,0,1,0,0,18,21,9,26,4,0,0,0,0,1,1,0,9,12,18,1633111745869,blue,NA1_4058548214
6,23501,280,74,25375,34584,331,106,33463,22,7,0,0,0,0,0,0,0,10,4,25,29,4,0,1,1,0,2,1,0,25,23,10,1633217849994,red,NA1_4059979980
7,23744,314,65,25647,27701,236,86,29673,23,6,1,0,0,0,0,1,0,9,10,21,29,4,0,1,0,0,0,0,0,21,24,9,1632885062890,red,NA1_4056205513
8,27832,344,108,30749,23926,339,76,28524,22,5,1,0,0,1,1,1,0,11,14,5,28,6,0,0,0,0,0,0,0,5,5,11,1635617483911,blue,NA1_4086169692
9,31120,321,123,33448,21949,248,72,25461,25,6,0,0,1,0,2,0,0,20,22,7,22,3,0,0,0,1,0,0,0,7,8,20,1633729254399,blue,NA1_4065437986
10,21244,336,68,26954,22985,358,80,27433,25,6,0,0,0,0,0,1,0,3,2,6,27,4,1,0,0,1,0,0,0,6,6,3,1635736822328,red,NA1_4087781804
11,27651,314,73,30895,27358,340,91,30948,27,4,1,0,0,0,1,1,0,16,11,13,23,7,0,1,0,0,0,0,0,13,14,16,1633397870512,red,NA1_4061827761
12,27293,347,87,29800,24521,309,60,26968,27,7,0,0,0,1,1,0,0,12,10,10,20,9,0,0,1,0,0,1,0,10,12,12,1633279533155,blue,NA1_4060628939
13,24501,260,91,27370,29437,295,104,30322,22,5,0,0,0,0,0,1,0,10,9,12,23,1,1,1,0,0,4,0,0,12,15,10,1635014335035,red,NA1_4079641497
14,27771,319,68,27220,24062,264,84,26503,26,5,0,0,1,1,0,0,0,15,22,9,25,4,0,0,0,0,0,1,0,9,14,15,1632759949682,blue,NA1_4054872174
15,31304,283,83,29699,28986,293,56,27858,20,4,1,1,0,0,3,1,0,20,21,15,28,1,0,0,0,0,1,0,0,15,19,20,1635627845752,blue,NA1_4086326457
16,26830,246,58,25862,31317,325,72,30927,14,6,0,0,0,1,0,0,0,16,19,24,28,0,1,0,0,0,3,1,0,24,16,16,1636945445399,red,NA1_4103798778
17,27194,301,57,28624,28983,313,104,31442,31,4,0,1,0,0,0,1,0,15,17,18,27,11,1,0,0,0,0,0,0,18,23,15,1633579815228,red,NA1_4064186416
