,blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
0,28894,303,65,28942,31111,318,90,29271,32,7,0,0,0,0,0,0,0,18,17,20,31,9,1,0,1,0,1,1,0,20,14,18,1634058203363,red,NA1_4069316718
1,28465,332,88,31348,27249,349,104,30642,20,6,0,0,1,1,1,1,0,14,15,10,23,5,0,0,0,0,0,0,0,10,11,14,1634088035206,blue,NA1_4069599479
2,33914,354,113,34528,23422,281,84,25951,24,4,0,0,0,0,2,1,0,23,16,10,21,3,1,0,0,0,0,0,0,10,9,23,1633469775125,blue,NA1_4062594999
3,26838,263,76,29858,29490,359,80,30640,21,1,0,0,0,0,1,0,0,17,19,14,22,4,0,1,1,0,2,1,0,14,10,17,1634706399541,red,NA1_4076202469
4,29117,297,82,27535,27050,356,76,26969,33,9,0,0,1,0,0,1,0,21,29,11,30,6,0,0,0,1,1,0,0,11,16,21,1632797812250,blue,NA1_4055305403
5,26309,297,86,26716,28445,275,89,29879,25,9,0,0,0,0,1,1,0,10,11,19,27,8,1,0,1,0,1,0,0,19,24,10,1633484914023,red,NA1_4062971813
6,23744,314,65,25647,27701,236,86,29673,23,6,1,0,0,0,0,1,0,9,10,21,29,4,0,1,0,0,0,0,0,21,24,9,1632885062890,red,NA1_4056205513
7,27832,344,108,30749,23926,339,76,28524,22,5,1,0,0,1,1,1,0,11,14,5,28,6,0,0,0,0,0,0,0,5,5,11,1635617483911,blue,NA1_4086169692
8,27177,266,84,27845,27233,280,69,26199,28,3,1,0,0,1,0,0,0,15,16,13,21,2,0,0,0,0,1,1,0,13,17,15,1631233459137,blue,NA1_4037757097
9,26499,366,89,28284,25114,332,76,28396,26,3,0,0,0,0,2,1,0,6,8,9,18,6,0,0,1,1,0,0,0,9,13,6,1634385379406,red,NA1_4072734769
10,24501,260,91,27370,29437,295,104,30322,22,5,0,0,0,0,0,1,0,10,9,12,23,1,1,1,0,0,4,0,0,12,15,10,1635014335035,red,NA1_4079641497
11,21905,291,77,25822,26215,341,66,30714,23,4,1,0,0,1,0,1,0,5,4,17,20,4,0,0,0,0,0,0,0,17,17,5,1635027777993,red,NA1_4079783854
12,31304,283,83,29699,28986,293,56,27858,20,4,1,1,0,0,3,1,0,20,21,15,28,1,0,0,0,0,1,0,0,15,19,20,1635627845752,blue,NA1_4086326457
13,25932,352,64,28420,28202,342,112,30813,20,7,0,0,0,0,1,1,0,9,8,14,25,3,1,0,0,1,1,0,0,14,20,9,1634387524284,red,NA1_4072697343
14,25316,358,77,29613,25006,346,89,29954,17,7,0,0,0,0,0,0,0,10,4,9,29,3,1,0,0,0,1,1,0,9,6,10,1631570647756,red,NA1_4041404755
15,26830,246,58,25862,31317,325,72,30927,14,6,0,0,0,1,0,0,0,16,19,24,28,0,1,0,0,0,3,1,0,24,16,16,1636945445399,red,NA1_4103798778
16,26060,336,79,30820,24545,292,69,28109,21,4,0,0,0,0,0,0,0,9,6,10,20,1,0,0,0,1,0,1,0,10,9,9,1631742434664,red,NA1_4043269384
17,27261,305,81,30092,25668,311,88,28727,30,6,0,1,0,0,0,0,0,13,13,17,23,5,0,0,0,0,0,0,0,17,6,13,1631667099861,blue,NA1_4042609405
