,blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
0,33914,354,113,34528,23422,281,84,25951,24,4,0,0,0,0,2,1,0,23,16,10,21,3,1,0,0,0,0,0,0,10,9,23,1633469775125,blue,NA1_4062594999
1,26839,321,71,31680,24330,390,76,29064,27,3,0,0,1,0,0,1,0,15,14,5,25,5,0,0,0,0,0,0,0,5,1,15,1635970521517,blue,NA1_4090389765
2,24338,313,64,28519,23136,296,93,25813,29,7,0,0,0,1,0,0,0,10,13,7,27,5,0,1,0,0,0,1,0,7,7,10,1633557448719,red,NA1_4063861585
3,28723,401,114,33974,23523,352,90,30081,20,6,0,0,0,0,0,1,0,11,11,5,27,4,0,1,0,1,0,0,0,5,6,11,1635798190507,blue,NA1_4088225098
4,29117,297,82,27535,27050,356,76,26969,33,9,0,0,1,0,0,1,0,21,29,11,30,6,0,0,0,1,1,0,0,11,16,21,1632797812250,blue,NA1_4055305403
5,30878,312,76,30453,27105,343,64,28027,23,8,1,0,0,0,1,1,0,20,18,12,23,3,0,0,0,0,0,0,0,12,10,20,1633659845214,red,NA1_4064862148
6,26309,297,86,26716,28445,275,89,29879,25,9,0,0,0,0,1,1,0,10,11,19,27,8,1,0,1,0,1,0,0,19,24,10,1633484914023,red,NA1_4062971813
7,23744,314,65,25647,27701,236,86,29673,23,6,1,0,0,0,0,1,0,9,10,21,29,4,0,1,0,0,0,0,0,21,24,9,1632885062890,red,NA1_4056205513
8,29156,288,76,29074,24940,295,80,28374,22,4,0,0,0,0,2,0,0,19,17,13,22,3,1,0,0,0,0,1,0,13,11,19,1633551783771,red,NA1_4063834602
9,27651,314,73,30895,27358,340,91,30948,27,4,1,0,0,0,1,1,0,16,11,13,23,7,0,1,0,0,0,0,0,13,14,16,1633397870512,red,NA1_4061827761
10,28146,346,80,31732,23635,264,62,28643,28,7,0,1,0,0,0,0,0,18,20,11,26,5,0,0,0,0,0,0,0,11,10,18,1634162760854,blue,NA1_4070309746
11,27771,319,68,27220,24062,264,84,26503,26,5,0,0,1,1,0,0,0,15,22,9,25,4,0,0,0,0,0,1,0,9,14,15,1632759949682,blue,NA1_4054872174
12,21905,291,77,25822,26215,341,66,30714,23,4,1,0,0,1,0,1,0,5,4,17,20,4,0,0,0,0,0,0,0,17,17,5,1635027777993,red,NA1_4079783854
13,25856,279,74,27449,31358,321,100,33108,22,1,0,0,0,0,0,0,0,13,14,22,27,5,0,1,0,1,3,1,0,22,17,13,1633017011718,red,NA1_4057678033
14,24999,322,46,26893,26545,286,108,28632,26,4,0,0,0,0,1,0,0,11,12,14,25,6,0,0,0,1,0,0,0,14,13,11,1632957112295,red,NA1_4056970063
15,27403,337,80,28653,25697,333,88,29277,20,11,1,1,0,0,0,1,0,15,20,10,31,6,0,0,0,0,1,0,0,10,6,15,1633657400133,blue,NA1_4064827184
16,30596,327,79,34071,23811,245,76,28264,22,9,0,0,0,1,2,1,0,22,14,10,26,3,0,0,1,0,0,0,0,10,9,22,1633643434308,blue,NA1_4064673077
17,22765,256,84,25724,31853,336,65,31105,21,3,0,0,0,0,0,0,0,9,6,24,20,3,0,0,1,1,3,1,0,24,27,9,1633309368908,red,NA1_4061006093
18,22032,294,60,26897,28274,315,98,29520,16,5,0,0,0,0,0,0,0,7,6,14,19,2,0,0,1,1,2,1,0,14,19,7,1633319937402,red,NA1_4061221120
19,26890,318,72,29553,26323,327,88,30356,23,1,0,0,0,1,0,1,0,14,17,11,12,2,0,0,0,0,0,0,0,11,6,14,1632861056054,blue,NA1_4055874095
20,26263,289,72,27674,27154,303,72,29049,20,4,0,0,1,1,0,0,0,16,22,15,22,6,0,0,0,0,1,1,0,15,11,16,1632199561663,blue,NA1_4048325707
21,21820,285,46,25589,28078,311,87,29795,23,1,0,0,0,0,0,0,0,8,2,12,21,4,0,0,1,0,2,1,0,12,8,8,1634959645620,red,NA1_4078891657
22,25551,370,78,29282,23682,306,85,28895,23,8,1,0,0,1,1,1,0,9,7,7,29,8,0,0,0,0,0,0,0,7,7,9,1633481977397,blue,NA1_4062896160
23,21011,298,60,24713,28875,358,89,30480,25,5,0,0,0,0,0,0,0,5,6,16,26,6,0,0,1,1,1,0,0,16,22,5,1632959030420,red,NA1_4056965836
24,25004,268,78,28223,27670,281,97,30203,30,6,0,0,0,0,0,0,0,11,9,14,27,5,0,0,1,0,2,1,0,14,11,11,1633674080869,blue,NA1_4065064919
25,25671,322,76,29812,24738,313,96,29969,19,2,0,0,0,0,0,0,0,10,12,8,20,1,0,1,1,0,0,1,0,8,9,10,1634962086066,blue,NA1_4078866242
26,22136,301,84,27522,23955,371,88,30539,24,8,0,0,0,0,0,0,0,5,6,7,26,7,1,1,0,0,0,0,0,7,4,5,1633315844740,red,NA1_4061108823
27,25532,248,106,27626,29831,327,95,31058,20,2,0,0,0,0,0,1,0,10,10,20,20,3,1,0,0,0,0,0,0,20,20,10,1635099484029,red,NA1_4080540735
