blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
21061,323,84,27815,23937,339,84,30792,25,7,1,0,0,0,0,0,0,2,0,8,26,7,0,0,1,0,0,1,0,8,4,2,1633234973906,red,NA1_4060263570
24711,330,68,31179,24989,320,94,29229,22,6,0,0,0,0,0,0,0,12,8,10,27,5,0,1,1,0,0,1,0,10,8,12,1636840403663,blue,NA1_4102230912
29092,317,66,30864,26759,293,92,29708,19,4,0,0,1,0,1,0,0,16,11,16,19,3,1,0,0,0,0,0,0,16,16,16,1631756868409,blue,NA1_4043455882
27112,360,88,31903,23396,261,72,26941,26,11,1,0,1,0,2,0,0,10,8,8,24,7,0,0,0,0,0,1,0,8,10,10,1634269917459,blue,NA1_4071633440
22785,295,64,26575,26101,348,103,30033,22,0,0,0,0,0,1,0,0,5,8,6,21,1,0,0,0,1,2,0,0,6,5,5,1630209249404,red,NA1_4026022983
27081,322,84,29318,24437,290,82,28981,14,4,0,0,0,0,1,1,0,11,12,11,18,0,0,0,0,1,0,0,0,11,9,11,1631783376254,red,NA1_4043795283
26661,344,56,30163,24967,354,103,28117,23,5,0,1,0,0,0,0,0,12,9,7,20,3,0,0,0,1,1,1,0,7,4,12,1630837128203,blue,NA1_4033160660
25022,315,72,28864,26411,321,100,30065,21,6,0,0,0,1,2,0,0,13,6,12,23,3,0,1,0,0,0,1,0,12,11,13,1630037754150,red,NA1_4024045984
23977,323,88,28118,23211,344,84,28606,24,6,0,0,0,0,1,0,0,5,6,6,27,7,0,1,1,0,0,1,0,6,9,5,1634442121262,red,NA1_4073277533
25832,325,88,28866,22968,304,92,30215,27,5,0,1,1,0,1,1,0,10,9,7,26,3,0,0,0,0,0,0,0,7,4,10,1632099566087,blue,NA1_4047254872
22711,252,41,26669,33353,378,113,36069,17,3,0,0,0,0,0,0,0,8,10,20,22,4,0,1,1,0,2,1,0,20,6,8,1634363936922,red,NA1_4072592301
25659,224,80,27611,27914,272,80,29122,22,2,0,1,0,0,0,0,0,15,12,15,22,4,0,0,0,0,1,1,0,15,18,15,1630128729985,red,NA1_4025235786
30496,308,95,33466,23338,251,71,29314,31,2,0,0,1,1,1,1,0,18,15,10,22,10,0,0,0,0,0,0,0,10,7,18,1631501481490,blue,NA1_4040850877
24105,281,60,28226,26081,330,84,29863,28,7,1,0,0,0,1,1,0,11,8,13,27,9,0,1,0,0,0,0,0,13,14,11,1630291449056,red,NA1_4026857922
27446,329,80,30623,21177,294,73,27709,29,6,0,1,0,0,1,1,0,11,10,5,23,8,0,0,1,0,0,0,0,5,2,11,1634271859125,blue,NA1_4071676884
19478,316,68,25229,26326,288,80,29573,23,4,0,0,0,0,0,0,0,1,0,11,28,4,0,0,0,1,2,1,0,11,11,1,1633315767249,red,NA1_4061117744
24413,268,72,27316,27880,322,108,29883,25,10,1,0,0,0,0,0,0,11,18,10,30,5,0,1,0,0,3,1,0,10,10,11,1636623719004,red,NA1_4099581251
26420,333,67,27965,24512,316,63,27510,29,8,0,0,1,1,0,0,0,12,14,10,26,1,0,0,0,0,0,1,0,10,14,12,1631839451282,blue,NA1_4044232570
27508,298,100,29625,28940,313,84,31783,27,6,1,0,0,0,1,1,0,14,17,18,30,4,0,0,1,0,0,0,0,18,25,14,1634870532617,red,NA1_4077969400
25176,314,68,29983,23614,354,84,28928,26,13,1,0,0,0,0,0,0,13,15,5,28,9,0,0,1,0,0,1,0,5,5,13,1634445661279,red,NA1_4073333357
33910,371,105,32416,24117,317,61,28558,27,5,0,0,1,0,2,1,0,19,22,9,22,3,0,0,0,0,0,0,0,9,6,19,1635591132091,blue,NA1_4086048268
24266,330,59,28069,24847,322,76,29191,22,6,0,0,0,0,1,1,0,9,9,11,25,7,0,0,0,1,0,0,0,11,13,9,1630288790432,red,NA1_4026848475
23739,354,84,29429,22203,296,75,28661,28,7,0,1,0,0,1,1,0,5,9,7,28,7,0,0,0,1,0,0,0,7,16,5,1630806067310,blue,NA1_4032751957
24016,316,67,28464,28998,327,101,31259,28,8,0,0,0,0,0,0,0,10,6,14,21,5,1,0,0,1,1,1,0,14,20,10,1636276089366,blue,NA1_4094601171
25052,270,80,27965,26254,328,64,27133,23,3,0,1,0,1,0,1,0,12,15,10,27,5,0,0,0,0,1,0,0,10,12,12,1636365120011,blue,NA1_4095766274
21615,381,92,28153,22264,354,80,27781,25,9,0,0,0,0,0,0,0,0,0,5,28,7,1,0,0,0,0,0,0,5,9,0,1630809293825,red,NA1_4032738439
26822,295,72,28961,24897,281,88,28422,25,5,0,0,0,0,1,0,0,14,14,12,27,4,0,1,0,0,0,1,0,12,15,14,1630212741135,red,NA1_4026110088
21170,267,72,26399,26963,350,82,30667,20,2,0,0,0,0,0,1,0,5,5,11,28,3,1,1,0,0,2,0,0,11,13,5,1630203755444,red,NA1_4025999888
23384,349,80,27458,21027,348,80,28143,22,7,0,0,0,0,0,0,0,6,6,2,29,6,0,1,0,1,0,1,0,2,1,6,1633225835024,blue,NA1_4060103058
28151,286,112,29981,26149,301,73,29098,14,3,1,0,0,0,2,0,0,14,7,9,20,3,0,0,0,1,1,1,0,9,8,14,1633307092561,red,NA1_4060977057
26315,304,80,27578,23515,280,64,28548,21,5,0,1,0,0,0,1,0,14,14,10,28,5,0,0,0,0,0,0,0,10,9,14,1631759444583,red,NA1_4043541514
24593,274,61,29430,34733,410,74,35713,19,2,0,0,0,0,0,0,0,10,10,27,27,4,1,0,1,0,3,1,0,27,18,10,1632624719308,red,NA1_4053096639
