blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
26528,281,79,28077,27867,291,68,29429,29,5,0,0,0,0,1,0,0,12,13,17,22,7,1,0,1,0,0,0,0,17,13,12,1635225586474,red,NA1_4082272098
21040,335,84,27129,30250,313,107,32072,27,6,0,0,1,0,0,0,0,0,0,16,36,8,0,0,0,1,3,1,0,16,25,0,1634176353306,red,NA1_4070465034
30592,355,89,30410,20320,269,66,22355,31,4,1,1,0,0,5,1,0,11,13,3,19,5,0,0,0,0,0,0,0,3,3,11,1635906104047,blue,NA1_4089337644
23202,329,92,29947,21541,323,92,29640,32,8,0,1,0,0,0,1,0,6,2,3,24,8,0,0,1,0,0,0,0,3,4,6,1636853267061,blue,NA1_4102547264
27830,308,76,29101,21645,266,80,25284,21,6,0,0,0,1,2,1,0,13,14,3,26,5,1,0,0,0,0,0,0,3,6,13,1636511660694,blue,NA1_4097789581
25034,214,88,26627,24824,285,78,26912,29,2,1,1,0,0,2,1,0,10,11,9,30,5,0,0,0,0,1,0,0,9,9,10,1634514715325,blue,NA1_4074244825
29715,324,88,30535,24263,315,76,27836,30,5,0,1,0,1,2,1,0,14,18,12,15,5,0,0,0,0,0,0,0,12,6,14,1636745536026,blue,NA1_4100924050
26902,337,58,29876,29380,352,90,31806,24,9,0,0,0,0,0,0,0,13,16,13,28,4,0,0,1,1,1,1,0,13,14,13,1636324493841,red,NA1_4095084529
37195,333,59,32249,20606,223,49,23860,25,5,1,0,1,0,6,1,1,31,24,6,17,2,0,0,0,0,1,0,0,6,2,31,1633645688972,blue,NA1_4064636908
22122,319,68,25502,28564,340,92,30747,29,8,0,0,0,0,1,1,0,3,0,16,29,6,0,1,1,0,1,0,0,16,20,3,1636347420832,red,NA1_4095541795
27201,363,84,30606,24840,350,84,30060,23,7,0,0,0,1,1,1,0,9,10,8,27,5,0,0,1,0,1,0,0,8,9,9,1633828816577,blue,NA1_4066768656
28133,348,89,29277,25450,342,87,29044,23,6,0,1,0,0,2,0,0,12,17,7,29,3,1,0,0,0,1,1,0,7,7,12,1635904605819,blue,NA1_4089321787
29443,333,110,31213,25707,353,80,28765,24,7,1,1,0,0,0,1,0,16,13,10,23,5,0,0,0,0,0,0,0,10,13,16,1634601227703,blue,NA1_4075017288
25242,286,95,31431,25987,329,92,29460,26,6,0,0,0,0,0,0,0,10,11,9,26,10,0,0,0,1,2,1,0,9,4,10,1636843854051,red,NA1_4102267158
26667,343,80,31404,26155,334,99,28388,31,11,1,1,0,0,0,1,0,11,9,8,28,6,0,0,0,0,1,0,0,8,6,11,1636614807352,blue,NA1_4099235232
22746,297,80,27581,27282,358,76,30693,23,6,0,0,0,0,0,0,0,6,3,11,24,5,1,0,1,0,1,1,0,11,16,6,1636953068723,red,NA1_4104031352
27024,289,72,28364,27594,304,112,29215,30,4,0,0,0,0,1,0,0,13,16,12,24,9,0,1,0,0,1,1,0,12,17,13,1636750097408,blue,NA1_4101000668
29219,339,74,31811,21130,296,82,28148,25,7,0,0,0,1,1,1,0,15,12,4,21,3,1,0,0,0,0,0,0,4,2,15,1636510251801,blue,NA1_4097774787
24447,278,58,27205,35621,341,100,33613,18,3,0,0,0,0,1,0,0,9,4,24,18,3,0,0,1,1,3,1,0,24,16,9,1633576794526,red,NA1_4064119522
25617,265,88,28625,27279,315,83,28899,28,8,0,1,0,0,0,0,0,11,14,13,27,6,0,0,0,1,1,0,0,13,10,11,1634422194775,red,NA1_4072959132
23369,312,76,28071,25792,375,68,30048,24,4,0,0,1,0,0,0,0,9,12,9,23,1,0,0,0,1,1,0,0,9,7,9,1636334898107,red,NA1_4095251246
20011,244,80,23310,32996,377,104,35060,23,3,0,0,0,0,0,0,0,3,1,25,15,6,0,0,0,1,1,0,0,25,20,3,1634165135891,red,NA1_4070324349
25492,370,84,29825,27832,359,84,30205,31,12,0,0,0,1,0,0,0,8,10,12,27,8,1,0,0,0,0,1,0,12,16,8,1636235303837,blue,NA1_4093884587
28224,341,88,30737,24712,260,72,26551,23,4,0,0,1,1,0,0,0,16,12,11,23,4,0,0,0,0,0,1,0,11,14,16,1635048702302,blue,NA1_4080087463
