blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
24556,290,83,26787,24747,296,68,27388,19,5,0,0,0,0,2,1,0,7,5,10,26,2,1,0,1,0,0,0,0,10,11,7,1630974520264,red,NA1_4034832763
28953,363,82,29827,25354,291,83,27171,26,6,0,0,0,0,2,1,0,13,9,8,19,3,0,1,0,0,1,0,0,8,12,13,1631466780269,blue,NA1_4040394675
27271,372,84,31162,21455,335,92,28092,26,7,0,1,0,0,1,0,0,9,8,3,23,4,0,0,1,0,0,1,0,3,3,9,1630779388025,blue,NA1_4032304747
25976,284,68,27247,32070,352,120,33486,25,4,0,0,0,0,1,0,0,13,17,22,20,4,0,0,0,1,1,1,0,22,26,13,1630950290235,red,NA1_4034256967
24700,249,86,27807,25918,302,73,29906,27,5,0,0,0,0,0,1,0,11,11,12,24,6,0,0,1,0,0,0,0,12,13,11,1632445440188,red,NA1_4050715150
31550,300,127,33265,22479,281,51,25150,18,5,0,0,0,0,1,1,0,19,13,7,22,5,0,1,0,0,0,0,0,7,8,19,1631468069689,blue,NA1_4040367286
23759,287,67,27617,26973,342,104,31302,26,3,0,0,0,0,0,1,0,8,7,10,21,11,1,0,0,0,1,0,0,10,10,8,1631154113765,red,NA1_4036584377
29559,299,60,28990,31682,316,90,32766,24,3,0,0,0,0,2,1,0,17,23,23,19,5,1,0,1,0,0,0,0,23,15,17,1633199173847,red,NA1_4059515082
26371,308,58,27224,24423,277,86,29015,13,6,0,0,0,1,0,0,0,15,13,11,23,2,0,1,0,0,0,0,0,11,9,15,1630887373172,blue,NA1_4033583701
30489,386,85,30762,23481,252,72,25434,21,5,0,1,0,0,3,1,0,16,12,10,22,3,0,0,0,0,0,0,0,10,13,16,1631465066937,blue,NA1_4040411728
28478,313,88,29975,25796,250,64,28474,29,6,0,1,0,0,1,0,0,15,12,13,22,2,0,0,0,0,0,1,0,13,12,15,1630724037198,red,NA1_4031606885
27180,337,84,29844,22211,298,56,26850,20,7,1,1,0,0,1,1,0,11,13,7,25,5,0,0,0,0,0,0,0,7,5,11,1632447682807,blue,NA1_4050792084
24507,312,80,27265,32365,301,100,29842,17,1,0,0,0,0,0,0,0,8,11,22,13,0,0,1,1,0,3,1,0,22,25,8,1633194168372,red,NA1_4059447990
28043,347,86,32698,26174,314,70,30361,15,5,0,1,0,0,2,1,0,13,7,14,20,1,0,0,0,0,0,0,0,14,16,13,1631381684082,blue,NA1_4039201896
28813,350,75,31284,22683,287,62,27074,21,5,1,1,0,0,2,1,0,16,11,7,22,3,0,0,0,0,0,0,0,7,7,16,1631664962754,blue,NA1_4042634216
20907,243,63,22967,28929,295,95,30460,27,4,0,0,0,1,0,0,0,5,6,21,21,7,0,0,1,0,0,1,0,21,22,5,1633305070815,red,NA1_4060936511
24156,288,78,28532,23489,317,88,27492,23,3,0,0,0,1,0,0,0,13,15,5,20,2,0,0,0,0,0,1,0,5,6,13,1632442852335,blue,NA1_4050669305
24576,278,80,27042,28381,308,80,29792,25,2,0,0,0,0,0,0,0,7,9,15,17,5,0,1,0,1,2,1,0,15,18,7,1632185562308,red,NA1_4048086068
