blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
23464,315,84,27269,27599,299,56,30460,22,1,0,0,0,0,0,0,0,7,7,14,19,3,0,0,0,0,2,1,0,14,11,7,1636652579063,red,NA1_4099810182
25889,306,85,28547,26203,308,65,29309,20,5,1,0,0,1,0,1,0,11,10,16,23,6,0,0,0,0,0,0,0,16,13,11,1635044828374,blue,NA1_4080017656
30009,312,75,32082,29425,328,88,29597,33,8,0,0,1,1,0,0,0,19,19,13,27,7,0,0,0,0,1,1,0,13,8,19,1636073663746,blue,NA1_4091608781
24878,285,80,29803,25380,347,84,30201,25,2,0,0,1,0,0,0,0,13,16,10,22,6,0,0,0,1,0,0,0,10,12,13,1633968280604,blue,NA1_4068222683
24137,248,63,26665,29312,331,92,33627,21,3,0,0,0,0,1,1,0,8,10,20,21,1,1,0,0,1,0,0,0,20,22,8,1636145504863,red,NA1_4092408732
24759,291,77,28526,29061,287,94,30017,27,2,0,0,0,0,0,0,0,12,10,19,25,9,0,0,1,0,1,0,0,19,17,12,1636774566677,blue,NA1_4101371434
23090,313,68,27660,27236,340,52,30024,28,3,0,0,1,1,1,0,0,6,7,11,24,11,0,0,0,0,2,1,0,11,13,6,1634256690912,red,NA1_4071362956
31312,318,106,31191,22117,293,62,25912,26,6,0,0,0,1,1,1,0,19,11,6,26,7,1,0,0,0,0,0,0,6,4,19,1634500507075,blue,NA1_4074038230
27426,340,95,29220,24512,314,84,28623,21,5,0,0,1,0,1,1,0,10,14,10,17,2,1,0,0,0,0,0,0,10,14,10,1636166866771,blue,NA1_4092743788
25669,254,77,30145,27149,349,77,29796,20,2,0,1,0,0,0,0,0,14,20,13,19,5,0,0,0,0,1,0,0,13,9,14,1632703442132,blue,NA1_4054091274
25070,287,100,29053,23767,305,64,26124,26,6,0,1,0,0,0,1,0,11,12,7,25,5,0,0,1,0,1,0,0,7,10,11,1636855900023,red,NA1_4102664887
23321,323,85,28128,28111,307,101,33295,22,5,0,0,0,0,0,0,0,6,2,16,26,3,1,1,0,0,0,1,0,16,16,6,1633565485106,red,NA1_4063965934
25662,341,54,30082,24487,281,78,28400,26,5,0,1,0,0,0,0,0,13,12,10,22,3,1,0,0,0,0,1,0,10,9,13,1634862942866,blue,NA1_4077931189
22299,285,72,27675,24888,323,60,27733,20,5,0,0,0,0,0,0,0,7,5,8,26,7,1,0,1,0,1,1,0,8,6,7,1636938693656,red,NA1_4103730246
24613,312,72,29327,25767,334,92,29635,26,2,0,0,0,0,0,0,0,10,6,12,26,4,0,1,1,0,0,0,0,12,6,10,1636142359367,blue,NA1_4092383243
22556,293,80,26274,28042,302,71,29238,21,7,0,1,0,0,0,0,0,7,4,15,32,8,0,0,0,0,2,1,0,15,17,7,1636164285265,red,NA1_4092706301
24603,261,90,28775,28288,314,92,30005,16,3,1,0,0,0,0,0,0,9,11,15,27,3,0,0,0,0,1,1,0,15,14,9,1633651495968,red,NA1_4064735675
25119,347,92,30116,23186,316,91,29187,23,6,0,1,0,0,1,1,0,7,4,6,20,6,0,0,0,0,0,0,0,6,5,7,1634597436265,blue,NA1_4074990263
25722,277,80,29193,27112,356,76,30763,23,2,0,0,1,0,0,0,0,14,15,11,16,2,0,0,0,0,1,1,0,11,12,14,1633116739669,blue,NA1_4058603538
27339,249,56,28265,28540,300,93,28347,20,2,0,0,1,1,1,0,0,19,20,15,18,4,0,0,0,0,0,1,0,15,13,19,1636647831328,red,NA1_4099762436
21876,281,76,28285,26338,301,104,30248,25,7,0,0,0,0,1,0,0,6,6,12,23,4,1,0,1,0,0,1,0,12,11,6,1634775658055,red,NA1_4077066324
27021,314,84,29981,23206,302,87,27680,24,6,0,0,1,0,1,1,0,14,12,8,19,3,1,0,0,0,0,0,0,8,5,14,1635646391421,blue,NA1_4086559824
22221,282,44,26528,24465,290,86,27153,22,6,0,0,0,0,0,0,0,8,8,11,23,8,0,0,1,1,0,0,0,11,10,8,1632960380393,red,NA1_4056938349
26347,282,68,29056,26310,308,87,29433,21,3,1,0,0,0,1,0,0,19,10,11,18,5,0,0,1,0,0,1,0,11,7,19,1636137245487,red,NA1_4092325338
