blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
26996,341,72,29659,24091,297,76,29027,24,5,0,0,0,1,1,1,0,12,9,11,20,5,0,0,0,0,0,0,0,11,12,12,1628839015362,blue,NA1_4009393967
24659,300,48,27117,29236,320,88,30788,22,4,0,0,0,0,0,0,0,10,13,15,24,4,1,0,0,1,1,1,0,15,17,10,1628393398803,red,NA1_4003952681
19907,306,60,27573,27305,348,100,31867,23,1,0,0,0,0,0,1,0,2,0,13,25,8,0,1,0,1,0,0,0,13,9,2,1627141149109,red,NA1_3988007912
27058,319,76,31309,23741,323,68,27511,27,4,0,1,0,0,1,0,0,14,11,9,24,3,0,0,0,0,0,1,0,9,10,14,1626495659248,blue,NA1_3979672542
23746,354,76,29383,23264,318,72,28432,21,3,0,0,0,0,0,0,0,7,4,6,27,4,0,0,0,1,0,1,0,6,11,7,1627719595139,red,NA1_3995583841
25359,343,72,29477,23078,359,88,28671,24,3,0,0,0,0,1,1,0,8,7,7,25,6,1,1,0,0,0,0,0,7,6,8,1626629358878,red,NA1_3981055542
24827,314,98,28659,26562,339,92,30228,13,6,0,0,0,1,0,1,0,10,14,11,28,3,0,1,0,0,0,0,0,11,16,10,1627777235225,red,NA1_3996159994
23565,274,71,25962,24119,304,73,26685,19,8,1,0,0,0,1,1,0,10,12,10,25,2,0,0,0,1,0,0,0,10,12,10,1626492131080,blue,NA1_3979564808
28679,282,96,29377,27373,279,64,28750,19,3,0,0,1,0,1,1,0,13,12,15,21,1,0,0,0,0,0,0,0,15,16,13,1627715208895,red,NA1_3995544774
25349,328,92,29485,24007,327,84,27656,28,7,0,0,0,1,0,0,0,10,13,5,28,3,0,1,0,0,2,1,0,5,2,10,1626626616776,red,NA1_3981042236
23046,296,64,28627,25277,309,79,29737,26,5,0,0,0,0,0,1,0,8,3,12,25,5,1,0,0,1,0,0,0,12,14,8,1626843186487,blue,NA1_3983834649
26163,335,80,29716,23761,297,80,28657,26,3,1,0,0,1,1,1,0,12,8,10,20,2,0,0,0,0,0,0,0,10,10,12,1627800349603,blue,NA1_3996504476
27096,326,84,30394,20670,251,88,24724,28,3,0,1,0,1,1,1,0,10,11,4,18,5,0,0,0,0,0,0,0,4,9,10,1627139480028,blue,NA1_3987956271
26886,366,84,31775,20767,326,88,27889,27,6,1,0,1,0,2,0,0,8,7,1,21,4,0,0,0,0,0,1,0,1,1,8,1626595434059,blue,NA1_3980870185
25835,301,47,28128,27313,271,68,30315,30,4,0,0,0,0,1,0,0,11,7,20,22,5,0,0,0,1,0,1,0,20,16,11,1627722472710,blue,NA1_3995586940
24037,298,76,28456,25363,322,66,28693,27,0,1,0,0,0,1,1,0,8,7,10,25,4,0,0,1,0,0,0,0,10,6,8,1626664122059,red,NA1_3981842498
23152,302,56,25788,27999,257,64,28337,14,11,0,0,0,0,0,0,0,10,11,16,28,4,1,0,0,0,1,1,0,16,22,10,1627678343776,red,NA1_3994958212
24937,306,83,29387,24403,314,78,27485,28,2,1,0,0,1,0,0,0,10,8,8,25,6,0,0,0,0,1,0,0,8,9,10,1628963037964,red,NA1_4010868771
25146,289,59,27326,26233,313,84,27697,25,3,1,0,0,0,1,0,0,10,14,11,18,8,0,0,0,1,1,1,0,11,13,10,1627758126712,red,NA1_3995876509
23162,288,84,27636,23872,320,101,28153,25,1,0,0,1,1,0,0,0,8,11,6,24,2,0,0,0,0,1,1,0,6,7,8,1627086161195,blue,NA1_3987350966
26367,279,78,25017,23766,248,83,24766,19,7,0,0,0,0,1,1,0,12,13,14,22,5,1,0,0,0,0,0,0,14,18,12,1627015324053,red,NA1_3986272250
25077,284,54,28450,32259,321,104,33745,31,4,0,0,0,0,0,0,0,13,10,20,24,9,0,1,1,0,1,1,0,20,21,13,1626472981220,red,NA1_3979296650
23649,222,64,24792,30459,334,76,30115,26,3,0,1,0,0,1,0,0,11,11,21,19,2,0,0,0,0,1,0,0,21,20,11,1627781299203,red,NA1_3996139291
23725,307,88,29404,23371,318,64,27403,17,3,0,1,0,1,1,1,0,8,8,7,24,3,0,0,0,0,0,0,0,7,8,8,1626624196624,red,NA1_3980998992
27782,252,84,28795,25790,342,72,26680,21,4,1,0,0,1,1,0,0,19,22,7,25,1,0,0,0,0,1,1,0,7,4,19,1626639707787,blue,NA1_3981283258
25096,302,88,27405,25842,297,86,27301,21,8,0,0,0,0,1,1,0,9,8,12,23,3,0,1,0,0,1,0,0,12,10,9,1627764162309,blue,NA1_3995975710
28090,347,78,32524,24815,291,85,27903,24,3,0,0,0,1,0,0,0,16,18,9,25,8,0,0,1,0,0,1,0,9,8,16,1626808955600,blue,NA1_3983328119
25918,253,104,29731,26440,292,64,27365,23,5,0,0,0,0,0,0,0,13,16,11,16,7,0,0,1,0,2,1,0,11,6,13,1626479107948,blue,NA1_3979386012
25830,290,99,30513,24136,322,76,28752,28,5,1,0,1,0,0,0,0,14,10,7,25,8,0,0,0,0,1,0,0,7,7,14,1627956532902,blue,NA1_3998509382
23178,306,96,27344,24710,321,92,30023,19,3,0,0,0,0,0,0,0,6,8,10,25,5,1,0,1,0,0,0,0,10,15,6,1627670384651,blue,NA1_3994884545
26106,313,73,30492,24458,312,80,27404,20,7,0,1,1,0,0,0,0,13,15,9,20,6,0,0,0,0,0,0,0,9,10,13,1626475898335,red,NA1_3979340109
28546,300,76,28768,27081,296,88,29273,25,10,0,1,1,0,2,1,0,16,19,13,27,8,0,0,0,0,1,0,0,13,17,16,1627891316922,blue,NA1_3997839649
20972,277,87,25944,25133,297,56,28077,21,3,0,0,0,0,0,0,0,3,2,8,28,2,0,0,0,1,0,1,0,8,13,3,1626810597393,red,NA1_3983382411
27926,297,85,31761,20816,271,76,26611,27,5,0,1,0,1,3,1,0,15,12,5,18,2,0,0,0,0,0,0,0,5,3,15,1627018535705,blue,NA1_3986344352
29448,352,82,32361,21691,322,69,26401,27,11,0,1,0,0,1,0,0,16,21,4,26,4,0,0,0,1,0,0,0,4,5,16,1628931525330,blue,NA1_4010668197
21914,258,80,26516,30512,324,78,32042,20,0,0,0,0,0,0,0,0,8,7,22,24,2,0,1,0,0,2,1,0,22,13,8,1627958199540,red,NA1_3998567649
24758,302,74,29493,27643,333,80,30856,20,2,0,1,0,1,0,0,0,10,7,17,24,5,0,0,0,0,1,1,0,17,14,10,1627785264196,red,NA1_3996255388
24733,323,63,27344,25634,290,88,27632,22,2,0,1,0,0,0,0,0,11,12,12,21,3,0,0,1,0,0,0,0,12,15,11,1627366508893,blue,NA1_3991072539
