blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
26839,305,81,29687,27043,311,76,30483,23,2,0,0,0,1,0,1,0,14,10,13,22,5,0,0,1,0,0,0,0,13,16,14,1635335241907,red,NA1_4083272982
30066,331,100,31889,22837,301,96,27409,23,3,1,0,0,0,3,1,0,13,15,5,25,5,0,0,0,1,0,0,0,5,3,13,1634794771079,blue,NA1_4077420585
25151,346,88,28817,29172,365,81,32992,27,5,0,1,0,0,1,1,0,5,6,16,27,2,0,0,0,0,1,0,0,16,14,5,1635332887501,red,NA1_4083262101
26473,323,92,28741,25647,322,75,26989,26,2,1,0,0,0,1,1,0,11,9,8,22,4,0,0,0,0,2,0,0,8,6,11,1634628286986,red,NA1_4075443788
23140,338,73,29827,25472,347,88,29345,21,8,0,0,0,0,0,0,0,6,6,9,32,5,0,0,1,1,1,1,0,9,8,6,1635263682151,red,NA1_4082540694
28004,346,82,31762,24817,328,90,28646,26,7,0,0,1,1,1,1,0,13,11,8,25,5,0,0,0,0,0,0,0,8,8,13,1635447133604,blue,NA1_4084314047
26063,282,93,28727,27214,342,86,29411,30,5,0,0,0,0,0,1,0,13,15,11,25,10,0,0,1,0,1,0,0,11,15,13,1636859709665,red,NA1_4102696821
22721,308,71,27449,29545,327,95,29951,26,8,0,0,0,0,0,0,0,5,7,15,30,5,1,1,0,0,2,1,0,15,20,5,1634701403757,red,NA1_4076071947
26290,329,86,29888,25556,329,92,27845,24,3,0,0,0,0,0,0,0,12,12,11,25,5,0,0,1,1,0,1,0,11,14,12,1635219462493,blue,NA1_4082128523
29772,300,72,29186,26123,321,80,29875,21,1,1,0,0,0,1,1,0,17,16,13,20,3,0,1,0,0,0,0,0,13,19,17,1635319332411,blue,NA1_4083188198
25583,306,80,27706,31211,352,75,33737,26,5,0,0,0,0,0,1,0,10,10,20,21,8,1,0,0,1,1,0,0,20,20,10,1634974968188,red,NA1_4079365109
25655,326,95,31192,24814,296,97,28525,17,3,0,1,0,0,0,1,0,14,15,8,17,1,0,0,0,0,0,0,0,8,6,14,1634621492339,blue,NA1_4075343124
24226,319,72,28804,28283,352,68,30037,28,5,0,0,0,1,0,0,0,10,13,11,25,9,0,1,0,0,2,1,0,11,14,10,1635240208094,red,NA1_4082413209
30011,372,118,33700,21221,313,45,27061,23,9,1,0,0,1,2,0,0,17,14,5,22,1,0,0,0,0,0,0,0,5,2,17,1636776393774,blue,NA1_4101450008
24998,283,95,28330,27342,293,52,30343,19,5,1,0,0,0,0,0,0,11,12,17,22,2,0,0,0,0,0,1,0,17,15,11,1636848672215,red,NA1_4102456347
30507,338,92,31112,25051,284,58,27596,30,9,1,0,1,0,1,0,0,19,25,9,30,4,0,0,0,0,1,1,0,9,8,19,1636255306351,blue,NA1_4094261606
26963,299,87,30444,23665,342,98,29013,20,4,0,0,1,1,1,1,0,14,17,6,26,5,0,0,0,0,0,0,0,6,3,14,1635328627033,blue,NA1_4083237640
30380,346,87,32746,24081,268,85,30826,25,7,0,0,0,0,2,1,0,15,11,10,21,4,0,0,0,1,0,0,0,10,15,15,1635326646824,blue,NA1_4083255746
26142,298,64,27724,26677,314,91,29863,25,10,1,0,1,0,1,1,0,10,13,12,27,8,0,0,0,0,1,0,0,12,10,10,1634713949411,red,NA1_4076265410
24807,274,60,24280,27975,318,102,28999,24,2,0,0,0,0,1,0,0,12,14,13,30,6,0,1,1,0,1,1,0,13,18,12,1636782660955,red,NA1_4101516885
28189,363,60,30717,22727,298,92,26461,34,5,1,0,0,0,1,0,0,16,17,5,25,6,0,1,0,0,0,1,0,5,4,16,1635221243555,blue,NA1_4082183818
29379,320,83,30816,24475,266,77,27681,27,1,0,1,0,0,1,0,0,21,12,10,22,4,1,0,0,0,0,0,0,10,9,21,1635496069530,blue,NA1_4085173674
29223,334,92,31922,22890,291,98,26793,26,3,1,0,1,0,2,1,0,14,15,5,18,5,0,0,0,0,0,0,0,5,11,14,1634798847898,blue,NA1_4077386391
25322,337,104,28240,28251,326,88,30230,22,7,0,0,0,0,0,0,0,10,12,12,25,2,0,1,0,1,1,1,0,12,18,10,1634863566736,red,NA1_4077932000
26336,286,96,31221,25047,289,92,27745,26,5,1,0,0,0,0,0,0,13,10,9,24,5,0,1,0,0,0,0,0,9,5,13,1636253307615,blue,NA1_4094186402
24236,321,83,26980,28898,345,79,29745,26,5,0,1,0,0,0,0,0,8,9,15,18,4,0,0,0,0,1,1,0,15,17,8,1635145163549,red,NA1_4081174846
26027,312,56,29119,25736,334,74,28479,23,6,0,0,0,1,0,0,0,13,9,11,29,1,1,0,0,0,0,1,0,11,14,13,1636857958989,red,NA1_4102619574
27471,349,65,31039,27466,357,81,29919,26,9,1,0,0,0,1,0,0,11,12,12,27,9,0,0,1,0,0,1,0,12,9,11,1636309877059,red,NA1_4094893253
25732,331,98,27957,25230,351,64,28987,19,5,0,1,0,0,1,1,0,9,6,11,21,3,0,0,1,0,0,0,0,11,9,9,1635054218004,blue,NA1_4080158668
24063,331,64,27697,26883,303,76,29442,28,11,0,0,1,0,0,0,0,8,4,12,28,9,0,0,0,1,0,0,0,12,15,8,1636328285217,red,NA1_4095162116
24614,357,82,29037,27796,369,77,30362,24,3,0,0,0,0,0,0,0,7,5,12,22,7,0,1,1,0,2,1,0,12,11,7,1635147271541,blue,NA1_4081177755
24364,304,78,27401,28409,346,88,31610,21,3,0,0,0,0,1,1,0,5,4,17,24,2,0,0,1,0,0,0,0,17,11,5,1635459180018,blue,NA1_4084521419
28627,294,76,29619,22832,287,68,24928,24,6,0,0,0,1,1,1,0,19,13,8,28,5,0,0,0,0,0,0,0,8,6,19,1634711780255,blue,NA1_4076303224
25173,325,88,29249,28147,359,101,32652,29,4,0,0,0,0,0,1,0,7,6,14,19,9,1,0,0,0,1,0,0,14,12,7,1635244626828,red,NA1_4082416867
30737,325,92,30546,25355,305,77,28326,26,6,0,0,0,1,2,1,0,18,16,11,23,5,1,0,0,0,1,0,0,11,11,18,1635317461217,blue,NA1_4083176562
25333,302,69,28155,26087,283,88,27751,24,1,0,0,0,0,1,1,0,11,4,13,27,6,1,0,1,0,1,0,0,13,17,11,1636844576515,blue,NA1_4102440072
29350,300,76,30993,28861,319,96,32178,25,3,0,1,0,0,2,1,0,17,17,14,20,4,0,0,0,0,0,0,0,14,23,17,1636312352965,red,NA1_4094867984
28004,341,81,28750,29330,362,90,31331,30,7,0,0,0,1,2,1,0,10,9,14,28,6,0,0,0,0,1,0,0,14,14,10,1635331041469,blue,NA1_4083229520
24781,307,95,30115,24127,322,72,29892,19,4,0,0,0,0,0,1,0,8,5,13,29,6,1,0,0,1,0,0,0,13,7,8,1636428704426,red,NA1_4096852081
24064,329,68,27896,28459,318,100,32028,26,2,0,0,0,0,0,0,0,9,6,15,26,8,0,1,0,1,1,0,0,15,13,9,1635321520132,red,NA1_4083221769
24131,229,64,28536,33128,338,82,32722,28,6,0,0,1,0,0,0,0,13,7,24,24,4,0,0,0,1,2,1,0,24,20,13,1635265724244,red,NA1_4082494090
24562,290,62,26249,29050,323,75,29686,23,4,1,0,0,0,0,0,0,11,19,16,32,7,0,0,1,0,2,1,0,16,20,11,1634788377715,blue,NA1_4077284823
25155,335,68,29626,24091,341,64,29044,17,7,0,0,1,1,1,1,0,9,6,9,27,2,0,0,0,0,0,0,0,9,12,9,1636861974108,blue,NA1_4102762119
25723,338,56,28246,29214,310,84,31324,22,4,0,0,1,0,1,0,0,11,19,19,20,3,0,0,0,1,0,1,0,19,19,11,1636350412500,red,NA1_4095588027
24367,292,72,28570,26356,343,98,30322,22,2,0,0,0,1,1,0,0,10,13,10,24,5,0,0,0,0,1,1,0,10,6,10,1634625271230,red,NA1_4075410174
26666,296,98,31102,24226,346,78,28037,26,6,0,0,0,1,0,1,0,14,16,8,24,8,0,1,0,0,0,0,0,8,9,14,1635142514259,blue,NA1_4081199736
25764,369,80,30313,24866,307,88,30364,22,1,1,0,0,0,0,1,0,8,9,9,15,3,0,0,0,1,0,0,0,9,9,8,1634709129384,blue,NA1_4076177248
21187,268,76,25393,27649,320,77,29495,28,3,0,0,0,0,0,0,0,4,3,11,33,9,0,0,1,1,2,1,0,11,19,4,1634699515695,red,NA1_4076007371
28997,338,81,31509,23339,310,81,27734,24,6,0,0,0,0,0,1,0,14,17,6,25,6,0,1,0,1,0,0,0,6,9,14,1635217098596,blue,NA1_4082092634
24934,308,101,31166,26448,340,96,30768,29,4,0,1,0,0,1,0,0,7,4,11,24,4,1,0,0,0,1,1,0,11,6,7,1636424935200,blue,NA1_4096720468
27216,327,72,28572,27984,324,92,31089,18,5,0,0,1,0,2,1,0,9,8,14,20,2,1,0,0,0,2,0,0,14,11,9,1635452248867,blue,NA1_4084400396
27918,322,104,31020,23433,359,85,27945,29,3,1,0,0,1,2,0,0,11,19,5,20,1,0,0,0,0,0,1,0,5,8,11,1635466847202,blue,NA1_4084763995
26078,398,96,30741,21838,340,80,27061,25,9,0,0,0,0,0,1,0,8,9,3,25,8,0,0,1,0,0,0,0,3,3,8,1636838219674,blue,NA1_4102088038
24240,353,76,28542,24318,315,99,27736,32,6,0,1,0,1,0,0,0,6,6,8,20,4,0,0,0,0,0,1,0,8,5,6,1634801367368,blue,NA1_4077448902
23744,318,41,26314,31304,315,78,29989,30,10,0,0,0,0,0,0,0,9,10,19,30,9,1,1,0,0,3,1,0,19,20,9,1636932788840,red,NA1_4103625687
24603,347,72,29946,24836,317,88,30443,23,8,0,0,0,1,0,0,0,10,11,8,23,7,0,0,1,0,0,1,0,8,8,10,1635230456097,red,NA1_4082340894
24991,340,78,30805,26810,385,106,31851,26,8,0,0,0,1,0,0,0,9,8,9,24,7,0,1,0,0,1,1,0,9,1,9,1634783438855,red,NA1_4077233547
26027,297,70,29891,25496,307,80,29173,29,7,0,0,0,0,1,0,0,11,10,12,30,4,1,0,0,1,0,0,0,12,19,11,1635057741368,red,NA1_4080207693
26497,362,94,32213,22678,324,98,28475,27,5,0,0,0,0,1,1,0,9,6,6,22,4,0,0,0,1,0,0,0,6,8,9,1635232995145,blue,NA1_4082345831
27471,364,99,31035,23633,281,77,26832,16,7,0,1,0,0,0,0,0,9,7,9,27,3,1,0,0,0,0,0,0,9,15,9,1636306631546,red,NA1_4094827008
25301,320,77,29402,22193,318,80,25805,25,5,0,1,0,0,1,1,0,10,11,4,24,6,0,0,0,0,0,0,0,4,4,10,1635454518631,blue,NA1_4084374601
30391,335,79,30720,25902,252,79,28877,19,7,0,0,0,0,2,1,0,16,16,13,25,2,1,0,0,1,0,0,0,13,16,16,1634796700877,blue,NA1_4077442929
