blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
25823,319,56,27480,32261,303,116,33207,24,4,0,0,0,1,0,0,0,12,8,22,22,10,0,0,1,0,1,1,0,22,24,12,1623172623764,red,NA1_3936701157
25808,354,76,30795,23604,340,102,27796,28,10,0,0,0,1,0,1,0,10,13,6,29,6,0,0,0,0,0,0,0,6,5,10,1616293184263,blue,NA1_3834717068
24486,249,63,24929,36720,386,116,33370,29,2,0,0,0,0,0,0,0,12,13,26,17,4,1,1,0,0,2,0,0,26,26,12,1615940289685,red,NA1_3828641239
25631,368,80,28352,28144,329,112,31495,20,5,0,0,0,0,0,1,0,9,5,14,24,4,0,0,1,0,1,0,0,14,14,9,1615470717910,blue,NA1_3820850991
25290,271,72,27579,31078,334,93,31297,23,7,0,1,0,0,0,0,0,14,19,21,23,4,0,0,0,1,1,0,0,21,18,14,1617170798116,blue,NA1_3847601259
29277,383,102,31207,25216,348,84,29185,29,10,0,0,1,1,1,1,0,13,11,8,33,8,0,0,0,0,0,0,0,8,11,13,1623109572619,blue,NA1_3935964121
32237,357,64,33103,25599,285,68,26718,29,8,1,0,0,1,0,0,0,25,23,13,22,4,0,0,0,0,0,1,0,13,10,25,1618328518753,blue,NA1_3864994831
29485,326,80,28590,23363,319,87,26920,32,7,0,1,0,0,0,0,0,15,21,6,26,3,0,0,0,0,0,1,0,6,11,15,1615328635464,blue,NA1_3818231649
24529,366,97,28627,25780,366,71,30468,32,5,0,0,0,1,0,1,0,7,6,10,31,6,1,0,0,0,0,0,0,10,11,7,1615142531614,blue,NA1_3815599968
23609,299,108,26919,29793,360,82,31681,23,2,0,0,0,0,0,0,0,7,9,16,24,3,1,0,1,0,1,0,0,16,25,7,1615064448913,red,NA1_3814207716
26264,311,112,30002,26717,362,109,29087,29,8,0,0,0,0,1,1,0,9,6,9,32,8,0,0,1,1,0,0,0,9,12,9,1615233426778,red,NA1_3817040246
