blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
28834,264,72,27331,27184,273,56,27169,18,3,1,0,0,0,2,0,0,17,19,15,20,6,0,0,0,1,0,0,0,15,27,17,1629324484475,red,NA1_4015184997
26419,281,56,30042,23838,327,76,27500,21,2,0,0,0,1,0,0,0,17,21,6,19,2,1,0,0,0,0,0,0,6,5,17,1624586734774,blue,NA1_3955340046
28278,379,96,30981,26885,357,100,32120,18,3,0,0,0,0,0,0,0,10,12,13,23,3,1,1,0,0,0,1,0,13,17,10,1631744060501,blue,NA1_4043293529
29413,352,63,30338,25877,303,75,27647,28,4,0,0,1,0,0,0,0,23,23,11,23,7,0,1,0,0,0,0,0,11,14,23,1630130486877,blue,NA1_4025261174
21459,287,52,25824,30488,352,104,30430,29,8,0,0,0,1,0,0,0,5,8,16,26,7,0,1,0,0,2,1,0,16,20,5,1630803492641,red,NA1_4032676761
22425,266,58,26897,27034,324,86,30211,29,3,0,0,0,0,0,0,0,11,6,12,22,3,0,1,1,0,0,0,0,12,11,11,1630128200158,red,NA1_4025235198
23044,403,70,28214,26385,388,103,31545,31,3,0,0,1,0,0,1,0,2,1,8,19,8,0,0,0,1,0,0,0,8,8,2,1621895331463,red,NA1_3918878917
26563,333,64,30224,28241,324,76,32356,22,6,0,0,0,0,0,1,0,14,16,17,23,7,0,1,0,0,0,0,0,17,21,14,1630807710115,blue,NA1_4032753684
25059,308,80,27194,22919,327,84,27499,26,7,0,0,1,0,0,1,0,12,20,5,27,6,0,0,0,1,0,0,0,5,12,12,1622340030163,red,NA1_3925346359
24259,285,87,27190,21335,327,80,24987,21,12,0,0,1,0,0,0,0,12,18,4,29,1,0,0,0,1,0,0,0,4,5,12,1627176796956,blue,NA1_3988368614
24583,307,90,28964,27377,348,94,29238,25,4,0,0,1,0,0,0,0,10,13,11,20,4,1,0,0,0,1,1,0,11,9,10,1630114169508,red,NA1_4024872375
23488,319,78,26637,30186,302,99,31947,17,3,0,0,0,1,0,0,0,9,4,19,31,1,1,0,0,0,2,1,0,19,20,9,1629605962771,red,NA1_4018871888
29825,296,86,31508,26634,303,74,27790,31,7,0,1,0,1,0,0,0,21,18,16,28,8,0,0,0,0,0,1,0,16,16,21,1631576449646,blue,NA1_4041474877
29764,331,92,31004,23187,320,88,27318,25,4,1,0,1,0,1,1,0,15,18,7,18,5,0,0,0,0,0,0,0,7,10,15,1624645122458,blue,NA1_3956202232
24154,344,71,27638,22429,279,72,27276,28,6,1,0,0,0,0,1,0,6,8,7,18,9,0,1,0,0,0,0,0,7,13,6,1627262842541,blue,NA1_3989708116
19029,199,76,22503,29663,333,88,29408,15,3,0,0,0,0,0,0,0,3,2,18,25,3,1,1,0,0,2,0,0,18,16,3,1622100094005,red,NA1_3922020518
25446,329,71,27606,25291,313,84,26617,38,11,0,0,1,0,0,0,0,14,17,9,29,7,0,0,0,0,1,1,0,9,14,14,1621902027264,blue,NA1_3919150932
23855,212,83,25343,26043,265,60,25504,22,2,0,1,0,1,0,0,0,12,14,16,20,1,0,0,0,0,1,1,0,16,17,12,1626830286610,red,NA1_3983557433
25970,278,94,29027,24430,313,68,28187,19,2,0,0,0,0,1,0,0,11,13,10,22,5,1,0,0,0,0,0,0,10,8,11,1631259152357,red,NA1_4038108344
29251,282,68,29661,25756,244,88,28517,17,7,0,0,0,0,3,1,0,17,10,15,21,0,1,1,0,0,0,0,0,15,19,17,1631263712008,red,NA1_4038144190
23072,320,83,28325,26099,350,84,29275,23,1,0,0,0,0,0,1,0,7,5,10,15,12,0,0,0,1,1,0,0,10,14,7,1630546358373,red,NA1_4029659315
