blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
29637,342,74,31654,22157,266,72,27071,22,8,1,0,0,1,1,0,0,16,16,6,27,3,0,0,0,0,0,0,0,6,4,16,1635676730770,blue,NA1_4086929661
27755,297,66,28160,26726,229,80,29889,20,1,0,0,0,0,2,1,0,14,18,17,19,6,1,1,0,0,1,0,0,17,31,14,1636970642695,red,NA1_4104245471
21274,265,86,26412,30044,345,115,31898,33,5,0,0,0,0,0,0,0,3,3,12,26,11,1,1,0,0,3,1,0,12,16,3,1635117697086,red,NA1_4080744447
29569,313,99,31100,29148,324,72,30764,29,5,0,0,0,1,1,1,0,16,21,18,22,6,1,0,0,0,0,0,0,18,21,16,1636766701650,blue,NA1_4101252104
22959,239,68,24111,30415,265,72,28718,24,4,0,0,0,0,0,0,0,10,14,22,22,5,0,0,0,1,1,0,0,22,39,10,1636281398091,red,NA1_4094659779
26856,279,96,29407,29075,350,87,30589,27,6,0,0,1,0,1,1,0,13,14,14,26,7,1,0,0,0,1,0,0,14,16,13,1636716372565,red,NA1_4100732434
24108,359,68,27684,23076,307,82,28873,22,2,0,0,0,0,1,1,0,7,4,6,20,2,0,0,1,0,0,0,0,6,7,7,1636533369793,red,NA1_4098232436
33573,374,108,34908,23038,286,67,24395,27,2,1,0,1,0,1,0,0,20,25,7,15,5,0,0,0,0,0,1,0,7,8,20,1635895278477,blue,NA1_4089184291
29186,317,86,30293,27297,312,67,28116,21,5,0,0,1,1,1,0,0,20,21,12,19,5,0,0,0,0,1,1,0,12,14,20,1636333142959,blue,NA1_4095197094
23287,301,85,28253,28979,317,95,30087,23,4,0,0,0,0,0,0,0,8,10,12,27,6,0,1,0,0,4,1,0,12,16,8,1636437794733,red,NA1_4097042392
22553,326,88,27492,26368,291,102,30830,26,6,0,0,0,0,0,1,0,3,3,17,25,3,0,1,0,1,0,0,0,17,12,3,1636343076936,blue,NA1_4095395938
36834,341,114,35851,21352,270,71,23054,21,1,0,1,0,1,4,0,1,30,37,5,17,1,0,0,0,0,0,1,0,5,8,30,1636892384336,blue,NA1_4103182974
23728,307,84,28253,26743,316,96,30797,23,2,0,0,0,0,0,1,0,9,9,13,16,6,0,0,0,1,1,0,0,13,6,9,1634984703899,red,NA1_4079474692
24391,298,56,24463,34722,321,87,34019,26,6,0,0,0,0,0,0,0,10,11,29,28,7,1,1,0,0,2,1,0,29,33,10,1636161332597,red,NA1_4092710709
31187,361,74,30351,25910,335,58,29540,29,7,0,0,0,1,3,1,0,16,23,14,24,6,0,1,0,0,1,0,0,14,12,16,1636931811329,blue,NA1_4103592130
29638,334,100,28765,28692,308,84,28890,19,9,1,0,0,0,2,1,0,15,11,17,21,4,0,0,0,1,1,0,0,17,22,15,1636940323370,blue,NA1_4103762944
23283,288,72,27495,27556,313,104,32907,25,6,0,0,1,0,0,1,0,10,13,16,24,8,1,0,0,0,0,0,0,16,12,10,1636966486167,red,NA1_4104211251
24548,302,84,28220,24765,342,80,29565,27,9,0,0,0,0,0,0,0,9,12,9,25,6,0,0,0,1,0,1,0,9,7,9,1635723315053,blue,NA1_4087592505
26078,330,84,30196,29401,317,116,33500,24,3,0,0,0,1,0,1,0,13,15,14,19,1,0,0,0,0,2,0,0,14,12,13,1636186060093,blue,NA1_4093135087
28826,307,99,32360,30531,334,96,33987,16,0,0,0,0,0,1,1,0,14,8,21,17,2,0,0,1,1,0,0,0,21,16,14,1635759304034,red,NA1_4088015070
24600,333,76,28966,28642,354,104,31319,28,4,0,0,0,0,0,0,0,9,6,14,19,10,0,1,0,0,0,0,0,14,10,9,1636336373450,red,NA1_4095256195
31593,303,69,30633,27663,260,81,29074,25,2,1,0,0,0,0,0,0,26,25,14,23,1,0,0,0,0,0,1,0,14,20,26,1636164964943,blue,NA1_4092718560
32386,346,90,33610,21170,295,79,23996,26,4,1,1,0,0,3,1,0,22,19,5,16,5,0,0,0,0,0,0,0,5,5,22,1636958260857,blue,NA1_4104116421
21758,298,78,25840,31969,362,100,33216,23,5,0,0,0,0,0,0,0,6,4,20,30,4,0,1,0,0,2,1,0,20,25,6,1636287387679,red,NA1_4094674489
21311,287,70,25616,33069,367,104,33474,22,3,0,0,0,0,0,0,0,3,2,19,23,6,1,1,0,0,5,1,0,19,23,3,1636767932930,red,NA1_4101247137
27680,305,92,31152,23572,301,68,27214,25,2,0,1,1,0,0,0,0,17,15,8,23,3,0,0,0,0,0,1,0,8,11,17,1636445988402,blue,NA1_4097160850
25765,274,68,27068,30462,306,96,31262,22,6,0,0,0,0,0,0,0,13,15,22,22,6,1,0,0,1,1,0,0,22,21,13,1636933926504,red,NA1_4103647155
24182,352,73,28972,27852,345,87,31622,23,7,0,0,0,0,0,0,0,6,4,18,30,8,0,0,1,1,0,1,0,18,13,6,1636417435992,red,NA1_4096258980
26094,337,72,29295,26704,291,82,28988,23,4,0,0,0,0,1,1,0,11,13,11,26,1,0,0,1,0,1,0,0,11,10,11,1635813616948,blue,NA1_4088411298
