blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
27721,311,80,30555,26831,326,71,29642,25,4,0,0,1,0,0,0,0,17,17,12,27,7,0,1,0,0,0,1,0,12,7,17,1634165756876,blue,NA1_4070294714
23433,340,64,29495,25152,328,96,30041,22,7,0,0,0,0,0,0,0,7,8,10,24,7,1,0,0,0,0,0,0,10,10,7,1633217909257,red,NA1_4059917039
29190,332,99,30725,25774,324,65,28875,22,2,0,1,1,0,2,0,0,17,15,11,17,3,0,0,0,0,0,0,0,11,12,17,1626645178187,blue,NA1_3981482709
32357,345,85,32199,25613,268,86,27972,29,6,1,0,0,0,2,1,0,21,27,11,27,3,0,1,0,0,0,0,0,11,13,21,1626647192766,blue,NA1_3981437848
24202,281,72,26845,29230,311,80,31901,20,2,0,0,0,0,0,0,0,10,8,20,24,2,0,1,1,0,1,0,0,20,22,10,1632027312626,red,NA1_4046431540
29371,313,84,30586,24800,290,72,28734,21,4,0,0,1,0,2,1,0,16,17,12,22,2,0,0,0,1,0,0,0,12,10,16,1633231090739,blue,NA1_4060174968
22936,231,55,22945,31834,336,112,30276,18,4,1,0,0,0,1,1,0,5,7,19,26,3,0,0,0,1,1,0,0,19,18,5,1629858178748,red,NA1_4021923684
23406,290,60,27148,29793,297,102,31891,25,3,0,0,0,0,0,1,0,9,7,17,29,9,0,0,0,1,1,0,0,17,16,9,1635053026723,red,NA1_4080138392
30159,272,64,30360,24369,244,61,25481,24,4,0,0,0,0,2,0,0,23,21,13,15,1,0,0,0,0,0,0,0,13,11,23,1631327461237,blue,NA1_4038607879
25764,293,56,26153,29726,297,108,30243,30,8,0,0,0,0,1,0,0,11,20,18,21,7,1,1,0,0,2,1,0,18,18,11,1635033071835,red,NA1_4079883435
25199,279,68,26227,31452,304,80,30901,29,4,0,0,0,0,0,0,0,9,8,26,30,4,0,1,0,1,1,1,0,26,19,9,1634959757619,red,NA1_4078881745
28369,324,88,31672,24667,373,94,29017,27,5,0,1,0,0,2,1,0,13,17,5,21,2,0,0,1,0,1,0,0,5,5,13,1633311864162,blue,NA1_4061026829
26568,318,84,29293,23054,291,81,28481,27,6,0,0,0,0,1,0,0,11,10,8,21,3,1,0,1,0,0,1,0,8,7,11,1633314930490,blue,NA1_4061067631
32522,319,76,29892,24762,239,64,25499,24,3,0,0,1,1,2,0,0,26,20,11,27,3,0,0,0,0,0,0,0,11,8,26,1631819140736,blue,NA1_4044051473
25430,292,64,28357,30761,393,103,30396,25,3,1,0,0,0,0,0,0,12,19,11,23,3,0,1,0,0,3,1,0,11,11,12,1633717478069,red,NA1_4065332554
25518,362,92,31564,25709,369,88,30594,22,7,0,1,0,0,1,1,0,7,6,8,24,4,0,0,0,1,1,0,0,8,8,7,1624819687094,red,NA1_3958286522
30039,348,79,32786,24063,239,64,27367,22,6,1,0,0,0,2,1,0,18,12,9,21,8,0,1,0,0,0,0,0,9,14,18,1632708172806,blue,NA1_4054332733
24146,264,80,29195,25102,295,100,29755,29,4,0,0,0,0,0,0,0,11,10,10,24,9,0,1,0,1,0,1,0,10,13,11,1625240091866,red,NA1_3963859564
28830,299,48,31092,27463,271,80,28802,15,3,0,0,0,0,0,0,0,19,27,13,23,4,1,0,0,0,1,1,0,13,13,19,1633308295674,blue,NA1_4060979579
23589,296,100,29305,26159,321,72,27357,22,2,0,0,1,0,0,1,0,9,5,13,22,3,0,1,0,0,0,0,0,13,16,9,1632546001633,blue,NA1_4052265332
31552,359,64,31556,26246,257,64,27085,23,5,0,1,0,0,2,0,0,20,25,14,28,8,0,0,0,1,0,1,0,14,13,20,1631487578180,blue,NA1_4040650095
23634,295,100,27395,26251,327,72,30950,28,3,0,1,0,1,0,0,0,9,9,11,21,5,0,0,0,0,1,1,0,11,9,9,1633233817695,red,NA1_4060251858
28725,278,88,30238,28566,301,60,29751,23,4,1,0,0,1,1,0,0,19,16,16,21,4,0,0,0,0,1,0,0,16,17,19,1634167961195,red,NA1_4070356312
25789,351,62,27478,26605,307,96,30850,29,5,0,0,0,0,1,0,0,10,15,13,25,5,1,0,0,1,0,0,0,13,15,10,1634957863225,red,NA1_4078806375
26968,303,85,29004,31601,315,71,32022,24,6,0,0,0,0,1,0,0,15,11,23,23,5,0,1,0,0,2,1,0,23,18,15,1634607325156,red,NA1_4075131248
27433,315,78,28471,27703,292,48,30023,24,4,0,0,0,0,0,1,0,12,16,19,30,2,0,0,1,0,0,0,0,19,18,12,1633816141171,red,NA1_4066606528
