blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
25933,331,85,30095,22917,294,77,27117,25,7,0,0,0,0,0,0,0,11,10,9,27,5,0,0,0,1,0,0,0,9,8,11,1635618958216,blue,NA1_4086232081
24856,370,84,28762,25463,322,88,30484,24,6,0,0,0,0,1,1,0,7,5,9,20,10,1,1,0,0,1,0,0,9,13,7,1632269365566,red,NA1_4048820655
29674,311,99,31826,26566,314,68,28780,26,4,1,0,1,0,1,1,0,14,21,12,17,2,0,0,0,0,1,0,0,12,9,14,1634330994347,blue,NA1_4072057422
27048,296,64,30202,25226,334,56,27354,21,7,1,1,0,0,0,0,0,14,18,9,20,1,0,0,0,0,0,0,0,9,10,14,1634613389992,blue,NA1_4075197138
24881,342,63,28301,26941,301,80,28519,25,6,0,0,0,0,0,0,0,9,6,14,19,4,1,0,1,0,0,0,0,14,16,9,1634244475698,red,NA1_4071005170
28083,323,87,31906,25173,301,75,29011,23,5,1,0,1,0,0,1,0,19,17,10,26,2,0,0,0,0,0,0,0,10,12,19,1635468366231,red,NA1_4084756069
26826,343,60,27787,27683,311,96,29838,22,3,0,0,0,0,1,0,0,13,12,18,20,4,0,1,0,0,0,0,0,18,18,13,1632369128076,red,NA1_4050129905
25472,292,67,26412,26942,336,100,28859,25,6,0,0,0,0,1,0,0,12,16,13,25,6,1,0,0,1,0,1,0,13,11,12,1635473808143,blue,NA1_4084829067
27531,295,75,29987,26082,345,56,26922,24,9,0,0,1,0,0,0,0,17,19,10,28,8,0,0,0,0,1,1,0,10,7,17,1634776968361,blue,NA1_4077057300
24452,282,70,26840,27982,262,83,28763,27,5,1,0,0,0,0,1,0,12,15,18,27,7,0,1,0,0,0,0,0,18,26,12,1632176416170,red,NA1_4048000842
22786,292,72,26291,29552,348,64,29616,22,1,0,1,0,0,0,0,0,6,4,16,22,4,1,0,0,0,3,1,0,16,21,6,1634324467085,blue,NA1_4072008802
26766,372,70,30553,24514,308,105,29396,34,6,0,0,0,0,1,1,0,11,11,9,25,6,0,0,0,1,0,0,0,9,13,11,1635368582171,blue,NA1_4083474824
27994,323,72,28199,28684,335,82,29976,25,5,0,0,0,1,1,1,0,14,17,16,21,5,0,0,0,0,0,0,0,16,15,14,1636428802869,blue,NA1_4096811182
27029,338,76,29025,22091,309,72,25759,20,2,0,0,0,0,0,1,0,10,15,9,24,5,0,1,1,0,0,0,0,9,12,10,1634179050839,blue,NA1_4070512060
24947,335,61,30055,28093,371,86,32762,16,4,0,0,0,0,0,0,0,10,9,16,24,6,1,0,0,0,1,1,0,16,18,10,1632253463599,red,NA1_4048628512
26388,342,72,26992,29779,291,75,29406,27,3,0,0,0,0,1,0,0,8,9,19,23,6,1,1,0,0,0,1,0,19,28,8,1636585761443,red,NA1_4098667101
24843,335,91,28581,24743,304,79,27030,18,2,0,0,0,0,0,0,0,7,9,11,29,2,0,1,0,0,0,0,0,11,19,7,1634181469909,blue,NA1_4070506594
23137,293,83,27515,23317,362,80,29840,27,4,0,0,0,0,0,0,0,6,5,4,17,6,1,1,0,0,0,0,0,4,5,6,1634095131755,red,NA1_4069765405
27842,345,63,30929,26415,340,84,29522,24,8,0,0,0,0,0,0,0,16,21,14,25,8,0,0,1,0,0,1,0,14,12,16,1632185495315,blue,NA1_4048076674
21979,338,62,26226,26911,339,76,29380,15,4,0,0,0,0,0,0,0,8,5,9,33,4,0,0,0,0,0,1,0,9,10,8,1635712696822,red,NA1_4087415177
24319,350,87,27099,22589,289,80,28146,27,4,1,0,0,0,1,1,0,6,5,7,28,3,0,0,0,0,0,0,0,7,5,6,1632366877099,blue,NA1_4050013682
25735,340,78,29256,24815,348,109,31237,24,5,1,0,0,1,1,0,0,9,9,7,26,6,0,0,0,0,1,0,0,7,8,9,1632355522048,blue,NA1_4049930751
26672,307,80,29469,27097,311,100,27678,28,4,0,0,0,0,0,0,0,14,16,9,28,8,1,1,0,0,2,0,0,9,13,14,1636668022481,red,NA1_4099985345
27614,300,57,27510,26017,242,57,26921,17,7,0,1,0,0,1,1,0,16,16,16,33,1,1,0,0,0,0,0,0,16,20,16,1632347564152,blue,NA1_4049768375
27796,316,72,29721,27311,317,80,28942,22,7,0,0,0,0,0,0,0,15,13,14,19,3,0,0,1,0,0,1,0,14,12,15,1632267137452,blue,NA1_4048756500
21471,297,64,28111,27595,357,76,32036,23,7,0,0,0,0,0,0,0,6,5,13,29,6,1,0,1,0,1,1,0,13,6,6,1635041288011,red,NA1_4080019744
30269,351,72,32328,20028,259,72,25129,18,9,0,0,0,1,3,0,0,19,22,3,28,2,0,0,1,0,0,0,0,3,1,19,1632186800120,blue,NA1_4048169952
28709,359,104,33120,22552,340,90,28702,23,5,0,0,0,0,1,0,0,15,17,4,21,4,0,1,0,0,0,0,0,4,2,15,1634615676909,blue,NA1_4075290708
22430,337,91,28447,25931,314,109,29598,14,5,0,0,0,0,0,0,0,3,3,9,29,2,0,0,0,1,1,1,0,9,8,3,1632181349286,blue,NA1_4048037417
24002,324,76,28721,24369,385,99,30478,31,9,0,0,0,0,0,1,0,8,8,7,25,9,0,1,0,1,0,0,0,7,4,8,1636318320591,red,NA1_4095001148
30242,343,88,32975,27155,301,83,28467,28,8,0,0,0,1,2,0,0,16,12,15,28,9,1,0,0,0,0,1,0,15,16,16,1632246734724,blue,NA1_4048641504
27302,335,80,28908,23433,309,100,28791,31,4,0,1,0,0,2,0,0,12,8,8,20,8,0,0,0,1,0,0,0,8,3,12,1635465776119,red,NA1_4084712427
25850,276,71,28083,29845,338,84,30817,31,5,0,0,0,0,1,0,0,10,10,17,27,12,1,0,0,0,2,1,0,17,18,10,1634611484388,red,NA1_4075159401
26473,293,88,27751,29132,319,82,30300,23,8,0,0,0,1,1,1,0,10,16,15,29,9,1,0,0,0,1,0,0,15,20,10,1634332641492,red,NA1_4072119942
