blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
32656,325,88,32573,26609,258,83,29508,20,2,0,0,0,1,2,0,0,23,22,14,21,2,0,1,0,0,0,0,0,14,12,23,1633289640574,blue,NA1_4060754235
23772,303,79,27067,32910,347,92,33519,16,3,0,0,0,0,0,0,0,8,5,22,20,4,1,1,0,0,2,1,0,22,20,8,1635110158244,red,NA1_4080639317
27055,336,73,28907,24166,357,86,29189,22,2,1,1,0,0,2,1,0,10,12,6,23,5,0,0,0,0,1,0,0,6,6,10,1635092335312,blue,NA1_4080501204
26289,289,95,28635,24791,353,80,27962,25,10,0,0,0,0,2,1,0,8,8,8,20,9,0,0,0,1,0,0,0,8,13,8,1634331077576,blue,NA1_4072056598
27184,331,108,29541,24409,300,84,27677,26,4,0,0,0,0,0,1,0,9,11,12,18,10,0,0,1,0,0,0,0,12,12,9,1635611186184,red,NA1_4086162436
26814,285,49,28049,31233,286,95,32319,21,2,0,0,1,0,0,0,0,15,16,18,22,5,0,0,0,1,2,1,0,18,23,15,1634514735948,red,NA1_4074245030
26243,281,86,30661,27808,336,86,31440,23,3,0,0,0,0,0,0,0,16,7,17,22,6,0,0,0,1,0,0,0,17,14,16,1633738432446,blue,NA1_4065562109
22821,295,51,25670,28377,320,92,29763,24,4,0,0,0,0,0,0,0,6,9,18,22,3,0,0,0,1,2,1,0,18,15,6,1633286468366,red,NA1_4060741346
23558,360,71,29748,26803,377,99,30797,20,5,1,0,1,0,0,0,0,9,5,8,23,5,0,0,0,0,1,1,0,8,7,9,1635463942485,red,NA1_4084499708
23201,334,84,28769,30185,366,94,32740,20,1,0,0,0,0,0,1,0,6,6,18,17,8,0,0,1,0,1,0,0,18,23,6,1635617893758,red,NA1_4086202467
32273,370,110,33195,21018,297,94,27648,27,2,1,0,0,0,3,1,0,19,21,4,18,1,0,0,0,1,0,0,0,4,4,19,1635201208248,blue,NA1_4081669814
23950,305,84,29484,20918,248,52,25801,24,7,0,0,0,0,0,0,0,11,6,7,28,4,1,0,0,0,0,0,0,7,6,11,1634853820343,blue,NA1_4077764992
24616,313,63,27337,26772,305,95,28435,18,4,1,0,0,0,0,0,0,10,17,13,19,1,0,1,0,0,1,1,0,13,14,10,1634520840437,red,NA1_4074346684
27700,307,87,30531,26585,299,81,27706,30,5,0,1,0,1,1,1,0,17,10,11,25,8,0,0,0,0,0,0,0,11,11,17,1636416454543,red,NA1_4096255891
28128,324,83,27395,25378,266,85,27469,18,5,0,0,0,0,3,1,0,11,13,14,24,2,1,0,1,0,0,0,0,14,22,11,1635621856803,red,NA1_4086207808
27554,312,96,29770,25688,335,86,29042,25,6,1,0,0,1,1,1,0,12,8,11,22,3,0,0,0,0,0,0,0,11,15,12,1635108334895,blue,NA1_4080644567
25399,307,60,27465,29817,323,115,31284,18,3,0,1,0,0,1,0,0,11,7,19,20,3,0,0,0,1,1,1,0,19,18,11,1633741168114,red,NA1_4065597067
28196,354,116,32762,23930,319,60,28518,20,5,0,0,0,0,0,1,0,11,10,8,20,3,0,0,0,1,0,0,0,8,7,11,1635712588909,blue,NA1_4087416039
27217,334,86,30349,29534,346,94,32056,26,6,0,0,0,1,0,0,0,13,12,14,26,5,0,0,0,0,0,1,0,14,18,13,1634494467134,red,NA1_4074000714
26376,378,76,30603,26841,295,92,29406,21,7,0,0,0,0,1,0,0,10,12,11,25,4,1,0,0,0,1,1,0,11,14,10,1636412330099,red,NA1_4096226727
26486,317,68,28861,24895,317,81,29895,21,5,0,0,0,0,1,1,0,10,10,10,25,2,0,0,0,1,0,0,0,10,15,10,1633284741203,red,NA1_4060677334
26151,380,80,29673,28462,320,89,30757,27,5,0,1,0,0,1,0,0,11,6,13,24,8,0,0,1,0,2,1,0,13,13,11,1633645275887,red,NA1_4064685513
25989,305,71,26242,29391,353,76,29351,28,6,0,0,0,1,0,0,0,12,18,19,27,6,1,0,0,0,1,0,0,19,18,12,1633278291489,red,NA1_4060609413
27416,297,84,29131,26401,356,87,28093,25,8,0,0,0,0,0,0,0,13,19,11,23,5,1,0,1,0,1,1,0,11,8,13,1635623791885,red,NA1_4086300176
31325,314,79,30727,23885,251,60,26158,26,2,0,1,0,0,2,1,0,17,24,13,14,3,0,0,0,0,0,0,0,13,11,17,1635710334597,blue,NA1_4087422541
