blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
28834,264,72,27331,27184,273,56,27169,18,3,1,0,0,0,2,0,0,17,19,15,20,6,0,0,0,1,0,0,0,15,27,17,1629324484475,red,NA1_4015184997
26419,281,56,30042,23838,327,76,27500,21,2,0,0,0,1,0,0,0,17,21,6,19,2,1,0,0,0,0,0,0,6,5,17,1624586734774,blue,NA1_3955340046
25562,353,72,30008,23815,349,104,29745,21,7,0,0,0,1,1,0,0,7,10,6,20,0,0,0,0,0,0,1,0,6,8,7,1621214310681,red,NA1_3909357288
24262,344,107,29639,23819,290,74,28253,29,5,0,0,1,1,0,0,0,6,3,7,18,4,0,0,0,0,0,1,0,7,9,6,1620954069886,blue,NA1_3905475218
25894,254,88,25798,27697,285,70,28284,24,4,0,0,0,0,0,0,0,13,18,16,24,8,0,1,0,0,1,0,0,16,15,13,1620967215274,blue,NA1_3906063171
22684,322,95,27869,25711,318,96,30229,25,2,0,0,1,0,0,0,0,3,6,9,24,7,1,0,0,0,1,1,0,9,7,3,1629901818685,red,NA1_4022386801
31106,349,81,30996,26786,289,59,28098,27,8,0,0,0,0,3,1,0,16,21,15,29,4,1,1,0,0,0,0,0,15,15,16,1629895784109,blue,NA1_4022382348
25243,366,60,28548,21512,292,92,27152,22,5,1,0,0,0,1,0,0,6,7,5,23,5,0,1,0,0,0,0,0,5,2,6,1620964790704,red,NA1_3905944875
28434,275,84,29009,29329,324,76,29548,26,4,0,1,0,1,0,0,0,19,18,20,23,6,0,0,0,0,0,0,0,20,14,19,1628047620441,red,NA1_3999630872
24075,305,76,27643,28106,311,88,28197,19,2,0,0,0,0,0,0,0,7,6,14,16,5,0,1,0,0,0,1,0,14,19,7,1620896961649,red,NA1_3904904119
23152,296,92,28895,25886,310,90,29892,18,2,1,0,0,0,1,0,0,6,4,11,24,1,0,1,0,0,1,1,0,11,8,6,1629916245072,red,NA1_4022731981
27744,307,68,30251,27822,380,91,29799,30,7,1,1,0,0,0,0,0,20,17,9,24,6,0,0,0,0,2,1,0,9,2,20,1631526938742,red,NA1_4041133847
25059,308,80,27194,22919,327,84,27499,26,7,0,0,1,0,0,1,0,12,20,5,27,6,0,0,0,1,0,0,0,5,12,12,1622340030163,red,NA1_3925346359
24259,285,87,27190,21335,327,80,24987,21,12,0,0,1,0,0,0,0,12,18,4,29,1,0,0,0,1,0,0,0,4,5,12,1627176796956,blue,NA1_3988368614
21054,261,64,23392,31806,368,78,32069,26,8,0,0,0,0,0,0,0,4,7,22,24,8,0,0,1,1,3,0,0,22,19,4,1629912795982,red,NA1_4022698684
23488,319,78,26637,30186,302,99,31947,17,3,0,0,0,1,0,0,0,9,4,19,31,1,1,0,0,0,2,1,0,19,20,9,1629605962771,red,NA1_4018871888
32225,332,76,32900,27403,216,56,29733,23,8,1,0,0,0,2,0,0,20,14,19,20,5,0,0,0,0,0,0,0,19,21,20,1626420971272,blue,NA1_3978875370
23318,278,80,27251,25044,368,76,27944,22,4,1,0,0,1,0,1,0,8,14,7,18,8,0,0,0,0,1,0,0,7,8,8,1629687152142,red,NA1_4019717916
24154,344,71,27638,22429,279,72,27276,28,6,1,0,0,0,0,1,0,6,8,7,18,9,0,1,0,0,0,0,0,7,13,6,1627262842541,blue,NA1_3989708116
27425,355,86,30569,23109,319,66,26089,29,4,1,1,0,0,1,1,0,11,10,8,22,4,0,0,0,0,0,0,0,8,7,11,1629909455982,blue,NA1_4022674835
23687,220,46,26774,33047,290,100,32392,17,6,0,1,0,0,0,1,0,16,15,25,26,4,1,0,0,0,0,0,0,25,31,16,1630305383803,red,NA1_4027307490
