blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
25593,343,63,27260,32420,356,80,31163,28,5,0,0,0,0,1,0,0,9,7,23,37,15,0,1,0,1,1,1,0,23,28,9,1626717684120,red,NA1_3982288645
28303,310,80,31286,27593,390,88,27340,39,11,0,0,0,0,0,1,0,18,24,9,32,14,1,0,0,0,2,0,0,9,10,18,1626288059416,blue,NA1_3977040905
23307,400,90,29071,25063,405,104,29836,25,4,0,0,1,0,0,0,0,4,5,3,29,8,0,0,0,0,1,1,0,3,4,4,1632956557294,blue,NA1_4056849597
28923,390,91,32071,24488,390,88,28487,33,11,0,0,0,0,1,1,0,12,19,6,31,8,0,1,0,1,0,0,0,6,8,12,1632865829587,blue,NA1_4055883516
25226,370,79,28012,25171,368,95,29686,27,10,1,0,0,0,0,0,0,8,10,8,36,10,0,0,0,0,0,1,0,8,9,8,1627337393755,blue,NA1_3990556703
26473,349,84,28131,28728,387,104,31792,24,8,0,1,1,0,1,1,0,10,11,10,33,6,0,0,0,0,1,0,0,10,13,10,1632972662951,red,NA1_4057297517
22642,308,100,27589,30748,410,105,34617,24,7,0,0,0,0,0,0,0,2,2,15,30,4,1,0,0,1,1,0,0,15,15,2,1632961342392,red,NA1_4057130748
29243,355,101,31177,23371,388,79,28379,32,13,1,0,0,1,1,1,0,14,19,4,33,11,0,0,0,0,0,0,0,4,4,14,1625617773836,blue,NA1_3968487780
24544,353,88,29335,28688,394,92,31676,27,11,0,0,0,0,0,0,0,7,11,11,25,11,0,0,1,0,1,1,0,11,18,7,1632959111519,red,NA1_4056955830
25983,315,64,26793,25579,338,80,29082,37,5,0,0,0,0,0,1,0,13,14,11,25,11,1,0,1,0,0,0,0,11,11,13,1627350558038,blue,NA1_3990752786
25384,356,90,29341,22816,327,75,28718,30,13,1,0,1,0,0,1,0,8,8,7,29,9,0,0,0,0,0,0,0,7,6,8,1625003649958,blue,NA1_3960707047
24907,343,75,28044,26552,364,106,30647,31,9,0,1,0,0,1,1,0,7,10,11,30,7,0,0,0,0,0,0,0,11,12,7,1626060243252,blue,NA1_3974285638
19531,264,76,21393,33360,365,82,27731,26,8,0,0,0,0,0,0,0,2,2,17,25,8,1,0,1,0,6,1,1,17,20,2,1632875642202,red,NA1_4056033018
29676,380,99,31511,27190,320,91,28662,34,7,0,0,1,0,1,0,0,13,18,11,32,9,0,0,0,0,1,1,0,11,10,13,1627880977151,blue,NA1_3997737847
28981,340,80,28615,28213,302,79,28271,26,13,0,1,0,0,1,0,0,16,23,14,30,5,0,0,0,0,2,1,0,14,15,16,1627869372144,blue,NA1_3997459266
29010,370,66,30425,29110,322,108,31468,24,4,0,0,0,1,1,0,0,20,23,12,20,6,0,0,0,0,0,0,0,12,9,20,1632702293106,red,NA1_4053988993
24913,303,74,27108,32659,353,72,29717,27,5,0,0,0,0,1,1,0,9,8,18,29,12,1,0,0,0,3,0,0,18,21,9,1626290655182,red,NA1_3977054852
27097,328,103,29322,26188,357,77,27989,28,8,1,0,0,0,1,0,0,12,11,8,31,11,0,0,0,1,0,1,0,8,6,12,1627438211471,red,NA1_3992015217
27247,335,89,27619,25516,319,85,25644,20,7,0,0,0,0,2,1,0,10,11,11,23,3,0,1,0,0,1,0,0,11,14,10,1632968251806,blue,NA1_4057244526
27347,395,96,29566,23724,342,90,28795,22,10,0,0,1,1,3,1,0,6,8,6,32,7,0,0,0,0,0,0,0,6,7,6,1633044587725,blue,NA1_4057925899
27462,357,82,29146,25616,346,79,29692,34,7,0,1,0,0,0,1,0,9,11,11,38,5,0,0,0,0,0,0,0,11,9,9,1632778510042,blue,NA1_4054985838
28052,421,96,32187,25049,387,108,29721,30,14,0,1,0,1,0,0,0,12,17,5,26,8,0,0,0,0,1,1,0,5,5,12,1626725120188,blue,NA1_3982378547
27497,328,91,28579,23839,338,68,27591,31,8,0,1,1,0,1,1,0,12,13,7,24,7,0,0,0,0,0,0,0,7,11,12,1632870376070,blue,NA1_4055971012
25222,429,96,31658,22765,339,100,28168,26,8,0,0,0,0,0,0,0,4,2,5,35,10,1,0,0,1,0,0,0,5,9,4,1632975040807,red,NA1_4057353222
30749,401,91,32942,22609,335,85,28217,31,9,1,0,1,0,1,1,0,18,20,6,28,7,0,0,0,0,0,0,0,6,2,18,1633050307225,blue,NA1_4058036556
34556,392,94,33572,24521,323,70,28516,30,14,0,0,0,0,3,1,0,28,28,9,32,4,0,0,0,0,0,0,0,9,7,28,1627360140289,blue,NA1_3990909247
29119,403,77,28912,27478,407,80,28863,35,13,0,0,0,1,1,0,0,12,28,8,36,6,0,0,1,0,1,1,0,8,11,12,1632868012221,blue,NA1_4055897507
30963,362,92,31171,26079,364,92,30509,32,6,0,0,0,0,1,1,0,17,25,9,21,8,0,1,0,0,0,0,0,9,12,17,1627794455032,red,NA1_3996407011
22274,362,81,27180,27447,376,112,31911,27,12,0,0,0,0,0,0,0,4,9,10,32,10,1,0,0,0,1,1,0,10,11,4,1627340408458,red,NA1_3990661722
27992,383,86,29195,28503,330,94,30507,31,7,0,0,0,0,1,0,0,12,10,16,28,10,1,0,0,1,0,1,0,16,21,12,1626222837790,blue,NA1_3976277808
33604,349,76,32066,24964,271,80,25842,34,7,0,0,0,0,2,0,0,26,23,11,26,8,1,0,1,0,0,0,0,11,18,26,1627426966756,blue,NA1_3991702063
26300,321,90,29133,25050,332,89,28313,32,14,0,0,1,0,1,1,0,9,7,9,29,10,0,0,0,1,0,0,0,9,14,9,1627424651677,blue,NA1_3991536944
25404,364,92,29462,26406,370,92,30950,25,15,0,0,0,1,0,1,0,7,8,11,37,11,0,0,0,0,0,0,0,11,10,7,1632857176869,blue,NA1_4055810658
26348,328,84,28749,27755,397,90,30444,27,8,0,1,0,0,0,1,0,12,14,11,26,7,0,0,0,0,1,0,0,11,12,12,1627871972258,red,NA1_3997545989
27650,423,96,31631,25843,350,94,31481,24,10,1,0,0,0,0,1,0,11,12,11,26,9,0,0,0,0,0,0,0,11,8,11,1626216225499,blue,NA1_3976223641
27045,304,80,28651,29300,303,77,30733,24,9,0,0,0,0,0,0,0,13,18,18,37,5,0,1,0,0,0,0,0,18,21,13,1627239956914,red,NA1_3989414788
28156,326,98,29768,26131,379,82,29305,34,15,0,0,0,0,0,1,0,13,10,8,38,9,1,0,0,0,1,0,0,8,10,13,1626720758493,blue,NA1_3982381362
24615,363,103,29717,23134,368,92,28212,31,12,0,0,0,0,0,1,0,6,12,4,34,8,0,0,1,0,0,0,0,4,8,6,1627440345539,blue,NA1_3992081812
25497,375,82,29952,27663,343,106,30585,21,5,0,0,0,0,1,0,0,9,8,13,30,13,1,1,0,0,1,1,0,13,20,9,1632877421755,red,NA1_4056055835
24801,331,89,27947,31689,351,97,31889,27,8,0,0,0,0,0,0,0,9,5,19,28,3,0,1,0,0,1,1,0,19,17,9,1627345224835,red,NA1_3990671255
26922,328,94,29219,29434,327,62,29426,24,5,0,1,0,0,1,0,0,15,16,14,29,6,0,0,0,0,3,1,0,14,19,15,1632784659589,blue,NA1_4055074077
31980,381,84,32741,23307,281,96,26765,33,8,0,0,1,0,1,1,0,22,23,7,21,9,0,0,0,0,0,0,0,7,2,22,1627867195071,blue,NA1_3997444653
26360,380,92,29518,30526,351,81,32268,23,7,0,0,0,0,1,1,0,8,9,19,27,4,0,0,0,0,0,0,0,19,15,8,1626213868250,red,NA1_3976169564
28598,372,71,29724,28554,326,112,30034,29,7,1,0,0,0,1,1,0,14,14,12,25,9,0,0,0,0,0,0,0,12,11,14,1632862880966,blue,NA1_4055829176
27015,410,108,31747,24201,367,82,30438,24,6,0,0,0,1,1,1,0,6,7,7,25,7,0,0,1,0,0,0,0,7,7,6,1625005822148,red,NA1_3960771030
24849,373,84,27932,29001,358,99,30867,23,7,0,0,0,0,1,1,0,6,6,12,27,6,1,0,0,1,1,0,0,12,21,6,1626238872602,red,NA1_3976640123
30275,291,80,29541,25173,348,85,26870,28,9,0,1,0,0,0,0,0,16,28,8,25,10,1,0,0,0,1,1,0,8,10,16,1632880562729,blue,NA1_4056132225
