blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
25657,344,80,29434,23539,351,96,28085,29,5,0,0,0,0,0,1,0,11,16,5,22,9,0,1,0,0,0,0,0,5,6,11,1632767171773,blue,NA1_4054919791
25857,371,78,28490,25808,371,81,29377,29,6,0,0,0,0,0,1,0,8,13,7,32,4,1,0,0,1,1,0,0,7,14,8,1632772625745,red,NA1_4054955761
25682,298,72,25327,29400,350,83,29532,24,0,0,0,0,1,2,1,0,6,8,18,21,5,1,0,0,0,2,0,0,18,20,6,1632624129424,red,NA1_4053154747
30099,368,125,33146,22281,303,81,26969,29,6,0,1,0,1,1,0,0,16,21,6,21,9,0,0,0,0,0,0,0,6,8,16,1636684717426,blue,NA1_4100266230
24564,336,62,26843,28864,342,76,30078,27,5,0,0,0,0,1,0,0,6,9,16,28,6,1,0,0,0,2,1,0,16,21,6,1636494598173,red,NA1_4097519532
32233,367,75,33279,23506,334,69,27600,26,7,1,0,0,0,0,0,0,19,27,7,24,7,0,0,0,0,0,0,0,7,8,19,1635449516962,blue,NA1_4084279121
35005,337,112,33391,23471,302,84,26328,25,6,1,1,0,0,2,1,0,29,27,6,26,7,0,0,0,0,0,0,0,6,10,29,1632708411304,blue,NA1_4054286996
30624,390,89,32875,26066,311,87,29865,21,5,1,0,1,0,2,0,0,16,15,12,21,4,0,0,0,0,1,1,0,12,10,16,1635996443709,blue,NA1_4090810518
27088,346,60,30621,23677,357,64,27213,27,9,1,0,1,0,1,0,0,13,14,8,29,5,0,0,0,0,0,0,0,8,13,13,1632203855387,blue,NA1_4048347968
22010,299,72,24078,32858,394,109,34940,29,3,0,0,0,0,0,1,0,5,6,21,25,7,1,0,0,0,1,0,0,21,23,5,1632696631995,red,NA1_4053887565
28587,302,91,29675,28146,350,65,30392,30,8,1,0,0,1,0,0,0,17,23,14,26,8,0,0,0,0,1,1,0,14,16,17,1636082830186,blue,NA1_4091756183
24104,318,108,29143,27758,391,69,29989,20,9,0,0,0,0,0,0,0,5,4,9,31,10,0,1,0,0,2,1,0,9,9,5,1634946179570,blue,NA1_4078681964
27044,360,68,28062,27062,293,87,25590,27,2,0,0,0,0,0,0,0,14,20,13,25,5,0,0,1,1,0,1,0,13,28,14,1636601026901,blue,NA1_4098896485
24648,347,80,28020,27262,372,113,31745,30,4,0,0,1,1,0,1,0,7,7,11,21,4,0,0,0,0,0,0,0,11,12,7,1636588976277,blue,NA1_4098742415
23028,323,97,26692,29751,380,68,32662,18,9,0,0,0,0,0,1,0,5,4,15,28,1,1,0,0,0,2,0,0,15,14,5,1635133301365,red,NA1_4081009433
27128,364,84,30424,25265,324,71,27563,30,6,0,1,0,1,0,0,0,12,14,6,21,7,0,0,0,0,3,1,0,6,6,12,1632201597141,blue,NA1_4048382041
29150,315,94,29702,25543,396,84,28494,27,4,0,0,0,0,0,1,0,16,23,4,23,9,0,0,1,0,1,0,0,4,4,16,1635462641523,blue,NA1_4084517872
26062,347,85,29861,27511,361,104,30230,29,8,0,0,0,0,0,0,0,9,13,11,32,3,1,1,0,0,2,1,0,11,10,9,1636586086053,red,NA1_4098647777
24111,396,114,29401,20283,321,86,27401,20,10,0,0,0,0,0,1,0,4,5,1,25,1,1,0,1,0,0,0,0,1,0,4,1635446035026,blue,NA1_4084273658
22543,269,69,25057,33205,388,99,34373,30,7,1,1,0,0,0,1,0,6,9,23,35,7,0,0,0,0,3,0,0,23,21,6,1635797638851,red,NA1_4088196395
24536,335,94,27385,26952,361,89,29427,22,5,1,0,0,1,0,2,0,8,11,10,28,5,0,0,0,0,0,0,0,10,10,8,1632686755397,red,NA1_4053766744
27051,363,89,28529,26393,339,88,29834,28,5,0,0,0,1,1,1,0,7,11,12,26,11,0,0,1,0,0,0,0,12,23,7,1632780275290,blue,NA1_4054978038
28715,346,105,30464,26988,356,67,29728,26,11,0,0,1,0,0,0,0,14,16,13,28,1,0,0,0,0,1,1,0,13,13,14,1635129928734,red,NA1_4080980668
29885,350,80,30198,25733,314,97,28358,28,9,1,0,0,1,1,1,0,14,14,11,31,3,0,0,0,0,0,0,0,11,11,14,1632791060272,red,NA1_4055117645
28946,356,83,31506,22954,361,72,25260,24,7,0,0,1,1,1,1,0,17,21,4,26,5,0,0,0,0,0,0,0,4,2,17,1635299111636,blue,NA1_4082886220
28009,383,55,30265,29232,347,102,31331,25,5,0,0,0,0,0,1,0,12,10,13,30,3,1,1,0,0,2,0,0,13,16,12,1636925671701,red,NA1_4103478126
26564,359,95,29589,27072,342,99,30438,23,3,0,0,0,0,1,0,0,8,10,14,23,4,1,0,0,1,1,1,0,14,15,8,1635720569464,red,NA1_4087489105
24925,346,99,29036,30336,377,92,32300,26,8,0,0,0,0,0,0,0,8,12,13,30,4,1,0,0,0,1,1,0,13,18,8,1635723772989,red,NA1_4087575389
30932,323,92,28841,25777,309,40,27595,31,3,0,0,1,0,1,0,0,18,21,14,27,6,0,0,0,0,0,1,0,14,16,18,1635096317374,blue,NA1_4080467455
28129,300,74,28186,31497,326,89,29865,29,2,0,0,0,0,1,0,0,12,23,17,25,3,0,1,0,1,1,1,0,17,13,12,1636162946715,blue,NA1_4092722037
24567,342,67,27332,26104,347,98,29359,27,11,0,1,0,0,0,0,0,8,10,7,38,3,0,0,0,0,1,1,0,7,9,8,1636000407519,blue,NA1_4090890991
32895,389,98,31996,22901,302,75,25723,26,11,0,1,0,1,2,1,0,18,24,8,28,11,0,0,0,0,0,0,0,8,16,18,1632703427821,blue,NA1_4054073843
26710,339,86,29332,26493,369,87,28675,31,8,1,0,1,0,0,0,0,13,14,10,27,12,0,0,0,0,0,1,0,10,8,13,1635644454413,blue,NA1_4086543893
30195,339,65,32409,24337,317,74,26798,23,8,0,1,0,0,0,0,0,24,27,7,25,6,1,0,0,0,0,0,0,7,8,24,1636331298062,blue,NA1_4095232504
27651,334,69,28617,25880,345,99,28553,27,5,0,0,1,0,0,1,0,13,17,12,29,4,0,1,0,0,0,0,0,12,13,13,1632694124775,red,NA1_4053921125
30591,377,91,31301,26505,316,77,27903,29,8,1,0,0,0,2,1,0,17,14,13,22,8,0,0,0,0,0,0,0,13,10,17,1636774537341,blue,NA1_4101384241
26903,323,77,27633,28830,338,88,30836,21,7,1,0,0,1,1,1,0,11,16,18,27,5,0,0,0,0,0,0,0,18,31,11,1636328168292,red,NA1_4095163399
24988,319,80,27840,28288,381,87,32089,25,8,1,0,0,1,1,1,0,7,7,15,34,5,0,0,0,0,0,0,0,15,18,7,1635094211714,red,NA1_4080464404
22838,345,59,27499,29416,387,106,33993,27,9,0,0,0,0,1,1,0,3,5,13,35,7,1,1,0,0,0,0,0,13,14,3,1635127290588,red,NA1_4080945554
28925,332,84,31024,26174,306,92,27631,32,10,1,0,0,0,1,0,0,17,29,8,27,8,0,1,0,0,2,1,0,8,8,17,1635372050818,red,NA1_4083518779
27432,371,94,29501,25912,437,90,30074,27,5,0,0,0,0,0,1,0,13,16,7,26,10,0,0,1,0,0,0,0,7,14,13,1632699735156,blue,NA1_4053982258
25746,326,72,27415,27415,358,88,27277,26,6,0,0,0,0,1,0,0,11,20,12,24,8,0,0,1,0,0,0,0,12,17,11,1632770276109,red,NA1_4054914159
24406,301,82,27120,26977,348,76,29060,27,7,0,0,1,0,0,0,0,11,15,13,28,9,0,0,0,0,1,1,0,13,10,11,1636342489543,red,NA1_4095455460
27685,367,100,30023,22374,343,77,27043,35,9,1,0,1,0,2,1,0,9,12,3,25,6,0,0,0,0,0,0,0,3,6,9,1635794101821,blue,NA1_4088202349
27764,409,106,29978,23026,295,92,26905,30,8,0,0,0,1,2,0,0,10,11,6,26,3,0,0,0,0,0,1,0,6,10,10,1636348300883,blue,NA1_4095543039
28773,310,75,29492,27092,378,92,29433,28,10,0,0,0,1,1,1,0,14,19,11,34,4,0,0,0,0,1,0,0,11,8,14,1633497837150,blue,NA1_4063210146
29009,365,86,32166,26416,405,92,29418,27,4,0,1,1,0,2,1,0,14,14,8,21,9,0,0,0,0,0,0,0,8,9,14,1636497801351,blue,NA1_4097604584
26997,340,81,26930,25820,347,100,27094,26,3,1,0,0,1,1,0,0,8,13,8,26,6,0,0,0,0,0,1,0,8,11,8,1632774939430,blue,NA1_4054980355
22734,349,83,28660,28002,354,104,31476,29,9,0,0,0,0,0,0,0,4,4,11,30,12,0,1,1,0,1,1,0,11,11,4,1634951463164,red,NA1_4078752252
23462,317,89,27886,30483,364,89,31199,31,7,0,0,0,0,0,0,0,5,7,14,25,9,0,0,0,1,3,1,0,14,20,5,1636772400512,red,NA1_4101336769
25670,309,79,27346,30298,342,96,31434,27,6,0,1,0,0,0,0,0,11,12,19,22,2,0,0,0,1,1,1,0,19,20,11,1632206094633,red,NA1_4048430363
29909,377,102,30852,24318,304,91,27415,27,7,0,0,1,1,4,1,0,12,9,6,24,5,0,0,0,0,1,0,0,6,7,12,1635731440077,blue,NA1_4087668646
25577,372,93,28549,30278,352,114,33836,27,5,0,0,0,0,0,1,0,5,6,17,27,10,0,0,1,0,1,0,0,17,20,5,1636849987321,red,NA1_4102553097
29241,338,78,30185,32512,367,80,29422,28,6,0,0,0,0,1,0,0,14,16,15,24,6,0,1,0,1,4,1,0,15,23,14,1635398158991,red,NA1_4083917206
26586,336,73,29454,29636,305,97,30234,27,7,1,0,1,0,1,0,0,11,20,14,37,7,0,0,0,0,2,1,0,14,16,11,1633662074234,blue,NA1_4064868689
28706,331,112,30187,24120,316,75,26696,26,6,0,1,0,0,1,0,0,14,20,7,32,6,1,0,0,0,0,1,0,7,9,14,1635823100631,blue,NA1_4088537055
22505,332,76,27820,29990,337,98,31493,19,7,0,0,0,0,0,0,0,6,6,17,23,7,0,1,0,0,1,1,0,17,17,6,1636686745871,red,NA1_4100351275
29564,293,124,34592,22436,273,74,25755,22,11,0,0,0,0,0,1,0,21,15,5,28,3,0,0,0,1,0,0,0,5,8,21,1632684527861,blue,NA1_4053734763
31859,338,71,32391,29070,293,84,27432,25,10,0,0,0,0,1,0,0,21,21,16,28,3,1,0,0,0,2,1,0,16,19,21,1635440179060,red,NA1_4084187571
24714,314,94,26939,27936,312,84,29449,25,10,0,0,0,1,0,0,0,10,16,13,28,5,0,0,1,0,1,1,0,13,19,10,1632777981135,red,NA1_4055033454
25188,334,73,27282,27362,358,102,28784,28,8,0,1,0,0,0,1,0,10,14,9,32,7,1,0,0,0,1,0,0,9,11,10,1635374024777,blue,NA1_4083563017
26006,328,92,30174,26261,346,100,29863,26,6,0,0,0,0,0,0,0,13,11,12,28,2,0,1,0,0,0,0,0,12,13,13,1635377556805,red,NA1_4083587863
30492,393,104,31483,26214,320,96,28253,30,6,0,0,0,0,4,1,0,11,14,11,28,3,1,0,0,0,0,0,0,11,19,11,1632680186082,blue,NA1_4053705240
29138,347,105,30728,26585,404,97,30528,25,6,0,0,0,0,2,1,0,12,17,8,28,6,0,0,1,1,0,0,0,8,8,12,1632710768204,blue,NA1_4054421807
