blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
24719,415,90,29271,25127,386,100,29209,20,6,0,0,0,0,0,0,0,5,6,7,28,2,1,0,1,0,0,1,0,7,11,5,1621633129420,blue,NA1_3915316122
29114,327,69,28270,28543,327,102,30640,35,8,0,0,0,0,1,1,0,16,29,14,24,10,1,1,0,0,0,0,0,14,22,16,1621982580194,red,NA1_3920106132
27987,344,85,30010,25339,349,88,29444,20,7,0,0,0,0,1,0,0,14,17,10,26,6,0,0,0,1,0,0,0,10,9,14,1621549175543,red,NA1_3914023998
25129,351,91,29047,26078,344,106,27978,26,8,0,0,1,0,0,0,0,6,10,7,27,9,1,0,0,0,1,1,0,7,13,6,1623880952476,blue,NA1_3946316527
30451,321,103,32697,26878,339,91,30901,21,5,0,0,0,0,2,1,0,20,14,14,28,6,0,0,0,1,0,0,0,14,13,20,1624352562595,red,NA1_3952413464
22980,302,76,25950,28079,403,95,31909,25,9,0,0,0,0,0,1,0,4,6,14,34,8,0,1,0,1,0,0,0,14,21,4,1622155903322,red,NA1_3922463776
23940,355,80,27998,29943,362,106,32361,24,6,0,0,0,0,0,0,0,6,10,16,24,7,1,0,1,0,2,1,0,16,21,6,1621558776504,red,NA1_3914156241
25343,369,84,28611,25180,385,101,31038,28,6,0,0,0,0,1,1,0,6,7,9,26,13,0,1,1,0,0,0,0,9,8,6,1621630523767,blue,NA1_3915282509
26876,342,84,30006,25701,330,88,29015,27,5,0,0,0,0,0,0,0,12,17,12,24,8,0,0,1,0,0,0,0,12,16,12,1623896190660,blue,NA1_3946495964
27521,359,107,31199,26067,366,86,29691,24,7,0,0,0,0,0,1,0,10,8,10,29,3,0,1,0,1,0,0,0,10,12,10,1624133726462,blue,NA1_3949422110
