blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
25472,311,79,28122,28066,357,92,31003,21,8,0,0,0,0,0,1,0,12,15,13,27,4,1,0,1,0,1,0,0,13,11,12,1632721298682,red,NA1_4054559094
28383,327,94,29448,28833,357,83,29883,25,6,1,0,0,0,2,1,0,11,12,15,24,9,0,0,0,1,2,0,0,15,17,11,1635383042943,blue,NA1_4083689972
30582,344,93,31255,23146,324,80,26233,24,4,1,0,0,0,1,1,0,18,19,8,23,2,0,0,1,0,0,0,0,8,11,18,1635457585480,blue,NA1_4084499772
26975,381,84,30604,25083,324,70,27754,25,4,0,0,1,0,1,1,0,13,9,9,29,8,0,1,0,0,1,0,0,9,14,13,1633226359033,red,NA1_4060133872
26871,381,87,30964,25726,374,74,28862,26,7,0,1,0,0,0,0,0,11,11,8,31,10,1,0,0,0,0,0,0,8,9,11,1636947888648,blue,NA1_4103925494
27975,432,108,31127,24799,316,91,28155,26,12,0,0,0,0,0,0,0,9,5,8,34,7,1,0,1,0,1,1,0,8,15,9,1636949781760,blue,NA1_4103962650
28272,371,82,30439,22836,249,75,26089,26,11,0,0,0,0,2,0,0,12,14,9,24,6,0,0,1,1,0,0,0,9,15,12,1635792273761,blue,NA1_4088119605
27228,346,80,29230,29814,398,94,31127,25,4,0,1,0,0,0,0,0,11,18,13,33,10,0,0,0,1,1,1,0,13,15,11,1635804557017,blue,NA1_4088293846
26844,322,83,27546,29971,369,102,32477,27,6,0,0,0,0,1,1,0,10,9,19,34,2,0,0,1,0,1,0,0,19,27,10,1633337888915,red,NA1_4061397786
28120,335,82,30688,26831,379,109,29806,29,6,1,0,0,0,2,1,0,13,9,9,22,8,0,0,0,1,0,0,0,9,7,13,1635547072880,red,NA1_4085530958
28914,347,93,30587,24714,367,82,28253,29,10,0,0,0,0,0,0,0,16,23,9,23,10,0,1,0,1,0,1,0,9,7,16,1635455633351,blue,NA1_4084376594
32695,437,109,33191,24862,361,89,28936,32,7,0,0,1,1,2,0,0,16,19,8,29,6,0,0,0,0,0,0,0,8,11,16,1634639667318,blue,NA1_4075483907
25799,341,102,29464,27386,394,63,29336,23,8,0,1,0,0,0,0,0,9,13,7,30,1,0,0,0,0,1,1,0,7,8,9,1634797546044,red,NA1_4077434106
23103,324,89,25987,32027,348,85,33706,25,3,0,0,0,0,0,0,0,6,4,22,27,5,0,0,1,1,2,0,0,22,18,6,1633144207636,red,NA1_4058993021
24513,371,83,27971,26913,330,90,28662,25,12,0,0,1,0,0,0,0,8,10,11,36,4,0,0,0,0,1,1,0,11,20,8,1635541029332,blue,NA1_4085432248
27304,382,115,31361,25009,356,80,28645,31,6,0,1,0,1,0,0,0,8,10,7,24,10,0,0,0,0,1,1,0,7,8,8,1633847168394,blue,NA1_4067082694
26815,370,77,28722,28483,367,109,29883,27,5,0,1,0,1,0,0,0,10,9,13,24,10,0,0,0,0,1,0,0,13,17,10,1633228365655,red,NA1_4060180078
26103,348,106,29654,27714,336,107,30462,27,6,0,0,0,0,0,0,0,8,12,11,29,4,0,0,1,1,1,1,0,11,19,8,1636772493716,red,NA1_4101316961
26287,351,65,27484,28533,354,100,30210,20,10,0,0,0,0,0,0,0,12,16,14,27,4,0,0,1,1,1,1,0,14,19,12,1634198644902,red,NA1_4070719132
26847,323,75,28679,25798,329,81,27769,24,11,0,0,1,0,1,0,0,12,15,13,27,7,0,0,0,1,0,0,0,13,15,12,1633408747964,red,NA1_4062044424
27725,409,104,30746,24750,341,90,27107,25,8,1,0,0,0,1,0,0,8,8,5,22,9,0,0,0,0,1,1,0,5,5,8,1635794314830,blue,NA1_4088182096
24861,344,88,29341,27559,415,94,33337,20,4,0,0,0,0,0,1,0,7,7,13,21,4,0,0,1,0,0,0,0,13,7,7,1632733548881,red,NA1_4054725450
28353,349,88,31337,26379,353,100,30349,30,6,1,1,0,0,0,0,0,13,13,10,28,5,0,0,0,0,0,0,0,10,13,13,1633329801495,blue,NA1_4061360101
26799,334,60,27313,24604,325,100,29123,24,5,0,0,1,1,2,1,0,11,16,8,26,2,0,0,0,0,0,0,0,8,7,11,1635460272187,red,NA1_4084551793
26224,358,108,30299,24488,370,91,28679,38,3,1,0,0,1,1,1,0,9,7,7,27,11,0,0,0,0,0,0,0,7,10,9,1633755864976,blue,NA1_4065892431
32268,370,93,31508,24853,324,72,28007,31,10,0,0,0,0,2,1,0,19,24,9,26,5,0,1,0,0,0,0,0,9,12,19,1633141806981,blue,NA1_4058955618
25358,325,92,29243,25638,315,71,30239,25,1,0,0,0,0,0,0,0,9,10,13,24,8,0,0,1,1,0,1,0,13,15,9,1635550926738,red,NA1_4085566871
31372,296,96,31363,25638,312,71,26431,23,5,1,0,0,1,1,1,0,23,21,12,26,4,0,0,0,0,0,0,0,12,10,23,1633854157460,blue,NA1_4067183406
26061,371,100,28639,25120,339,88,27577,29,12,0,1,0,0,0,0,0,9,12,7,32,5,0,0,0,1,0,1,0,7,10,9,1635463196392,blue,NA1_4084516986
24292,385,78,29611,33310,375,125,35559,29,4,0,0,0,0,0,0,0,8,5,21,27,6,1,1,0,0,1,0,0,21,17,8,1635380658797,red,NA1_4083674559
30591,377,91,31301,26505,316,77,27903,29,8,1,0,0,0,2,1,0,17,14,13,22,8,0,0,0,0,0,0,0,13,10,17,1636774537341,blue,NA1_4101384241
28931,327,90,29381,28600,315,94,31002,26,7,0,1,1,0,1,0,0,17,16,17,31,6,0,0,0,0,0,0,0,17,12,17,1635385331159,red,NA1_4083685414
26019,304,61,28311,24140,367,98,27285,28,4,0,0,0,1,1,1,0,11,19,7,24,4,0,1,0,0,0,0,0,7,4,11,1633758493669,blue,NA1_4065888899
28557,404,91,32100,26313,364,92,29344,23,5,0,1,0,0,1,0,0,12,12,9,23,6,0,0,0,0,1,1,0,9,9,12,1636430276705,blue,NA1_4096846552
26824,324,88,28140,30477,375,94,31223,28,12,0,0,0,0,0,0,0,10,8,17,31,10,0,1,0,0,1,1,0,17,26,10,1636512948087,red,NA1_4097862076
24130,372,98,30782,26601,394,105,29551,23,10,0,0,0,0,0,0,0,5,4,7,25,10,0,1,1,0,1,0,0,7,7,5,1632886964276,blue,NA1_4056228647
21859,285,68,24627,35527,345,108,32033,24,3,0,0,0,0,0,0,0,5,6,24,23,5,0,0,1,0,6,1,0,24,21,5,1632889013554,red,NA1_4056236278
28239,306,75,30908,30601,325,79,28654,23,6,0,0,0,0,0,0,0,15,15,17,26,5,0,1,0,0,3,1,0,17,20,15,1633858984177,blue,NA1_4067158494
