blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
32011,369,99,33808,23330,332,44,26256,31,5,0,0,1,0,1,1,0,19,20,7,23,8,0,0,0,0,0,0,0,7,8,19,1633061471831,blue,NA1_4058223555
27783,395,68,28451,30171,308,101,30796,25,8,0,0,0,0,1,0,0,11,17,16,30,6,1,0,0,0,1,1,0,16,17,11,1635633618949,red,NA1_4086356810
23415,315,112,28204,27366,337,96,30364,23,5,0,0,0,0,0,0,0,7,4,14,32,6,0,1,0,0,0,0,0,14,14,7,1632890660779,red,NA1_4056237911
29459,384,70,31089,25854,354,93,31066,29,6,0,0,1,0,1,1,0,13,13,11,35,8,0,1,0,0,0,0,0,11,15,13,1631415488252,red,NA1_4039903020
27338,260,83,26646,30964,333,76,30013,31,7,0,0,0,0,0,0,0,13,13,19,25,10,1,0,0,0,1,1,0,19,20,13,1627175462611,red,NA1_3988377386
31224,435,103,32522,22505,298,77,27413,24,10,1,1,0,0,2,1,0,11,13,7,31,7,0,0,0,0,0,0,0,7,12,11,1635727452273,blue,NA1_4087661939
28876,402,98,31362,28980,285,120,31642,28,7,0,0,0,0,1,0,0,15,15,16,24,4,0,1,0,0,0,1,0,16,24,15,1630030624043,red,NA1_4023909935
32163,371,105,32150,24077,302,78,27219,24,7,0,1,0,0,3,1,0,20,24,9,30,4,0,0,0,0,0,0,0,9,12,20,1633065662567,blue,NA1_4058283284
24477,303,59,29301,26994,361,96,29929,21,7,0,0,0,0,1,1,0,11,6,8,30,4,0,1,1,0,1,0,0,8,6,11,1630551891362,blue,NA1_4029886436
30035,396,115,32786,24995,350,79,28667,29,14,0,0,0,1,1,0,0,15,21,8,30,8,0,0,1,0,0,1,0,8,9,15,1635835422325,blue,NA1_4088733992
26064,393,77,31284,23965,348,62,28824,26,8,0,0,0,0,0,0,0,10,13,8,33,8,1,0,0,0,0,0,0,8,11,10,1628130600872,red,NA1_4000752369
27349,365,97,28855,24653,314,82,30707,21,2,1,0,0,1,1,1,0,9,9,10,28,3,0,0,0,0,0,0,0,10,8,9,1631328643819,blue,NA1_4038669572
26071,358,83,26463,29713,346,100,30577,26,4,0,1,0,0,0,0,0,9,12,16,25,3,1,0,0,0,2,1,0,16,15,9,1629356626347,red,NA1_4015956295
24317,338,89,24851,32632,354,95,31227,26,8,0,0,0,0,0,0,0,7,8,20,31,5,1,0,0,0,4,1,0,20,22,7,1635570870990,red,NA1_4085910633
26070,314,92,29273,25352,348,92,27778,27,10,0,0,1,0,1,1,0,10,12,7,34,7,1,0,0,0,0,0,0,7,9,10,1632446948366,red,NA1_4050820823
34209,373,98,33495,23990,318,76,25603,32,7,1,1,0,0,3,0,0,24,25,5,24,6,0,0,0,0,1,1,0,5,5,24,1633144259151,blue,NA1_4058975455
30237,356,86,29692,31406,370,56,32791,17,2,0,0,0,0,2,1,0,16,19,22,20,3,1,0,0,0,1,0,0,22,28,16,1635575520467,red,NA1_4085970218
28004,316,56,26825,33961,322,80,29965,28,2,0,0,0,0,1,1,0,14,20,27,22,9,0,1,1,0,1,0,0,27,34,14,1633149278790,red,NA1_4059046651
27066,341,84,28205,30685,359,104,31922,31,8,0,0,0,1,0,0,0,12,21,17,24,7,1,0,0,0,1,1,0,17,23,12,1630546710237,blue,NA1_4029742979
30716,345,103,29027,28618,367,64,29506,27,5,1,0,0,0,2,1,0,15,21,12,29,5,0,0,0,1,0,0,0,12,13,15,1635582566786,red,NA1_4086010745
26110,276,72,26959,36535,385,103,34439,26,4,0,0,0,0,0,0,0,14,16,29,21,5,1,1,0,0,2,1,0,29,21,14,1635563090336,red,NA1_4085772326
29496,365,86,30900,25562,358,72,27855,25,7,0,0,0,1,2,0,0,16,17,9,23,4,0,0,1,0,0,0,0,9,10,16,1633056406236,blue,NA1_4058141331
25252,322,89,27417,32180,358,87,32125,22,7,0,0,0,0,0,0,0,9,13,20,31,8,1,0,0,0,2,1,0,20,30,9,1635735460564,red,NA1_4087769990
26283,344,72,28019,35754,407,112,35153,30,5,0,0,0,0,0,0,0,11,9,27,23,5,1,0,1,0,2,1,0,27,24,11,1635566608543,red,NA1_4085812508
26860,326,92,29747,30411,373,105,30951,26,7,1,1,0,0,0,1,0,12,17,11,30,7,0,0,0,0,1,0,0,11,22,12,1635639242721,red,NA1_4086465831
26246,361,86,29719,27090,317,78,30337,26,7,0,1,0,0,0,0,0,10,10,15,26,6,0,0,0,1,0,0,0,15,13,10,1633058958423,blue,NA1_4058166105
26164,363,103,29819,21144,333,75,27469,28,8,0,0,1,0,0,1,0,7,11,3,25,6,1,0,0,0,0,0,0,3,4,7,1631076522422,blue,NA1_4035939159
25767,344,85,28193,29139,364,99,30127,21,5,0,0,0,1,1,1,0,9,14,11,29,5,0,1,0,0,2,0,0,11,13,9,1631322764282,red,NA1_4038596213
25526,289,78,28852,27083,355,88,28632,27,7,0,0,0,0,0,1,0,14,14,10,27,5,0,1,0,1,1,0,0,10,13,14,1626660142864,red,NA1_3981753377
26114,305,77,29797,28314,326,142,30460,32,3,0,0,1,0,0,0,0,13,15,11,21,5,0,0,0,1,0,1,0,11,11,13,1629873757767,red,NA1_4022148811
23632,331,80,28228,28947,405,88,32947,29,8,1,0,0,0,0,0,0,5,3,14,27,6,0,1,0,0,2,1,0,14,13,5,1635635545545,red,NA1_4086411182
23465,344,80,26837,32273,357,101,32773,25,3,0,1,0,0,0,1,0,5,5,20,26,8,1,0,0,0,2,0,0,20,21,5,1627178411700,red,NA1_3988490781
31208,353,84,29921,28655,355,92,30282,32,8,0,0,1,0,1,1,0,15,20,10,31,8,0,0,0,0,2,0,0,10,16,15,1635628556695,blue,NA1_4086317406
24502,353,80,30281,26596,343,81,29243,31,9,0,0,0,1,0,0,0,9,11,9,30,11,0,0,0,0,1,1,0,9,7,9,1628135987385,blue,NA1_4000884920
24392,364,92,28396,25472,346,90,30351,28,11,1,0,0,0,0,1,0,6,5,11,36,7,0,0,0,1,0,0,0,11,21,6,1630548968359,red,NA1_4029797616
33565,378,86,31914,26948,313,67,29090,23,8,0,0,0,0,3,1,0,20,23,13,26,6,0,0,0,0,1,0,0,13,25,20,1632796164529,blue,NA1_4055302590
26493,359,85,29911,28636,310,73,28783,28,5,0,0,0,1,0,0,0,10,10,13,30,6,0,0,0,0,0,1,0,13,16,10,1632800802587,red,NA1_4055373917
30807,276,100,28526,24136,251,62,24907,35,7,1,0,0,0,0,1,0,18,26,10,34,10,0,0,0,0,0,0,0,10,13,18,1630650325709,blue,NA1_4031010671
37217,397,90,34645,22888,304,62,26726,27,6,0,0,0,1,10,1,0,21,18,8,16,8,0,0,0,0,0,0,0,8,4,21,1635579440026,blue,NA1_4085977811
30055,314,92,31111,26446,338,73,29394,28,5,0,0,0,0,2,1,0,16,17,12,29,6,0,1,0,0,0,0,0,12,20,16,1635929225955,blue,NA1_4089742032
24660,304,92,28676,23760,330,96,27162,30,8,0,0,0,1,0,0,0,10,8,6,25,2,0,0,0,0,0,1,0,6,3,10,1632882428704,red,NA1_4056117112
27529,373,69,29850,28410,319,77,28795,26,7,0,0,0,1,0,0,0,13,15,14,26,7,1,0,0,0,1,1,0,14,20,13,1635843441389,blue,NA1_4088812405
28942,347,87,31169,28598,367,75,29186,27,8,0,0,1,0,1,0,0,16,19,13,38,8,1,0,0,0,1,1,0,13,14,16,1635545714112,blue,NA1_4085499757
