blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
24170,367,58,27114,34447,382,114,32784,28,11,0,0,0,0,0,0,0,6,10,21,32,11,0,0,1,0,4,1,0,21,30,6,1629845442670,red,NA1_4021735096
30613,386,96,31196,21791,341,79,27009,31,11,0,1,0,0,1,1,0,13,21,4,33,8,0,0,0,0,0,0,0,4,7,13,1629347746602,blue,NA1_4015827844
22268,295,54,26173,31453,377,92,34202,24,4,0,0,0,0,0,0,0,6,7,18,22,7,0,0,1,0,2,0,0,18,24,6,1636330273053,red,NA1_4095178239
31547,330,86,32899,26369,275,92,29018,18,9,1,0,1,0,2,1,0,23,21,13,29,2,0,0,0,0,0,0,0,13,13,23,1636141873275,red,NA1_4092441796
25648,285,73,25539,30558,297,96,27658,33,6,0,0,0,0,0,0,0,12,21,21,27,14,0,0,0,1,1,1,0,21,25,12,1635657444796,red,NA1_4086734254
31984,334,96,29757,22631,321,78,25747,26,9,1,1,0,0,2,2,0,18,26,5,27,4,0,0,0,0,0,0,0,5,7,18,1635797268450,blue,NA1_4088186729
26343,368,73,28238,27997,352,84,31225,27,6,0,0,0,0,0,0,0,10,9,12,24,6,1,0,0,1,2,0,0,12,13,10,1636303266951,red,NA1_4094782724
28878,317,71,28089,26402,297,89,26509,20,5,0,0,0,0,1,0,0,17,15,13,25,7,0,0,1,0,0,0,0,13,23,17,1636661524817,blue,NA1_4099912699
32603,314,93,31147,31736,343,104,32205,21,9,0,0,0,0,1,1,0,22,28,22,23,1,0,1,0,1,1,0,0,22,30,22,1636326156550,blue,NA1_4095108134
27357,380,96,30415,23128,330,82,28808,27,7,0,0,0,0,1,1,0,12,7,6,23,5,1,0,1,0,0,0,0,6,5,12,1629396662643,blue,NA1_4016276381
30149,367,97,31136,26527,356,104,29834,29,13,0,0,1,0,0,1,0,14,25,11,34,6,1,0,0,0,0,0,0,11,19,14,1630123652697,blue,NA1_4025145026
28384,356,67,31077,27965,369,94,28856,29,9,0,0,0,0,1,1,0,15,17,10,25,7,0,0,1,1,2,0,0,10,10,15,1628882143894,red,NA1_4009750179
26102,332,83,27701,28502,352,88,28606,25,7,0,0,0,1,1,1,0,11,17,14,33,13,0,0,0,0,1,0,0,14,19,11,1635642843499,blue,NA1_4086531667
26598,372,73,28586,27742,331,100,32016,29,6,0,0,0,0,1,0,0,10,10,17,26,12,1,0,1,0,0,0,0,17,14,10,1635635622408,red,NA1_4086440026
29623,392,91,32191,23776,373,92,27331,25,8,1,0,0,1,1,1,0,16,19,3,28,10,0,0,0,0,0,0,0,3,5,16,1630040718492,blue,NA1_4024065303
28926,375,58,32579,28171,371,134,30392,26,8,0,0,0,0,0,0,0,17,17,9,23,6,0,1,0,0,1,1,0,9,13,17,1629345627235,red,NA1_4015851486
25812,346,85,26506,32485,314,99,31800,36,6,0,0,0,0,1,1,0,7,7,24,31,10,1,0,0,1,0,0,0,24,32,7,1630120867928,red,NA1_4025098084
30317,384,87,31726,19154,269,84,22363,24,7,0,0,1,0,5,0,0,11,17,1,25,2,0,0,0,0,0,0,0,1,1,11,1636523111777,blue,NA1_4098084160
25469,335,91,29023,27148,373,84,27508,30,9,1,0,0,0,0,0,0,10,10,13,32,12,0,0,0,0,0,0,0,13,18,10,1628987926023,blue,NA1_4011230838
28077,311,84,29826,31915,340,100,31936,22,5,0,0,0,0,0,0,0,15,24,21,32,5,0,0,0,1,0,1,0,21,22,15,1636395952272,red,NA1_4096008732
22584,315,67,24822,30980,347,93,30428,29,8,0,1,0,0,0,0,0,8,13,18,28,12,0,0,0,0,1,1,0,18,28,8,1635881808752,red,NA1_4089062308
26062,347,85,29861,27511,361,104,30230,29,8,0,0,0,0,0,0,0,9,13,11,32,3,1,1,0,0,2,1,0,11,10,9,1636586086053,red,NA1_4098647777
29707,374,100,33287,26914,365,101,30030,30,11,0,0,0,1,1,1,0,16,12,10,30,7,1,0,0,0,0,0,0,10,21,16,1635794408236,red,NA1_4088202077
25465,334,108,28247,29677,335,93,31253,31,7,0,0,0,0,1,0,0,6,14,17,31,12,0,1,1,0,1,1,0,17,34,6,1629224702485,blue,NA1_4014112406
29050,359,98,29321,23773,300,83,27107,35,7,0,0,0,1,2,1,0,12,18,8,24,10,0,0,0,0,1,0,0,8,7,12,1628999859792,blue,NA1_4011349373
27651,358,84,29584,27107,343,71,26651,24,13,0,0,0,0,0,0,0,14,20,11,33,7,0,1,0,0,0,1,0,11,12,14,1629266520069,blue,NA1_4014726236
27083,315,62,28133,31546,348,120,32279,29,7,0,0,0,0,0,0,0,13,16,19,26,8,0,1,0,0,1,1,0,19,13,13,1635860882819,red,NA1_4088893133
27623,301,104,29192,30262,384,62,30686,26,4,0,0,1,1,1,1,0,11,9,19,26,6,0,0,0,0,1,0,0,19,29,11,1635828947547,red,NA1_4088680000
33299,387,89,33165,24520,332,76,28861,33,11,0,0,1,0,3,1,0,20,22,8,28,7,0,0,0,0,0,0,0,8,5,20,1630035687877,blue,NA1_4023993878
23495,363,94,28725,31740,419,95,33273,30,7,0,0,0,0,0,0,0,5,4,15,29,12,0,0,1,1,2,1,0,15,14,5,1629311542676,red,NA1_4015028316
