blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
29264,324,100,30900,27950,393,84,29359,28,6,0,1,0,0,1,0,0,15,14,9,25,5,1,0,0,0,1,1,0,9,9,15,1635330080237,blue,NA1_4083238320
23370,346,100,26571,27165,328,98,30635,24,5,0,0,0,0,0,0,0,5,5,14,25,8,1,0,0,0,1,1,0,14,28,5,1611731101897,red,NA1_3761723236
26649,337,95,25809,26806,296,84,28071,27,6,0,0,0,0,1,1,0,9,13,14,29,12,0,0,1,1,1,0,0,14,23,9,1611885024821,red,NA1_3763965986
22710,330,92,26891,26814,356,100,31545,21,3,0,0,0,0,0,1,0,5,5,15,20,8,1,0,0,0,0,0,0,15,17,5,1625712577756,red,NA1_3969823508
25513,388,132,29888,26579,393,85,31854,30,10,0,0,0,1,1,1,0,4,2,11,31,7,0,0,1,0,1,0,0,11,10,4,1613456570533,red,NA1_3790082525
30483,388,91,32451,27123,363,104,29955,30,12,0,1,0,0,1,0,0,17,26,8,23,5,0,0,0,0,0,1,0,8,8,17,1614915876346,red,NA1_3812037488
29510,307,90,32343,24968,330,83,27459,34,16,0,0,1,0,1,1,0,18,20,8,37,5,0,0,0,0,0,0,0,8,7,18,1625716756933,blue,NA1_3969874706
23950,278,76,27929,28876,338,80,29331,27,12,0,0,0,0,0,0,0,10,18,14,30,9,0,1,0,1,0,0,0,14,15,10,1614912593189,red,NA1_3811946602
27155,350,93,30383,24783,391,89,29926,30,5,0,0,0,1,1,1,0,7,10,9,25,5,0,0,0,0,0,0,0,9,9,7,1613006611577,red,NA1_3782771254
26211,307,91,28796,24709,353,85,27654,30,9,0,0,1,0,0,0,0,12,25,3,29,5,0,0,0,0,1,0,0,3,2,12,1630118331126,red,NA1_4025040973
25350,342,81,27630,26613,352,84,30016,24,2,0,0,1,0,1,1,0,8,15,10,23,7,0,0,0,0,0,0,0,10,14,8,1622667445638,red,NA1_3929759497
28700,378,92,31569,23839,375,92,31161,26,6,1,0,0,0,2,1,0,8,10,6,27,6,0,0,1,0,0,0,0,6,4,8,1619418740367,blue,NA1_3881751634
28041,355,108,30915,25420,318,91,29216,25,5,0,0,0,0,1,0,0,12,14,11,25,5,1,0,0,1,0,1,0,11,15,12,1611711653181,blue,NA1_3761287166
23962,353,85,30013,28631,415,106,34164,25,4,0,0,0,0,0,0,0,7,5,11,20,9,0,1,0,1,0,1,0,11,13,7,1614485629377,red,NA1_3805979924
29239,360,83,31407,27566,314,116,29453,27,7,0,0,1,0,0,0,0,19,16,8,29,7,0,0,0,0,1,1,0,8,6,19,1619579726380,blue,NA1_3883960209
25330,388,88,29776,27034,353,118,29979,29,10,0,0,0,0,0,0,0,9,11,10,30,9,1,0,0,1,1,1,0,10,11,9,1612724943969,red,NA1_3778163890
