blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
28998,330,77,32512,24595,355,104,29245,30,10,0,1,0,0,2,1,0,14,21,7,30,6,1,0,0,0,0,0,0,7,8,14,1636163691863,blue,NA1_4092687534
29029,358,90,31145,27467,302,95,30490,30,7,0,0,0,1,0,0,0,14,17,14,28,2,0,0,0,0,0,1,0,14,20,14,1636670242173,red,NA1_4100059832
29304,379,84,30682,28367,288,75,30545,20,9,0,0,0,1,1,1,0,15,12,16,42,6,0,0,0,0,0,0,0,16,26,15,1636758488512,red,NA1_4101085845
27662,326,67,27878,30448,327,95,29872,30,6,0,0,0,0,1,1,0,12,15,18,28,9,1,0,0,1,1,0,0,18,27,12,1636525380551,blue,NA1_4098098144
22879,361,84,29181,25977,382,76,31967,29,13,0,0,0,1,0,0,0,6,7,10,25,5,0,0,0,0,0,1,0,10,9,6,1635973134252,red,NA1_4090353750
27357,329,83,29623,29071,330,59,27961,31,6,0,0,0,0,0,0,0,17,22,17,25,8,1,0,0,0,1,0,0,17,20,17,1636859476120,blue,NA1_4102704899
23816,319,104,28452,27963,389,89,30113,30,9,0,0,0,0,0,0,0,7,9,14,30,5,1,1,0,0,0,0,0,14,21,7,1635981298977,blue,NA1_4090488808
31984,334,96,29757,22631,321,78,25747,26,9,1,1,0,0,2,2,0,18,26,5,27,4,0,0,0,0,0,0,0,5,7,18,1635797268450,blue,NA1_4088186729
26308,348,96,26958,25432,372,78,30153,27,5,0,0,1,0,1,1,0,5,8,10,30,4,0,1,0,0,0,0,0,10,23,5,1636672715015,red,NA1_4100035606
29473,349,92,28968,24970,320,84,26768,31,5,0,0,0,0,1,1,0,14,14,8,24,6,0,1,0,0,1,0,0,8,11,14,1636707618208,blue,NA1_4100654298
29828,299,70,28444,30582,369,90,29025,32,6,0,0,0,0,1,1,0,16,27,16,22,7,0,0,1,1,2,0,0,16,19,16,1636590260758,blue,NA1_4098746099
32016,347,71,30703,28172,317,75,28441,20,4,0,0,0,0,2,1,0,20,20,15,22,3,0,0,0,1,1,0,0,15,22,20,1636700388428,blue,NA1_4100570997
28028,372,72,28695,31651,308,110,32790,29,8,0,0,0,0,1,1,0,13,14,20,31,7,1,0,0,0,1,0,0,20,41,13,1636760341730,red,NA1_4101190011
25827,349,72,27292,29224,303,84,29638,30,4,0,0,0,1,0,0,0,10,8,15,26,10,1,0,0,0,1,1,0,15,17,10,1636597351128,red,NA1_4098845421
27523,350,95,27864,28187,376,87,29343,31,6,0,0,0,0,1,1,0,10,11,14,23,13,0,0,0,1,1,0,0,14,20,10,1636763798961,blue,NA1_4101135338
28495,361,86,31502,21724,341,88,26964,28,5,0,0,1,0,0,1,0,14,15,2,25,8,0,0,0,0,0,0,0,2,2,14,1636072931106,blue,NA1_4091569452
26280,299,72,26803,27601,374,105,29844,35,4,0,0,0,0,1,0,0,10,14,9,27,15,1,0,1,0,1,1,0,9,12,10,1635799922899,red,NA1_4088228378
30902,355,105,31782,25431,337,70,28070,29,7,1,0,0,0,1,1,0,18,21,10,23,10,0,0,0,1,0,0,0,10,17,18,1635459732017,blue,NA1_4084561696
20735,242,73,21667,34272,350,98,28792,26,5,0,0,0,0,0,0,0,6,10,17,27,9,0,0,0,0,5,1,0,17,25,6,1636585668908,red,NA1_4098648919
26506,335,101,27574,25731,308,74,28792,29,11,0,1,0,0,2,1,0,6,6,15,28,4,0,0,0,0,0,0,0,15,15,6,1636156541680,red,NA1_4092579330
28449,356,84,30094,30351,321,75,29223,30,4,0,0,0,0,0,0,0,13,19,18,27,6,1,1,0,0,2,1,0,18,25,13,1629339018607,blue,NA1_4015644404
24610,286,78,26602,30810,367,101,30904,22,8,0,0,0,0,0,0,0,12,19,14,31,10,0,0,0,1,1,1,0,14,22,12,1635832619995,blue,NA1_4088659669
29773,276,80,29022,26894,289,67,28803,38,8,1,0,0,0,1,1,0,21,29,14,29,5,0,0,0,0,0,0,0,14,18,21,1636678070206,red,NA1_4100098216
28053,337,75,29807,26080,310,84,27393,38,7,1,0,0,0,0,0,0,11,18,11,26,6,0,0,0,0,1,1,0,11,13,11,1636161623161,red,NA1_4092709985
28327,294,104,31603,26107,369,80,30507,25,4,0,0,1,0,1,1,0,16,13,10,26,1,0,0,0,0,0,0,0,10,7,16,1636854869595,blue,NA1_4102642911
29866,379,108,31874,24548,323,82,28778,29,11,0,1,0,0,1,0,0,10,14,9,22,5,0,0,0,0,0,0,0,9,8,10,1629164651753,blue,NA1_4013436337
31465,383,94,28719,22791,181,97,25302,25,5,1,0,0,0,3,1,0,13,13,9,26,1,0,0,0,0,0,0,0,9,12,13,1636003777196,blue,NA1_4090922649
31518,344,82,31996,26984,324,93,29496,23,8,0,0,0,0,1,0,0,22,21,15,34,4,0,0,0,0,0,0,0,15,15,22,1636857226316,blue,NA1_4102670386
27156,273,96,27689,28077,317,66,28201,24,4,0,0,0,1,0,0,0,15,20,16,28,6,0,0,0,0,1,0,0,16,16,15,1629402129173,red,NA1_4016323480
26046,343,60,29205,25378,338,68,27917,30,9,0,0,0,0,1,1,0,14,12,9,24,12,0,0,0,0,1,0,0,9,12,14,1636588093671,blue,NA1_4098701720
