blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
25576,265,62,28481,31090,250,88,32611,25,1,0,0,1,0,1,1,0,11,5,23,19,4,0,0,0,1,1,0,0,23,23,11,1635722459152,red,NA1_4087544255
25345,298,76,28362,25767,298,60,30519,19,3,1,0,0,1,1,0,0,12,9,15,22,2,0,0,0,0,0,0,0,15,8,12,1636840904235,blue,NA1_4102283175
28804,288,80,30783,24221,273,80,27455,22,4,0,1,1,0,2,0,0,17,18,8,22,2,0,0,0,0,0,1,0,8,6,17,1629838494451,blue,NA1_4021654409
22703,289,83,27762,24932,235,76,26967,22,4,1,0,0,0,0,0,0,8,5,13,27,7,0,0,0,1,1,1,0,13,12,8,1636245730733,blue,NA1_4094046364
23144,311,56,26618,27322,290,96,31599,19,1,0,0,0,0,0,0,0,9,16,13,22,6,0,1,1,0,1,1,0,13,9,9,1632571452654,red,NA1_4052580818
24200,301,73,28403,26534,314,50,30242,22,3,0,0,1,0,0,1,0,11,5,14,24,7,0,1,0,0,1,0,0,14,14,11,1635844474382,blue,NA1_4088822420
28238,305,90,30166,19510,267,60,24602,25,7,1,0,0,1,3,0,0,11,17,2,27,3,0,0,0,0,0,1,0,2,3,11,1636842653588,blue,NA1_4102316005
25059,270,72,28827,27777,242,83,28427,24,2,0,1,0,0,0,0,0,12,7,14,23,3,0,0,0,1,2,0,0,14,12,12,1636897978612,red,NA1_4103167400
26359,319,94,29422,22712,287,69,28115,26,5,0,0,1,0,1,1,0,9,8,9,21,4,0,0,0,0,0,0,0,9,6,9,1635883126907,blue,NA1_4089024439
26144,281,80,30167,22395,273,68,26859,21,4,0,0,1,0,1,0,0,14,7,9,28,3,0,1,0,0,0,0,0,9,5,14,1636481360678,blue,NA1_4097398693
20519,266,67,25968,26167,302,80,29522,26,6,0,0,0,0,0,0,0,3,3,15,24,5,0,1,1,0,0,1,0,15,8,3,1632429261903,red,NA1_4050552687
25960,260,68,28314,28021,268,60,29149,23,6,0,0,0,0,0,0,0,13,13,19,24,5,0,0,0,1,2,1,0,19,16,13,1630147605073,red,NA1_4025413460
22288,281,80,29531,24723,345,80,28924,16,7,0,0,1,0,0,0,0,7,4,8,37,4,0,1,0,0,0,1,0,8,7,7,1629840269596,red,NA1_4021666660
25056,360,72,28878,21399,285,80,27237,26,7,0,1,0,0,1,1,0,7,5,5,24,9,0,0,0,1,0,0,0,5,5,7,1636243201589,blue,NA1_4094011786
25086,241,76,26221,27189,274,60,28198,20,2,0,0,0,0,0,1,0,11,12,16,24,2,1,1,0,0,1,0,0,16,16,11,1636300473390,red,NA1_4094709174
22794,296,80,29174,21857,276,64,26529,24,3,1,0,1,0,0,0,0,8,7,6,25,2,0,0,0,0,0,0,0,6,5,8,1630452496015,blue,NA1_4028668880
25488,316,64,29908,25486,265,68,31237,22,6,0,0,0,0,0,0,0,14,14,18,21,5,1,0,1,0,0,1,0,18,9,14,1631298660459,red,NA1_4038288985
27905,308,76,29660,24657,241,88,28693,15,7,0,0,1,0,1,1,0,14,11,12,25,3,0,0,0,1,0,0,0,12,19,14,1636834475614,blue,NA1_4102051238
21136,199,48,23314,33429,338,72,32289,19,6,0,0,0,0,0,0,0,7,7,24,26,3,0,1,1,0,2,1,0,24,30,7,1629062754633,red,NA1_4012030695
28671,330,80,31182,23885,255,54,30087,16,5,0,0,0,0,0,1,0,12,12,12,24,1,1,0,1,0,1,0,0,12,6,12,1629065032966,blue,NA1_4012063290
24710,309,72,28228,25782,285,68,29162,19,4,0,0,1,0,0,1,0,11,11,10,17,5,0,0,0,0,1,0,0,10,14,11,1635792392977,blue,NA1_4088170541
28778,249,74,30067,25672,261,68,26237,27,5,0,0,1,0,1,0,0,21,25,11,19,6,0,0,0,0,0,1,0,11,15,21,1636469939488,red,NA1_4097333590
23090,240,68,28066,24781,292,92,29079,25,6,0,0,0,0,0,0,0,10,11,10,22,4,0,0,1,0,1,1,0,10,4,10,1630020049681,red,NA1_4023766074
26565,252,32,27935,32420,287,76,31489,19,4,0,0,0,0,0,0,0,17,10,20,25,2,1,0,0,0,4,0,0,20,19,17,1635718225271,red,NA1_4087524715
28481,238,63,31213,28525,270,88,31880,24,5,0,0,0,0,1,0,0,18,15,21,22,5,0,0,0,1,0,0,0,21,15,18,1636465792798,blue,NA1_4097320451
27970,258,80,28147,26091,227,84,28400,21,3,0,0,0,0,1,1,0,15,10,17,23,2,1,0,0,0,0,0,0,17,11,15,1634976541151,blue,NA1_4079406442
24432,258,73,27488,27665,283,87,29975,24,2,0,0,0,0,0,1,0,12,14,15,24,7,1,1,0,0,1,0,0,15,14,12,1630092867229,red,NA1_4024457904
22104,248,46,25362,29025,312,75,30082,23,5,0,0,0,0,0,0,0,8,6,16,28,7,1,0,1,0,2,1,0,16,20,8,1629842192579,red,NA1_4021701001
23847,292,60,28279,24320,294,71,27848,27,8,0,1,0,0,0,0,0,12,12,9,26,6,0,0,1,0,2,1,0,9,6,12,1636900589048,red,NA1_4103179055
28547,285,96,29330,27065,257,49,29905,22,2,0,1,1,0,0,0,0,18,17,21,20,4,0,0,0,0,0,0,0,21,12,18,1636406319598,blue,NA1_4096115575
22137,299,72,30507,25063,333,93,28921,28,7,1,1,0,0,0,0,0,7,2,7,19,10,0,0,0,0,1,1,0,7,8,7,1636483663984,red,NA1_4097470292
28452,304,76,30575,24675,289,79,28584,21,4,0,1,1,0,1,1,0,17,16,10,27,3,0,0,0,0,1,0,0,10,9,17,1635880369451,blue,NA1_4089040888
23051,286,68,27802,25874,256,68,28375,21,3,0,0,0,0,0,0,0,10,9,13,23,5,0,0,0,1,2,0,0,13,7,10,1629468522347,blue,NA1_4017039615
20207,305,8,23423,26202,262,80,28526,27,2,0,0,0,0,0,0,0,5,1,15,19,6,1,0,0,0,0,0,0,15,13,5,1635011446083,red,NA1_4079557631
31234,333,88,33107,21677,246,60,24965,15,3,0,1,0,0,4,1,0,20,15,6,22,2,0,0,0,1,0,0,0,6,7,20,1636894507070,blue,NA1_4103164937
24635,305,64,30297,24778,332,82,29059,29,8,0,1,0,0,0,0,0,12,9,8,26,5,1,0,0,0,1,1,0,8,5,12,1630222311863,blue,NA1_4026220124
32052,352,96,31486,20747,229,76,24977,23,3,1,1,0,0,1,1,0,19,12,6,15,1,0,0,0,0,0,0,0,6,6,19,1629151299380,blue,NA1_4013259165
