blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
26327,299,88,27262,23343,285,72,26645,24,2,0,0,0,0,2,0,0,12,11,7,19,4,1,0,0,0,0,0,0,7,4,12,1631917832403,blue,NA1_4045200852
30942,289,88,31539,23378,239,64,26518,22,5,0,1,1,0,2,1,0,23,18,10,13,2,0,0,0,0,0,0,0,10,6,23,1632275307249,blue,NA1_4048932524
28921,325,76,32364,22880,291,72,28019,21,6,1,0,0,0,0,1,0,18,12,9,19,5,0,0,0,0,0,0,0,9,4,18,1631805312838,blue,NA1_4043929892
23390,313,87,29113,26398,314,92,30626,24,5,1,0,0,0,0,0,0,7,8,10,22,5,0,0,1,0,1,1,0,10,8,7,1631649005689,blue,NA1_4042299540
30087,301,76,30854,27684,307,66,30841,23,4,1,0,0,0,3,1,0,18,9,13,21,4,0,0,1,0,1,0,0,13,9,18,1631975426149,blue,NA1_4045756406
29939,338,88,32520,21026,307,84,26204,20,3,0,0,0,0,3,1,0,17,15,3,15,0,0,1,1,0,0,0,0,3,3,17,1631662193522,blue,NA1_4042559600
25298,341,76,27321,28583,278,92,29942,26,6,0,0,0,1,1,0,0,10,7,20,31,6,0,1,0,0,1,1,0,20,15,10,1631844045593,red,NA1_4044282306
29997,363,96,33169,24978,349,96,30195,26,8,0,1,0,0,2,1,0,15,13,6,23,6,1,0,0,0,0,0,0,6,6,15,1632002571864,blue,NA1_4046021726
23631,340,66,28429,27439,352,81,29349,21,2,0,1,0,0,0,0,0,8,7,12,23,2,0,0,0,0,2,1,0,12,6,8,1631835506481,red,NA1_4044195035
24010,228,68,26041,31554,327,80,31292,21,2,0,0,0,0,0,1,0,12,10,18,29,9,0,1,0,1,2,0,0,18,18,12,1632777806157,red,NA1_4054974449
24974,273,68,28751,32639,310,87,31095,18,7,0,0,0,0,0,0,0,13,9,23,28,2,0,0,1,1,3,1,0,23,20,13,1631672841059,red,NA1_4042732895
24767,222,56,23513,31748,319,109,31963,23,2,0,1,0,0,0,0,0,12,15,21,16,6,0,0,0,0,2,1,0,21,15,12,1631998777351,red,NA1_4045965595
25300,314,67,27706,24330,287,84,28561,23,2,0,0,1,0,1,1,0,10,13,10,24,5,0,0,0,0,1,0,0,10,8,10,1636856288454,red,NA1_4102606913
26943,304,58,29105,30674,267,87,30951,25,6,0,0,0,0,0,0,0,13,18,20,24,3,0,1,1,0,3,1,0,20,18,13,1636824339447,red,NA1_4101924149
24046,260,94,27594,25732,310,78,29625,21,3,0,0,0,0,0,0,0,9,11,12,20,4,1,0,0,0,1,0,0,12,11,9,1631737164864,red,NA1_4043223618
