blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
22785,285,86,26939,29082,327,86,30837,22,3,0,0,0,0,0,0,0,6,5,17,23,3,0,1,1,0,2,1,0,17,16,6,1636082984401,red,NA1_4091817599
30040,282,43,27674,30848,266,64,29943,20,2,0,0,0,0,2,0,0,25,15,22,25,5,0,0,1,0,1,1,0,22,15,25,1635484942991,blue,NA1_4085045376
19335,254,44,23335,26943,327,88,31179,25,3,0,0,1,0,0,0,0,4,5,12,16,6,1,0,0,0,1,0,0,12,14,4,1635383151129,red,NA1_4083679574
29653,306,92,29244,24945,274,68,28643,25,3,0,0,0,1,0,1,0,20,20,11,13,5,0,1,0,0,0,0,0,11,12,20,1635224281549,blue,NA1_4082207214
25911,294,52,29941,25247,325,96,28560,24,5,0,0,0,0,1,0,0,15,12,10,25,6,1,0,1,0,0,1,0,10,9,15,1635218316706,blue,NA1_4082095926
22970,287,96,28495,23797,286,52,28117,20,4,0,0,0,0,0,0,0,9,8,12,27,3,0,1,0,0,0,0,0,12,8,9,1635362688475,blue,NA1_4083445029
26988,313,86,30557,22681,243,62,29195,21,4,0,1,0,1,1,1,0,11,12,10,17,3,0,0,0,0,0,0,0,10,11,11,1636001543077,red,NA1_4090853779
26156,253,76,29365,26200,240,84,28555,19,2,0,0,0,0,0,0,0,15,14,15,23,6,0,1,0,0,1,1,0,15,19,15,1635441279154,blue,NA1_4084217796
26331,310,76,28414,24702,313,84,29619,26,7,0,0,0,0,0,1,0,7,11,11,22,1,0,0,0,1,0,0,0,11,8,7,1636809076148,blue,NA1_4101769634
30436,358,112,32246,20638,262,68,26660,21,2,1,0,0,1,2,1,0,16,12,4,22,4,0,0,0,0,0,0,0,4,3,16,1636805580654,blue,NA1_4101796539
