blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
24953,236,72,26119,27099,291,80,31271,15,4,1,0,0,0,0,0,0,14,13,17,23,1,0,0,0,0,0,0,0,17,13,14,1632554050323,red,NA1_4052432829
23310,302,83,28298,25061,295,76,31389,27,2,0,0,0,0,0,0,0,8,6,11,27,3,0,0,1,0,0,0,0,11,11,8,1631066862276,red,NA1_4035784919
26973,268,69,29013,20334,221,58,25474,25,3,1,0,0,0,1,1,0,17,11,7,17,5,0,0,0,0,0,0,0,7,4,17,1631684654413,blue,NA1_4042927480
29845,296,64,31318,23103,234,76,26670,25,2,1,1,0,0,3,1,0,20,14,7,22,1,0,0,0,0,0,0,0,7,6,20,1631948438486,blue,NA1_4045633478
27097,296,76,31141,24722,279,56,27340,23,5,1,1,0,0,0,1,0,17,9,10,26,5,0,0,0,0,0,0,0,10,7,17,1631680221676,blue,NA1_4042868162
23699,292,64,29003,22922,303,60,29117,22,2,0,1,1,0,0,0,0,11,11,8,20,5,0,0,0,0,0,1,0,8,4,11,1631000339587,red,NA1_4035247625
25535,270,72,28577,21520,255,69,24980,19,2,0,1,0,0,0,0,0,16,23,7,22,3,1,0,0,0,0,1,0,7,9,16,1631168242616,blue,NA1_4036857198
23642,288,76,28409,21766,250,80,26546,21,4,0,0,0,0,0,0,0,8,6,7,26,1,0,1,0,0,1,0,0,7,2,8,1632301009453,blue,NA1_4049188416
26247,278,83,29070,22421,262,80,28142,18,4,0,0,0,0,1,1,0,10,6,7,20,3,0,1,0,1,0,0,0,7,9,10,1631069149868,red,NA1_4035811087
24957,281,76,29593,26986,295,76,29137,18,1,0,0,0,0,0,0,0,11,12,12,20,2,1,0,0,0,1,0,0,12,8,11,1631585183098,red,NA1_4041633188
23753,282,92,28690,21715,286,60,27237,18,5,0,1,0,1,1,0,0,8,9,5,22,4,0,0,0,0,1,1,0,5,3,8,1631221941255,red,NA1_4037617980
24449,270,64,27065,27472,303,80,28501,21,2,0,0,0,0,1,1,0,10,11,13,22,4,0,0,1,0,2,0,0,13,16,10,1630997370283,blue,NA1_4035244628
25810,301,53,29050,23937,264,99,28764,21,2,0,0,1,0,1,1,0,14,13,9,19,1,1,0,0,0,0,0,0,9,10,14,1631151897634,blue,NA1_4036569590
30043,275,72,30276,22436,234,52,25081,20,5,1,0,0,0,1,1,0,22,32,11,22,3,0,0,0,1,0,0,0,11,12,22,1630973786270,blue,NA1_4034812756
23230,274,65,24965,28306,247,88,30445,19,1,0,0,0,0,0,0,0,10,5,20,22,1,1,0,0,1,1,1,0,20,19,10,1632017482218,red,NA1_4046189615
26367,273,80,30244,23464,278,68,27000,31,1,1,0,1,0,0,1,0,15,16,8,19,3,0,0,0,0,0,0,0,8,8,15,1631083984084,blue,NA1_4036062182
25558,302,60,29592,25702,307,64,30150,29,11,1,0,0,0,0,1,0,14,16,13,31,10,0,1,0,0,1,0,0,13,13,14,1631047564606,red,NA1_4035551125
25309,252,81,27239,28918,274,82,29595,12,5,0,0,0,0,1,1,0,10,10,16,24,3,0,1,0,0,2,0,0,16,16,10,1632019537941,red,NA1_4046282567
22355,277,48,25067,25529,283,56,27529,26,4,0,0,0,0,0,0,0,9,11,13,20,6,0,0,1,1,0,0,0,13,17,9,1631004242207,red,NA1_4035293932
20802,247,76,26333,27338,291,68,31868,15,4,0,0,0,0,0,0,0,5,3,16,20,2,0,1,0,0,1,0,0,16,9,5,1631250396429,red,NA1_4038025130
27863,302,84,29078,24699,231,76,28654,31,2,0,0,0,1,1,0,0,16,13,13,23,1,0,0,0,0,0,1,0,13,13,16,1632284611117,blue,NA1_4049044005
30935,328,85,29388,23910,229,56,25502,19,8,0,1,0,0,3,1,0,15,12,12,23,0,0,0,0,0,0,0,0,12,13,15,1632130648456,red,NA1_4047658378
25337,255,92,29279,25231,255,69,30444,22,6,1,0,0,1,0,0,0,12,12,17,19,2,0,0,0,0,0,1,0,17,11,12,1632528950494,blue,NA1_4051957219
25206,305,52,28981,21651,251,60,25908,22,7,0,0,0,0,1,0,0,9,8,8,24,3,0,0,0,0,0,0,0,8,9,9,1631174929190,red,NA1_4036957013
26098,279,56,27234,23897,281,52,25316,19,2,0,1,0,0,2,1,0,12,13,9,20,2,0,0,0,1,0,0,0,9,13,12,1631575038050,red,NA1_4041469593
23678,297,79,28232,25311,300,76,29136,26,5,0,0,0,0,0,1,0,7,9,12,26,4,1,1,0,0,0,0,0,12,15,7,1632534678828,blue,NA1_4052070666
27204,275,96,31443,24608,269,56,29470,22,2,0,0,0,0,0,1,0,16,13,13,19,2,0,0,0,1,0,0,0,13,14,16,1631086822269,red,NA1_4036083847
24747,284,71,27991,24025,309,65,29169,24,4,0,0,0,0,1,0,0,8,7,9,18,4,0,0,0,0,1,0,0,9,5,8,1631682676857,red,NA1_4042903235
25686,257,64,29676,26463,298,88,29123,20,3,0,0,0,1,0,1,0,15,9,15,17,4,0,0,0,0,0,0,0,15,11,15,1631216026161,red,NA1_4037581596
29144,294,66,29023,22053,265,52,26759,21,6,1,0,1,0,2,0,0,19,21,9,17,1,0,0,0,0,0,0,0,9,5,19,1631677867776,blue,NA1_4042843497
24224,235,71,25168,22711,258,72,26244,28,1,0,1,0,1,1,1,0,10,12,8,20,3,0,0,0,0,0,0,0,8,7,10,1632557937526,blue,NA1_4052490101
23700,294,64,28076,27043,331,96,29856,22,3,0,0,0,0,0,0,0,10,7,12,25,5,0,0,1,1,0,0,0,12,14,10,1631950497575,red,NA1_4045607069
22711,306,66,25977,23329,255,89,28468,17,4,0,0,0,0,0,0,0,5,4,11,20,2,0,0,1,1,1,1,0,11,4,5,1631588703320,red,NA1_4041683693
26840,250,70,28409,23415,244,66,26878,23,1,1,0,0,0,1,1,0,14,10,10,20,2,0,0,0,0,0,0,0,10,14,14,1632121491727,blue,NA1_4047628980
22078,236,48,26286,25612,275,63,28904,22,6,0,0,0,0,0,0,0,8,7,15,24,6,0,0,0,0,0,1,0,15,12,8,1631259291229,red,NA1_4038120111
25145,289,88,28691,23569,236,72,27006,16,1,1,1,0,0,1,0,0,10,8,11,12,1,0,0,0,0,0,1,0,11,12,10,1632526738111,blue,NA1_4051921461
23712,208,77,25507,29072,315,64,29786,24,3,0,0,0,0,0,1,0,9,9,18,16,7,0,0,0,1,2,0,0,18,17,9,1631064724248,blue,NA1_4035740325
25431,341,65,29318,21287,307,68,26762,27,3,0,1,0,0,1,1,0,9,6,5,18,5,0,0,0,1,0,0,0,5,5,9,1632551519371,blue,NA1_4052368045
21906,274,76,26053,24751,295,102,29745,24,8,0,0,0,0,0,1,0,6,8,12,26,8,0,1,0,0,0,0,0,12,12,6,1632128400255,red,NA1_4047636675
23892,268,76,27121,25771,294,76,29403,24,5,0,1,0,0,0,0,0,9,12,14,22,6,1,0,0,0,1,1,0,14,14,9,1632536762619,red,NA1_4052047646
26147,261,58,27004,25808,268,65,30101,31,2,0,0,0,0,1,1,0,14,16,15,27,7,0,1,0,0,0,0,0,15,13,14,1630981147391,red,NA1_4034928335
28064,272,72,27875,25132,170,84,24988,20,7,0,1,0,1,2,1,0,14,11,16,23,3,0,0,0,0,0,0,0,16,27,14,1632543991175,red,NA1_4052227304
23918,294,72,27802,21772,249,92,27116,17,4,1,0,1,0,1,1,0,10,6,5,25,1,0,0,0,0,0,0,0,5,5,10,1632280249675,blue,NA1_4048973993
23808,281,84,29126,24269,317,60,28657,22,5,1,0,0,0,0,1,0,7,8,9,26,3,0,0,0,0,0,0,0,9,10,7,1632546731411,red,NA1_4052284795
22681,210,64,25097,26501,316,60,27036,23,5,0,0,0,0,1,1,0,10,12,15,24,4,0,0,0,1,0,0,0,15,23,10,1631687065976,red,NA1_4042990838
20964,257,24,22523,27369,276,72,29056,23,6,0,0,0,0,0,0,0,10,9,13,25,4,0,0,0,0,1,1,0,13,10,10,1632439527424,red,NA1_4050691791
22211,244,72,27117,25713,303,60,28176,22,3,1,1,0,0,1,1,0,8,6,10,21,3,0,0,0,0,1,0,0,10,8,8,1630995034665,red,NA1_4035192338
23602,293,64,28393,23726,265,56,26699,14,4,0,0,0,0,0,1,0,8,6,10,25,5,1,0,0,0,1,0,0,10,9,8,1632124021688,blue,NA1_4047681623
23596,267,50,25869,27541,309,68,28232,27,4,0,0,1,0,1,1,0,8,7,15,20,2,0,0,0,0,0,0,0,15,21,8,1631154404823,blue,NA1_4036587188
24724,249,72,28978,25403,254,88,29641,16,1,1,0,0,0,1,0,0,12,11,13,17,6,0,0,0,0,0,0,0,13,8,12,1631050405934,red,NA1_4035544365
24030,266,72,28448,24794,260,76,28072,16,5,0,0,0,0,0,0,0,10,6,12,25,0,0,1,0,1,0,0,0,12,10,10,1631937610229,blue,NA1_4045460473
26482,324,96,31364,23582,324,64,29094,25,6,0,0,0,0,0,1,0,12,8,7,22,6,0,0,1,0,0,0,0,7,8,12,1631224644090,blue,NA1_4037632686
23532,271,77,27898,25497,233,92,30755,21,2,0,0,0,0,0,1,0,9,5,16,12,1,0,1,0,0,0,0,0,16,19,9,1630985139160,red,NA1_4035040168
25909,260,76,28359,22612,269,77,28301,20,3,0,0,0,1,1,1,0,13,13,7,19,2,0,0,0,0,0,0,0,7,4,13,1632277551648,blue,NA1_4048948659
25871,289,64,28061,26753,297,80,28793,24,3,0,0,0,0,1,1,0,13,7,14,23,5,0,0,1,0,1,0,0,14,13,13,1632464089318,blue,NA1_4051107588
25482,284,74,28618,22221,275,78,27470,19,2,1,0,0,0,0,1,0,11,9,7,16,3,0,0,1,0,0,0,0,7,5,11,1631577779509,red,NA1_4041515074
23605,263,68,25910,26116,244,76,27412,12,3,0,0,0,0,0,0,0,12,13,13,26,1,0,1,0,0,1,0,0,13,15,12,1631262252637,blue,NA1_4038112547
22325,270,58,28224,30561,326,81,32884,24,9,0,0,0,0,0,1,0,8,7,20,27,8,0,0,1,1,1,0,0,20,16,8,1632530314481,red,NA1_4052031950
22965,230,64,25546,29099,318,76,28315,21,3,0,1,0,0,0,0,0,11,8,15,16,4,0,0,0,0,3,1,0,15,10,11,1632296494679,red,NA1_4049194205
23551,286,70,28379,22037,287,66,26530,20,1,1,1,0,0,0,0,0,8,8,9,14,1,0,0,0,0,0,1,0,9,3,8,1632523900096,blue,NA1_4051895620
22945,225,67,24928,21782,261,60,27339,19,0,0,1,0,1,1,1,0,9,21,9,16,0,0,0,0,0,0,0,0,9,3,9,1632286896035,red,NA1_4049088688
22494,305,61,27730,25450,306,86,30669,16,1,0,0,0,0,0,0,0,6,4,13,27,1,0,1,0,1,0,1,0,13,16,6,1631253086084,red,NA1_4038029095
25549,245,63,26488,29180,285,84,29380,23,3,1,0,0,0,1,0,0,15,13,16,24,2,0,0,0,1,1,1,0,16,14,15,1632539103060,red,NA1_4052172564
21379,262,36,25316,26582,281,87,27993,25,5,0,0,0,0,0,0,0,8,6,12,21,9,0,1,0,1,1,1,0,12,16,8,1632441710397,blue,NA1_4050686384
25369,254,60,27309,24624,270,84,27977,15,2,0,0,0,0,0,1,0,15,14,10,27,2,0,1,0,0,0,0,0,10,8,15,1630976364833,red,NA1_4034807216
24031,273,76,29607,22244,262,72,25837,21,2,1,0,1,0,0,0,0,13,11,9,20,3,0,0,0,0,0,1,0,9,9,13,1632275908862,red,NA1_4048893362
21971,268,70,27410,25342,307,69,28993,24,2,0,0,0,1,0,1,0,6,5,12,19,3,1,0,0,0,0,0,0,12,10,6,1632532339342,red,NA1_4052015524
23331,258,48,24725,24969,237,66,27844,19,3,1,0,0,0,0,1,0,10,13,12,24,4,0,0,0,0,1,0,0,12,12,10,1631149627706,red,NA1_4036537782
24419,239,64,26875,24369,303,60,29314,28,7,0,0,0,0,0,0,0,13,13,10,28,4,0,0,0,1,0,0,0,10,13,13,1632126000931,red,NA1_4047674202
29921,362,96,34209,20088,282,84,25993,21,2,0,1,1,0,2,0,0,17,15,2,16,0,0,0,0,0,0,1,0,2,2,17,1631946479406,blue,NA1_4045601292
24213,256,76,27399,28547,330,80,30764,25,4,0,0,0,0,0,1,0,10,13,17,23,5,1,0,1,0,1,0,0,17,13,10,1631572319067,red,NA1_4041406754
27284,287,48,27093,22530,255,80,28521,21,7,0,1,0,0,2,1,0,14,20,8,20,3,0,0,0,0,0,0,0,8,6,14,1630969514005,red,NA1_4034599598
29671,292,60,29778,26052,260,76,28628,25,2,1,0,0,0,2,1,0,20,16,14,15,2,0,0,0,0,1,0,0,14,14,20,1631587108119,blue,NA1_4041618725
24032,272,72,27019,23252,285,55,26125,26,3,0,0,1,0,1,1,0,9,7,8,18,3,0,1,0,0,1,0,0,8,8,9,1631590691190,red,NA1_4041687935
24197,229,68,27363,24282,249,72,27727,21,6,0,0,0,1,0,1,0,13,7,11,21,4,0,1,0,0,1,0,0,11,11,13,1632294262707,red,NA1_4049220337
26695,247,68,28923,25515,295,72,30178,14,5,0,0,0,0,0,0,0,19,15,11,22,2,0,0,1,1,0,1,0,11,7,19,1632119915004,red,NA1_4047616628
26223,305,60,27355,24530,315,72,27361,18,5,0,0,0,0,2,1,0,12,8,9,23,2,0,0,1,0,0,0,0,9,6,12,1631583093298,blue,NA1_4041596230
23643,267,64,25906,23567,266,77,27848,19,1,0,0,0,0,0,0,0,11,10,13,19,0,0,1,0,0,0,1,0,13,9,11,1630983085812,blue,NA1_4034985632
22917,198,44,24799,29669,297,64,29948,19,0,0,1,0,0,0,0,0,10,6,18,17,3,0,0,0,0,2,1,0,18,18,10,1631255057058,red,NA1_4038073991
22613,224,64,24921,25099,218,68,25283,18,0,0,0,0,0,0,0,0,10,17,15,20,2,0,0,1,0,0,0,0,15,19,10,1632298662818,red,NA1_4049206307
23421,265,47,24527,24290,243,76,25425,21,1,0,0,0,0,0,0,0,10,17,9,18,4,0,0,1,1,1,1,0,9,8,10,1630971849286,red,NA1_4034668092
21399,294,72,26790,29998,332,108,32906,18,4,0,0,0,0,0,0,0,5,5,16,21,3,1,0,0,1,2,0,0,16,12,5,1632443098826,red,NA1_4050741787
22498,287,80,28982,23671,265,64,28447,20,3,0,0,1,0,0,0,0,9,4,10,19,4,0,0,0,0,0,1,0,10,8,9,1632461774374,blue,NA1_4051082372
23523,310,76,28530,23012,260,72,27784,19,5,0,0,0,0,0,0,0,6,3,10,22,5,0,0,1,1,0,0,0,10,11,6,1631744644929,blue,NA1_4043342412
24780,296,76,30585,26484,342,72,31265,19,6,0,0,0,0,0,1,0,10,5,14,25,5,1,1,0,0,0,0,0,14,9,10,1630978629857,red,NA1_4034903461
28493,321,76,28210,21055,220,64,22567,18,7,0,0,1,0,1,0,0,17,19,8,27,4,0,1,0,0,0,1,0,8,14,17,1632015926350,blue,NA1_4046204262
22896,299,68,27693,23303,241,76,27355,22,1,0,0,0,0,0,0,0,11,7,10,13,1,1,0,0,0,0,0,0,10,11,11,1631939550204,blue,NA1_4045485328
24148,281,55,28812,24060,267,84,28337,20,5,0,0,0,0,0,0,0,11,10,10,28,4,0,1,0,1,0,0,0,10,9,11,1631218739257,blue,NA1_4037584353
25245,275,56,28851,23807,263,73,28472,25,1,0,0,1,0,1,0,0,13,11,9,21,3,0,0,0,0,0,1,0,9,8,13,1632021493883,blue,NA1_4046296785
28429,282,62,30630,24888,238,79,28959,26,3,0,1,0,1,2,1,0,17,9,13,18,4,0,0,0,0,0,0,0,13,10,17,1631226521511,blue,NA1_4037675970
26223,257,59,26145,26490,208,64,27497,27,2,0,0,0,1,1,1,0,15,9,17,22,4,0,1,0,0,0,0,0,17,19,15,1632446576325,red,NA1_4050727258
26782,300,68,28353,23841,257,80,28160,24,4,0,1,0,1,1,0,0,13,12,11,16,5,0,0,0,0,0,1,0,11,12,13,1632555939195,blue,NA1_4052427367
24161,298,84,29368,21857,265,88,28580,22,3,0,0,1,1,1,1,0,9,5,6,16,3,0,0,0,0,0,0,0,6,5,9,1631229621793,red,NA1_4037638976
28904,272,68,31356,21961,229,56,24297,27,7,0,0,0,1,1,0,0,21,18,9,21,4,0,0,1,0,0,0,0,9,8,21,1631002181482,blue,NA1_4035262800
25834,267,80,27751,29213,260,87,31748,31,2,0,0,0,0,0,0,0,13,8,23,20,5,1,1,0,0,1,0,0,23,17,13,1632132650214,red,NA1_4047719756
